
[00:00:00.000 --> 00:00:01.720]  是Mark Sir,有請Mark Sir
[00:00:01.720 --> 00:00:07.520]  各位好
[00:00:07.520 --> 00:00:09.160]  上星期去了另一個教會
[00:00:09.160 --> 00:00:11.440]  所以不能夠來到你中間
[00:00:11.440 --> 00:00:13.320]  很高興今天回來
[00:00:13.320 --> 00:00:19.600]  我們今天不如說一個題目
[00:00:19.600 --> 00:00:21.160]  是我們覺得很切身的
[00:00:21.160 --> 00:00:22.360]  說到苦難
[00:00:22.360 --> 00:00:24.680]  你看到有很多天災人禍
[00:00:24.680 --> 00:00:27.080]  還有很多個人的痛苦
[00:00:27.080 --> 00:00:29.680]  個人的災難等等
[00:00:29.680 --> 00:00:31.840]  過去一個多星期
[00:00:31.840 --> 00:00:34.800]  我已經去了三次醫院
[00:00:34.800 --> 00:00:35.720]  去探病
[00:00:35.720 --> 00:00:37.120]  不是我自己去
[00:00:37.120 --> 00:00:38.240]  我去探病
[00:00:38.240 --> 00:00:41.680]  去探望一些人等等
[00:00:41.680 --> 00:00:45.320]  兩次是有關其他人的
[00:00:45.320 --> 00:00:47.520]  第三次是有關一隻貓的
[00:00:47.520 --> 00:00:50.320]  所以貓也去了醫院
[00:00:50.320 --> 00:00:53.040]  所以出入醫院很多次
[00:00:53.040 --> 00:00:54.880]  我記得上個星期六
[00:00:54.880 --> 00:00:56.400]  是不是上個星期六
[00:00:56.400 --> 00:00:58.000]  是的,上個星期六
[00:00:58.000 --> 00:01:01.480]  去探望一個病人
[00:01:01.480 --> 00:01:02.840]  探望一個弟兄姊妹
[00:01:02.840 --> 00:01:03.840]  去醫院的時候
[00:01:03.840 --> 00:01:07.400]  我們由市中心開車去西北醫院
[00:01:07.400 --> 00:01:09.360]  我開了兩個小時
[00:01:09.360 --> 00:01:11.080]  兩個小時車程
[00:01:11.080 --> 00:01:12.920]  你知道是甚麼事嗎
[00:01:12.920 --> 00:01:14.280]  塞車,是的,塞車
[00:01:14.280 --> 00:01:15.360]  我也不知道發生甚麼事
[00:01:15.360 --> 00:01:16.960]  原來有演唱會
[00:01:16.960 --> 00:01:20.040]  我們收到的弟兄姊妹真的很好
[00:01:20.040 --> 00:01:23.120]  他們又不能外出,又不能回家
[00:01:23.120 --> 00:01:24.480]  我想不到20分鐘車程
[00:01:24.480 --> 00:01:26.040]  變成兩個小時車程
[00:01:26.040 --> 00:01:30.960]  我也覺得是苦難
[00:01:30.960 --> 00:01:33.040]  我還開著棍波車
[00:01:33.040 --> 00:01:36.520]  挺辛苦,一邊停一邊去
