
[00:00:00.000 --> 00:00:03.000]   Hi everyone, good to be back.
[00:00:03.000 --> 00:00:08.280]   I was here last week and I think I spoke for about 25 minutes.
[00:00:08.280 --> 00:00:12.840]   So today I'll speak within range again.
[00:00:12.840 --> 00:00:16.560]   Last week I talked about storytelling and for those of you who weren't here, I talk
[00:00:16.560 --> 00:00:22.360]   about stories because I'm a children's book author and I'm also an artist and an educator.
[00:00:22.360 --> 00:00:29.040]   So stories have a lot of meaning to me personally and I use a lot of stories in my work.
[00:00:29.040 --> 00:00:35.200]   Today we'll be talking about the power of analogy and we're looking at Matthew chapter
[00:00:35.200 --> 00:00:39.400]   13 verses 24 to 30.
[00:00:39.400 --> 00:00:46.080]   But before we kind of get into it, you'll see the subtitle says "Weed, Wheat or What?"
[00:00:46.080 --> 00:00:48.480]   You're like, "What is that about?"
[00:00:48.480 --> 00:00:54.200]   So before we get into it, let's recap a little about what happened last week.
[00:00:54.200 --> 00:00:55.720]   If you were there, this is a nice reminder.
[00:00:55.720 --> 00:00:57.800]   If you were not, then you got the cliff notes.
[00:00:57.800 --> 00:01:01.000]   So number one, Jesus is the goat.
[00:01:01.000 --> 00:01:06.360]   So he's the greatest of all time storyteller.
[00:01:06.360 --> 00:01:13.280]   And last week we looked at the parable of the lost sheep, both in Luke and in Matthew.
[00:01:13.280 --> 00:01:18.440]   So we looked at the two of them because even though they're the same story about the parable
[00:01:18.440 --> 00:01:25.320]   of the lost sheep, the way Jesus told it is different, which is why he's the goat.
[00:01:25.320 --> 00:01:29.320]   Because he changes it based on the audience.
[00:01:29.320 --> 00:01:32.580]   Who's watching and who are they?
[00:01:32.580 --> 00:01:37.560]   Are they the Pharisees and the religious leaders like in Luke?
[00:01:37.560 --> 00:01:42.680]   Or are they his own disciples like in Matthew?
[00:01:42.680 --> 00:01:49.260]   A great storyteller also changes the way he or she tells a story based on the context.
[00:01:49.260 --> 00:01:51.740]   So what is happening around them?
[00:01:51.740 --> 00:01:52.960]   How are they gathering?
[00:01:52.960 --> 00:01:55.960]   So is it a public setting or is it a private setting?
[00:01:55.960 --> 00:01:59.840]   And that changes the tone and the voice of what the storyteller says.
[00:01:59.840 --> 00:02:09.840]   [BLANK_AUDIO]
[00:02:09.840 --> 00:02:19.840]   [BLANK_AUDIO]
[00:02:19.840 --> 00:02:29.840]   [BLANK_AUDIO]
[00:02:29.840 --> 00:02:39.840]   [BLANK_AUDIO]
[00:02:39.840 --> 00:02:49.840]   [BLANK_AUDIO]
[00:02:49.840 --> 00:02:59.840]   [BLANK_AUDIO]
[00:02:59.840 --> 00:03:09.840]   [BLANK_AUDIO]
[00:03:09.840 --> 00:03:19.840]   [BLANK_AUDIO]
[00:03:19.840 --> 00:03:29.840]   [BLANK_AUDIO]
[00:03:29.840 --> 00:03:39.840]   [BLANK_AUDIO]
[00:03:39.840 --> 00:03:49.840]   [BLANK_AUDIO]
[00:03:49.840 --> 00:03:59.840]   [BLANK_AUDIO]
[00:03:59.840 --> 00:04:09.840]   [BLANK_AUDIO]
[00:04:09.840 --> 00:04:19.840]   [BLANK_AUDIO]
[00:04:19.840 --> 00:04:29.840]   [BLANK_AUDIO]
[00:04:29.840 --> 00:04:39.840]   [BLANK_AUDIO]
[00:04:39.840 --> 00:04:49.840]   [BLANK_AUDIO]
[00:04:49.840 --> 00:04:59.840]   [BLANK_AUDIO]
[00:04:59.840 --> 00:05:09.840]   [BLANK_AUDIO]
[00:05:09.840 --> 00:05:19.840]   [BLANK_AUDIO]
[00:05:19.840 --> 00:05:29.840]   [BLANK_AUDIO]
[00:05:29.840 --> 00:05:39.840]   [BLANK_AUDIO]
[00:05:39.840 --> 00:05:49.840]   [BLANK_AUDIO]
[00:05:49.840 --> 00:05:59.840]   [BLANK_AUDIO]
[00:05:59.840 --> 00:06:09.840]   [BLANK_AUDIO]
[00:06:09.840 --> 00:06:19.840]   [BLANK_AUDIO]
[00:06:19.840 --> 00:06:29.840]   [BLANK_AUDIO]
[00:06:29.840 --> 00:06:39.840]   [BLANK_AUDIO]
[00:06:39.840 --> 00:06:49.840]   [BLANK_AUDIO]
[00:06:49.840 --> 00:06:59.840]   [BLANK_AUDIO]
[00:06:59.840 --> 00:07:09.840]   [BLANK_AUDIO]
[00:07:09.840 --> 00:07:19.840]   [BLANK_AUDIO]
[00:07:19.840 --> 00:07:29.840]   [BLANK_AUDIO]
[00:07:29.840 --> 00:07:39.840]   [BLANK_AUDIO]
[00:07:39.840 --> 00:07:49.840]   [BLANK_AUDIO]
[00:07:49.840 --> 00:07:59.840]   [BLANK_AUDIO]
[00:07:59.840 --> 00:08:09.840]   [BLANK_AUDIO]
[00:08:09.840 --> 00:08:19.840]   [BLANK_AUDIO]
[00:08:19.840 --> 00:08:29.840]   [BLANK_AUDIO]
[00:08:29.840 --> 00:08:39.840]   [BLANK_AUDIO]
[00:08:39.840 --> 00:08:49.840]   [BLANK_AUDIO]
[00:08:49.840 --> 00:08:59.840]   [BLANK_AUDIO]
[00:08:59.840 --> 00:09:09.840]   [BLANK_AUDIO]
[00:09:09.840 --> 00:09:19.840]   [BLANK_AUDIO]
[00:09:19.840 --> 00:09:29.840]   [BLANK_AUDIO]
[00:09:29.840 --> 00:09:39.840]   [BLANK_AUDIO]
[00:09:39.840 --> 00:09:49.840]   [BLANK_AUDIO]
[00:09:49.840 --> 00:09:59.840]   [BLANK_AUDIO]
[00:09:59.840 --> 00:10:09.840]   [BLANK_AUDIO]
[00:10:09.840 --> 00:10:19.840]   [BLANK_AUDIO]
[00:10:19.840 --> 00:10:29.840]   [BLANK_AUDIO]
[00:10:29.840 --> 00:10:39.840]   [BLANK_AUDIO]
[00:10:39.840 --> 00:10:49.840]   [BLANK_AUDIO]
[00:10:49.840 --> 00:10:59.840]   [BLANK_AUDIO]
[00:10:59.840 --> 00:11:09.840]   [BLANK_AUDIO]
[00:11:09.840 --> 00:11:19.840]   [BLANK_AUDIO]
[00:11:19.840 --> 00:11:29.840]   [BLANK_AUDIO]
