
[00:00:00.000 --> 00:00:00.720]  交畀佢
[00:00:00.720 --> 00:00:04.160]  AZ等節目好
[00:00:04.160 --> 00:00:05.760]  我哋繼續一個topic
[00:00:05.760 --> 00:00:08.400]  係講到復活
[00:00:08.400 --> 00:00:09.840]  復活節過咗
[00:00:09.840 --> 00:00:10.960]  不過仍然要講復活
[00:00:10.960 --> 00:00:13.560]  因為復活節或者復活嘅訊息
[00:00:13.560 --> 00:00:14.920]  復活呢件事
[00:00:14.920 --> 00:00:15.680]  身體復活
[00:00:15.680 --> 00:00:16.960]  基督嘅復活
[00:00:16.960 --> 00:00:20.080]  係我哋信仰嘅一個核心
[00:00:20.080 --> 00:00:21.560]  唔係一個footnote
[00:00:21.560 --> 00:00:23.680]  好多時我哋當咗佢係一個footnote
[00:00:23.680 --> 00:00:27.080]  咁我哋有好多嘢我哋就搞唔清楚
[00:00:27.080 --> 00:00:29.440]  所以點解我哋喺呢幾個禮拜
[00:00:29.440 --> 00:00:33.080]  我哋會去到討論下呢一個嘅課題
[00:00:33.080 --> 00:00:34.400]  諗一諗
[00:00:34.400 --> 00:00:38.600]  上帝喺基督裏面嘅死而復活
[00:00:38.600 --> 00:00:42.680]  對於我哋生命有啲乜嘢嘅鼓勵
[00:00:42.680 --> 00:00:45.000]  對於我哋生命裏面有啲乜嘢嘅形容
[00:00:45.000 --> 00:00:47.560]  呢啲唔係純粹將來會發生嘅嘢
[00:00:47.560 --> 00:00:49.760]  因為將來個目的地
[00:00:49.760 --> 00:00:51.320]  我哋去到新天新地
[00:00:51.320 --> 00:00:53.160]  我哋有一個復活榮耀嘅身體
[00:00:53.160 --> 00:00:55.320]  好似基督自己有榮耀復活身體一樣
[00:00:55.320 --> 00:00:58.560]  係應該定決定我哋今時今日
[00:00:58.760 --> 00:01:00.760]  點樣睇我哋嘅經歷
[00:01:00.760 --> 00:01:02.400]  我哋呢個人生
[00:01:02.400 --> 00:01:06.480]  走嘅方向一定要睇最尾嗰個目的地
[00:01:06.480 --> 00:01:07.920]  搞清楚目的地
[00:01:07.920 --> 00:01:11.120]  我哋而家就知道我哋唔會咁容易走失
[00:01:11.120 --> 00:01:13.400]  所以呢度有三個point
[00:01:13.400 --> 00:01:16.360]  我呢就想同你嚟到去思想一下
[00:01:16.360 --> 00:01:18.800]  第一個point就係復活嘅真實性
[00:01:18.800 --> 00:01:22.120]  第二個point就係復活嘅身體
[00:01:22.120 --> 00:01:23.000]  我哋思想一下
[00:01:23.000 --> 00:01:24.480]  一個復活嘅身體
[00:01:24.480 --> 00:01:25.800]  係一回咩事
[00:01:25.800 --> 00:01:27.920]  點樣係一個復活嘅身體
[00:01:28.280 --> 00:01:29.120]  第三方面
[00:01:29.120 --> 00:01:31.520]  復活帶畀我哋有啲咩嘅得勝
