
[00:00:00.000 --> 00:00:05.000]  每年大概是在這個日子
[00:00:05.000 --> 00:00:07.000]  有幾天我是特別開心
[00:00:07.000 --> 00:00:09.000]  我不知道你們知不知道我說什麼
[00:00:09.000 --> 00:00:12.000]  我不知道你們有沒有像我一樣的感受
[00:00:12.000 --> 00:00:16.000]  是因為看到樹木突然間全綠了
[00:00:16.000 --> 00:00:18.000]  是因為看到樹木突然間全綠了
[00:00:18.000 --> 00:00:20.000]  是因為看到樹木突然間全綠了
[00:00:20.000 --> 00:00:22.000]  是因為看到樹木突然間全綠了
[00:00:22.000 --> 00:00:24.000]  是因為看到樹木突然間全綠了
[00:00:24.000 --> 00:00:26.000]  是因為看到樹木突然間全綠了
[00:00:26.000 --> 00:00:28.000]  是因為看到樹木突然間全綠了
[00:00:28.000 --> 00:00:30.000]  今天還沒有綠
[00:00:30.000 --> 00:00:32.000]  只是在發芽
[00:00:32.000 --> 00:00:36.000]  但是可以保證過幾天天氣暖一點
[00:00:36.000 --> 00:00:38.000]  就很快全綠了
[00:00:38.000 --> 00:00:43.000]  想起當天的樹變成這樣
[00:00:43.000 --> 00:00:45.000]  樹葉全下了
[00:00:45.000 --> 00:00:46.000]  因為冬天都會淋寒
[00:00:46.000 --> 00:00:48.000]  所以樹葉全下了
[00:00:48.000 --> 00:00:49.000]  其實很難看
[00:00:49.000 --> 00:00:50.000]  不單難看
[00:00:50.000 --> 00:00:53.000]  還有一種很淒涼的感覺
[00:00:53.000 --> 00:00:54.000]  很蒼涼
[00:00:54.000 --> 00:00:55.000]  很灰暗
[00:00:55.000 --> 00:00:57.000]  感覺很沒有希望的感覺
[00:00:57.000 --> 00:00:59.000]  感覺很沒有希望的感覺
[00:00:59.000 --> 00:01:02.000]  但是當春天一來
[00:01:02.000 --> 00:01:05.000]  大地回春的時候
[00:01:05.000 --> 00:01:06.000]  我們發覺
[00:01:06.000 --> 00:01:08.000]  你和我都看到
[00:01:08.000 --> 00:01:10.000]  一下子就全綠了
[00:01:10.000 --> 00:01:11.000]  好像全都變成了
[00:01:11.000 --> 00:01:12.000]  你覺得嗎
[00:01:12.000 --> 00:01:13.000]  只要天氣暖兩天
[00:01:13.000 --> 00:01:15.000]  好像全都變成了
[00:01:15.000 --> 00:01:16.000]  全部都綠起來了
[00:01:16.000 --> 00:01:19.000]  這是我來了美國三十年
[00:01:19.000 --> 00:01:21.000]  我覺得很震撼的地方
[00:01:21.000 --> 00:01:22.000]  為什麼這麼厲害
[00:01:22.000 --> 00:01:23.000]  真的過兩天
[00:01:23.000 --> 00:01:25.000]  全部好像都變成了
[00:01:25.000 --> 00:01:27.000]  我們一起綠了
[00:01:27.000 --> 00:01:35.000]  真的從冬天到春天
[00:01:35.000 --> 00:01:39.000]  我們看到枯萎的樹木
[00:01:39.000 --> 00:01:41.000]  全部都變綠了
[00:01:41.000 --> 00:01:44.000]  給我們很多人生的啟示
[00:01:44.000 --> 00:01:45.000]  各位電視姐妹
[00:01:45.000 --> 00:01:47.000]  回望你過去一年
[00:01:47.000 --> 00:01:52.000]  你有沒有一些嚴寒冬天的日子
[00:01:54.000 --> 00:01:56.000]  有沒有感覺到在這些日子裡面
[00:01:56.000 --> 00:01:58.000]  你覺得很沒有希望
[00:01:58.000 --> 00:01:59.000]  很灰暗
[00:01:59.000 --> 00:02:01.000]  可能是一個心愛的人
[00:02:01.000 --> 00:02:03.000]  他在病裡面掙扎
[00:02:03.000 --> 00:02:05.000]  你看到很傷心
[00:02:05.000 --> 00:02:09.000]  甚至看到他死
[00:02:09.000 --> 00:02:11.000]  可能是一個關係
[00:02:11.000 --> 00:02:13.000]  一個夫妻的關係
[00:02:13.000 --> 00:02:15.000]  一個朋友的關係
[00:02:15.000 --> 00:02:18.000]  一個父母子女之間的關係
[00:02:18.000 --> 00:02:22.000]  因為各種的原因破裂了
[00:02:23.000 --> 00:02:25.000]  也可能是身體衰老
[00:02:25.000 --> 00:02:27.000]  無法走回頭
[00:02:27.000 --> 00:02:29.000]  問題就一天比一天多
[00:02:29.000 --> 00:02:32.000]  讓你覺得很沮喪
[00:02:32.000 --> 00:02:36.000]  也有可能是前途的問題
[00:02:36.000 --> 00:02:41.000]  你不知道未來幾個月會是怎樣
[00:02:41.000 --> 00:02:43.000]  你不知道你前途會是怎樣
[00:02:43.000 --> 00:02:45.000]  留在這裡或回香港或去哪裡
[00:02:45.000 --> 00:02:46.000]  你不知道怎樣的時候
[00:02:46.000 --> 00:02:47.000]  你很迷茫
[00:02:47.000 --> 00:02:51.000]  當我們面對這些人生的艱難
[00:02:51.000 --> 00:02:53.000]  無奈的時候
[00:02:53.000 --> 00:02:55.000]  有時候我們回來城會
[00:02:55.000 --> 00:02:57.000]  說真的
[00:02:57.000 --> 00:02:59.000]  都是因為見朋友
[00:02:59.000 --> 00:03:03.000]  因為我們心底裡覺得
[00:03:03.000 --> 00:03:06.000]  神好像對我們沒什麼幫助
[00:03:06.000 --> 00:03:10.000]  有時候我們覺得在痛苦裡面
[00:03:10.000 --> 00:03:11.000]  神是靜默的
[00:03:11.000 --> 00:03:14.000]  神是靜默的
[00:03:14.000 --> 00:03:18.000]  神是不是真的靜默呢
[00:03:20.000 --> 00:03:21.000]  我們再看
[00:03:21.000 --> 00:03:24.000]  由冬天枯萎的樹
[00:03:24.000 --> 00:03:27.000]  直到春天恢復生機
[00:03:27.000 --> 00:03:30.000]  你聽不聽到神的聲音
[00:03:30.000 --> 00:03:33.000]  每一年都是這樣演奏出來
[00:03:33.000 --> 00:03:35.000]  你聽不聽到神的聲音
[00:03:35.000 --> 00:03:38.000]  事實上我們的神不單止是
[00:03:38.000 --> 00:03:41.000]  每一年枯萎又復生的樹
[00:03:41.000 --> 00:03:43.000]  對我們說話
[00:03:43.000 --> 00:03:46.000]  你看清楚原來貫穿聖經
[00:03:46.000 --> 00:03:48.000]  創造我們的神
[00:03:48.000 --> 00:03:50.000]  祂藉著一棵樹
[00:03:50.000 --> 00:03:54.000]  對艱難的我們說話
[00:03:54.000 --> 00:04:00.000]  這棵是生命樹
[00:04:00.000 --> 00:04:04.000]  神要對我們所答應的
[00:04:04.000 --> 00:04:07.000]  神藉著這棵生命樹對我們答應的
[00:04:07.000 --> 00:04:09.000]  是沒有人可以答應得到的
[00:04:09.000 --> 00:04:11.000]  無論那些是多厲害的人
[00:04:11.000 --> 00:04:12.000]  多有錢的人
[00:04:12.000 --> 00:04:13.000]  多有地位的人
[00:04:13.000 --> 00:04:17.000]  甚至是一些很受歡迎的神明
[00:04:17.000 --> 00:04:19.000]  他們是不可以答應
[00:04:19.000 --> 00:04:22.000]  神藉著生命樹答應我們的
[00:04:22.000 --> 00:04:25.000]  所以各位弟兄姊妹
[00:04:25.000 --> 00:04:27.000]  今天我很想用三幅圖畫
[00:04:27.000 --> 00:04:30.000]  和你重溫聖經裡面
[00:04:30.000 --> 00:04:32.000]  講到生命樹的故事
[00:04:32.000 --> 00:04:34.000]  和神在裡面答應我們什麼
[00:04:34.000 --> 00:04:38.000]  第一幅圖畫
[00:04:38.000 --> 00:04:41.000]  是生命樹失落了
[00:04:41.000 --> 00:04:43.000]  生命樹失落了
[00:04:45.000 --> 00:04:47.000]  記得上一次我講道的時候
