
[00:00:00.000 --> 00:00:07.000]  OK 聽到啦 真係唔好意思 一出場就已經有咪嘅問題
[00:00:07.000 --> 00:00:12.000]  Anyway 今日我想講嘅題目係史上最撩交打嘅字變
[00:00:12.000 --> 00:00:16.000]  我發覺今次真係出好多問題 撩字我打錯咗
[00:00:16.000 --> 00:00:21.000]  錯別字打咗撩字 應該係剔手邊多謝Phoebe提醒我
[00:00:21.000 --> 00:00:24.000]  之後我改唔切powerpoint 大家明白
[00:00:24.000 --> 00:00:28.000]  喺美國內啲中文開始變得唔好 就寫錯字
[00:00:28.000 --> 00:00:33.000]  Anyway 今日我嘅題目係史上最撩交打嘅字變
[00:00:33.000 --> 00:00:39.000]  而經文就係《史陀行傳》第七章第二至六十節
[00:00:39.000 --> 00:00:44.000]  係好長 58節經文 但我哋唔會睇哂嘅 我只係睇重點
[00:00:44.000 --> 00:00:54.000]  呢段經文係《聖經》第一次 亦都係最後一次去記載司提反講嘢
[00:00:54.000 --> 00:00:59.000]  點解係咁呢 就係因為呢段經文係司提反自我嘅辯護
[00:00:59.000 --> 00:01:04.000]  佢辯護完之後就點呀 就俾人用石頭打死咗 然後就冇然後
[00:01:04.000 --> 00:01:09.000]  咁所以呢個係唯一一次亦都係最後一次司提反喺《聖經》裏面係有講嘢
[00:01:09.000 --> 00:01:17.000]  所以其實有咩人會為自己辯護 辯護到講完嘢之後即刻俾人打死
[00:01:17.000 --> 00:01:22.000]  咁司提反係咪好犀利呢 辯護完之後即刻俾人打死
[00:01:22.000 --> 00:01:27.000]  所以我就會話佢嘅辯護係史上最撩交打嘅自辯
[00:01:27.000 --> 00:01:32.000]  我哋首先會去睇下司提反究竟被指控啲乜
[00:01:32.000 --> 00:01:38.000]  然後睇下佢點回應 再睇下呢段對話點解咁撩交打
[00:01:38.000 --> 00:01:41.000]  同埋我哋去睇下呢段嘅講話
[00:01:41.000 --> 00:01:47.000]  究竟喺整卷嘅《史唐行傳》裏面嘅文學脈絡當中有啲咩嘅作用
[00:01:47.000 --> 00:01:51.000]  咁我哋首先去睇下究竟司提反被人指控啲乜
[00:01:51.000 --> 00:01:56.000]  咁我哋去睇返上文第六章嘅八至十四節嗰度呢
[00:01:56.000 --> 00:02:02.000]  嗰度講咩呀 嗰度就話司提反就畀一班嘅猶太人指控兩樣嘢
[00:02:02.000 --> 00:02:05.000]  就係指控邊兩樣嘢呢 就係指控佢
[00:02:05.000 --> 00:02:09.000]  毀謗聖地同埋律法
[00:02:09.000 --> 00:02:14.000]  同埋宣揚嗰個要拆毀聖殿同埋改變摩西律法嘅耶穌
[00:02:14.000 --> 00:02:18.000]  所以司提反喺佢嘅自辯裏面就回應呢兩點
[00:02:18.000 --> 00:02:21.000]  首先司提反就去回應
[00:02:21.000 --> 00:02:26.000]  佢回應呢個抵毀聖殿嘅一個指控
[00:02:26.000 --> 00:02:32.000]  佢就喺七章嘅四十四至五十節嗰度強調兩點
[00:02:32.000 --> 00:02:36.000]  第一點就係佢話呢 神喺曠野嘅時候係點呀
[00:02:36.000 --> 00:02:40.000]  神喺曠野裏面唔係靠聖殿同人同在
[00:02:40.000 --> 00:02:44.000]  神喺曠野裏面係靠見證嘅帳幕同以色列人同在
[00:02:44.000 --> 00:02:46.000]  呢個係第一點
[00:02:46.000 --> 00:02:48.000]  第二點係咩呢
[00:02:48.000 --> 00:02:50.000]  雖然所羅門建造聖殿
[00:02:50.000 --> 00:02:52.000]  但係司提反最終強調嘅係咩呀
[00:02:52.000 --> 00:02:55.000]  但係神唔係住喺聖殿
[00:02:55.000 --> 00:03:00.000]  因為神並唔住喺人手所做嘅殿宇當中
[00:03:00.000 --> 00:03:03.000]  咁所以司提反喺呢度做緊啲咩呀
[00:03:03.000 --> 00:03:06.000]  就係當佢畀人指控佢毀謗聖殿嘅時候
[00:03:06.000 --> 00:03:09.000]  佢就反指控嗰啲指控佢嘅人
[00:03:09.000 --> 00:03:13.000]  就話係你哋理解錯咗聖殿嘅功能
[00:03:13.000 --> 00:03:16.000]  神從來都唔係靠聖殿同人同在
[00:03:16.000 --> 00:03:19.000]  神係唔會住喺人手所做嘅殿當中
[00:03:19.000 --> 00:03:22.000]  係你哋理解錯聖殿嘅功能
[00:03:22.000 --> 00:03:23.000]  所以係咪好勁呀
[00:03:23.000 --> 00:03:26.000]  佢反串返嗰班指控佢嘅人
[00:03:26.000 --> 00:03:29.000]  第二就係司提反佢畀人指控咩呀
[00:03:29.000 --> 00:03:32.000]  毀謗律法
[00:03:32.000 --> 00:03:37.000]  咁所以佢就喺七章嘅35到43節嗰度就強調咩呀
[00:03:37.000 --> 00:03:40.000]  強調摩西領受咗活嘅聖賢
[00:03:40.000 --> 00:03:41.000]  但係係咩呀
[00:03:41.000 --> 00:03:46.000]  係以色列人嘅先祖唔肯聽佢講
[00:03:46.000 --> 00:03:48.000]  仲要向偶像獻祭
[00:03:48.000 --> 00:03:49.000]  值得注意嘅係咩呢
[00:03:49.000 --> 00:03:51.000]  就係司提反強調呢
[00:03:51.000 --> 00:03:55.000]  以色列人兩次推開咗摩西
[00:03:55.000 --> 00:03:56.000]  換言之呢
[00:03:56.000 --> 00:04:00.000]  司提反喺呢度被人指控毀謗律法
[00:04:00.000 --> 00:04:01.000]  但係佢係點呀
[00:04:01.000 --> 00:04:05.000]  佢反指控返以色列人嘅先祖呢
[00:04:05.000 --> 00:04:07.000]  先係違背摩西律法嗰個
[00:04:07.000 --> 00:04:10.000]  佢甚至係七章51到53節嗰度呢
[00:04:10.000 --> 00:04:12.000]  去反指控嗰啲呢指控佢嘅人
[00:04:12.000 --> 00:04:13.000]  話佢哋咩呀
[00:04:13.000 --> 00:04:15.000]  就話你哋就好似嗰啲先祖一樣
[00:04:15.000 --> 00:04:18.000]  好似你哋先祖一樣違背律法
[00:04:18.000 --> 00:04:21.000]  好似先祖殺害先知一樣
[00:04:21.000 --> 00:04:24.000]  殺害咗嗰個二人耶穌
[00:04:24.000 --> 00:04:31.000]  咁呢聖殿同埋律法呢係當時呢猶太人呢最重視嘅嘢啦係咪
[00:04:31.000 --> 00:04:33.000]  咁司提反喺呢度呢
[00:04:33.000 --> 00:04:35.000]  唔單止呢冇辯護到自己呢
[00:04:35.000 --> 00:04:39.000]  冇毀謗聖殿同埋冇毀謗律法
[00:04:39.000 --> 00:04:40.000]  反而點呀
[00:04:40.000 --> 00:04:42.000]  反而反指控返嗰啲指控佢嘅人
[00:04:42.000 --> 00:04:45.000]  係你哋錯誤理解咗聖殿嘅功能
[00:04:45.000 --> 00:04:47.000]  同埋唔係我違背律法
[00:04:47.000 --> 00:04:50.000]  係你哋同埋你哋嘅先祖違背律法
[00:04:50.000 --> 00:04:51.000]  咁所以個結果係咩呀
[00:04:51.000 --> 00:04:53.000]  就即刻畀人打死啦係咪
[00:04:53.000 --> 00:04:57.000]  所以佢就唔再講嘢冇機會再講嘢啦
[00:04:57.000 --> 00:04:59.000]  不過呢
[00:04:59.000 --> 00:05:01.000]  司提反呢呢段講話呢
[00:05:01.000 --> 00:05:03.000]  最難理解嘅地方呢
[00:05:03.000 --> 00:05:06.000]  其實並唔係點解佢咁撩交打
[00:05:06.000 --> 00:05:11.000]  而係點解司提反要咁長氣嘅呢
[00:05:11.000 --> 00:05:14.000]  點解呢個講話咁沉氣
[00:05:14.000 --> 00:05:16.000]  要用58節嘅經文嘅呢
[00:05:16.000 --> 00:05:18.000]  如果我哋去留意嘅話呢
[00:05:18.000 --> 00:05:22.000]  司提反係被指控毀謗聖殿同埋律法
[00:05:22.000 --> 00:05:24.000]  但係如果我哋留意返呢段經文呢
[00:05:24.000 --> 00:05:30.000]  58節嘅經文大部分都同毀謗聖殿同埋律法係無關
[00:05:30.000 --> 00:05:32.000]  大部分嘅內容係咩呀
[00:05:32.000 --> 00:05:37.000]  大部分嘅內容係司提反重述返以色列嘅歷史
[00:05:37.000 --> 00:05:39.000]  我哋要問嘅問題就係
[00:05:39.000 --> 00:05:41.000]  如果司提反嘅講話
[00:05:41.000 --> 00:05:45.000]  淨係為咗回應毀謗聖殿同埋律法嘅指控嘅話
[00:05:45.000 --> 00:05:50.000]  點解佢要用咁多篇幅去講返以色列嘅歷史呢
[00:05:50.000 --> 00:05:54.000]  點解佢要用咁多篇幅去講返以色列嘅歷史呢
[00:05:54.000 --> 00:05:56.000]  要答呢條問題呢
[00:05:56.000 --> 00:05:58.000]  我哋首先要去睇下
[00:05:58.000 --> 00:06:02.000]  司提反所講嘅以色列嘅歷史有啲乜嘢特別
[00:06:02.000 --> 00:06:05.000]  同埋睇下司提反所提及嘅人物
[00:06:05.000 --> 00:06:07.000]  有啲咩嘢特別
[00:06:07.000 --> 00:06:11.000]  首先我哋睇下司提反呢
[00:06:11.000 --> 00:06:13.000]  佢講嘅歷史有啲咩特別
[00:06:13.000 --> 00:06:15.000]  司提反呢
[00:06:15.000 --> 00:06:16.000]  佢講嘅歷史呢
[00:06:16.000 --> 00:06:19.000]  大致上可以分為四個階段
[00:06:19.000 --> 00:06:22.000]  第一個階段呢就係亞伯拉罕嘅階段
[00:06:22.000 --> 00:06:25.000]  第二個階段呢就係約瑟嘅階段
[00:06:25.000 --> 00:06:27.000]  第三呢就係摩西嘅階段
[00:06:27.000 --> 00:06:31.000]  第四呢就係約舒亞帶領以色列人
[00:06:31.000 --> 00:06:34.000]  進入咗迦蘭地之後嘅階段
[00:06:34.000 --> 00:06:36.000]  咁如果我哋去睇嘅話呢
[00:06:36.000 --> 00:06:39.000]  你見到司提反最強調嘅階段係咩呀
[00:06:39.000 --> 00:06:42.000]  係未入迦蘭地之前
[00:06:42.000 --> 00:06:45.000]  佢就係用咗僅僅大概六節嘅經文
[00:06:45.000 --> 00:06:48.000]  58節經文裏面用咗六節嘅經文
[00:06:48.000 --> 00:06:51.000]  去講約舒亞帶領以色列人入迦蘭地
[00:06:51.000 --> 00:06:52.000]  同埋之後嘅嘢
[00:06:52.000 --> 00:06:53.000]  就係用咗六節
[00:06:53.000 --> 00:06:56.000]  但係大部分嘅篇幅都係講緊
[00:06:56.000 --> 00:06:59.000]  以色列人係迦蘭地之前嘅事
[00:06:59.000 --> 00:07:01.000]  咁我哋就要問一個問題
[00:07:01.000 --> 00:07:06.000]  亞伯拉罕約瑟同埋摩西嘅時代
[00:07:06.000 --> 00:07:08.000]  有啲乜嘢共通點呢
[00:07:08.000 --> 00:07:12.000]  亞伯拉罕約瑟同埋摩西嘅時代
[00:07:12.000 --> 00:07:13.000]  有咩共通點呢
[00:07:13.000 --> 00:07:16.000]  呢三個時代有啲乜嘢共通點
[00:07:16.000 --> 00:07:21.000]  佢哋嘅共通點呢三個時代嘅共通點
[00:07:21.000 --> 00:07:27.000]  就係神係以色列地以外工作
[00:07:27.000 --> 00:07:31.000]  神係以色列地以外工作
[00:07:31.000 --> 00:07:34.000]  例如喺亞伯拉罕嘅時代
[00:07:34.000 --> 00:07:37.000]  神係喺邊度呼召亞伯拉罕
[00:07:37.000 --> 00:07:41.000]  神係喺米索不達米亞呼召亞伯拉罕
[00:07:41.000 --> 00:07:42.000]  叫佢搬屋
[00:07:42.000 --> 00:07:47.000]  跟住約瑟嘅時代
[00:07:47.000 --> 00:07:48.000]  神係點㗎
[00:07:48.000 --> 00:07:50.000]  神係喺埃及
[00:07:50.000 --> 00:07:52.000]  唔係喺以色列地
[00:07:52.000 --> 00:07:53.000]  唔係喺加南地
[00:07:53.000 --> 00:07:56.000]  神係喺埃及度同約瑟同在
[00:07:56.000 --> 00:07:59.000]  並且拯救佢脫離一切嘅患難
[00:07:59.000 --> 00:08:00.000]  然後摩西呢
[00:08:00.000 --> 00:08:01.000]  摩西係點呀
[00:08:01.000 --> 00:08:04.000]  摩西唔係喺以色列地領受呼召
[00:08:04.000 --> 00:08:06.000]  摩西做嘅嘢係喺邊度
[00:08:06.000 --> 00:08:10.000]  摩西係喺西奈山嘅礦野度被神呼召
[00:08:10.000 --> 00:08:13.000]  佢唔係喺以色列地度被神呼召
[00:08:13.000 --> 00:08:14.000]  同埋係點呀
[00:08:14.000 --> 00:08:16.000]  摩西係喺紅海同埋礦野
[00:08:16.000 --> 00:08:20.000]  以色列地以外度行神跡騎士
[00:08:20.000 --> 00:08:23.000]  去帶領以色列人喺礦野
[00:08:23.000 --> 00:08:25.000]  咁所以無論係亞伯拉罕約瑟
[00:08:25.000 --> 00:08:26.000]  定係摩西
[00:08:26.000 --> 00:08:28.000]  佢哋經歷緊嘅嘢係喺邊度經歷㗎
[00:08:28.000 --> 00:08:30.000]  佢哋點樣經歷神
[00:08:30.000 --> 00:08:32.000]  佢哋唔係喺以色列地度經歷神
