
[00:00:00.000 --> 00:00:03.000]  歡迎來到聖地網上行的第五集
[00:00:03.000 --> 00:00:05.300]  我們在這麼多集中希望你們能夠了解到
[00:00:05.300 --> 00:00:09.400]  原來聖經的地理和背景的處境是非常重要的
[00:00:09.400 --> 00:00:11.200]  往往因為我們現代的信徒
[00:00:11.200 --> 00:00:14.400]  跟聖經的距離有差別
[00:00:14.400 --> 00:00:16.200]  所以我們很多時候看聖經
[00:00:16.200 --> 00:00:22.400]  我們會錯過了這些地理、文化、背景的細節
[00:00:22.400 --> 00:00:24.800]  但如果我們這樣略過這些細節
[00:00:24.800 --> 00:00:28.400]  我們就會看到聖經的背景是非常清楚的
[00:00:28.400 --> 00:00:33.400]  我們就會失去了聖經本身很豐富的意思
[00:00:33.400 --> 00:00:35.400]  也可能有這樣的危機
[00:00:35.400 --> 00:00:37.400]  就是將自己的想法
[00:00:37.400 --> 00:00:40.400]  現代的想法加進聖經裏面
[00:00:40.400 --> 00:00:42.400]  所以我們不是單單旅遊
[00:00:42.400 --> 00:00:45.400]  我們其實是去到賢經
[00:00:45.400 --> 00:00:47.400]  去看看聖地不同的地方
[00:00:47.400 --> 00:00:50.400]  然後我們就去連結聖經裏面的經文
[00:00:50.400 --> 00:00:53.400]  我們上次去到跟隨耶穌的腳踪
[00:00:53.400 --> 00:00:55.400]  我們來到加利利
[00:00:55.400 --> 00:00:57.400]  在你下載的地圖
[00:00:57.400 --> 00:00:59.400]  北邊的地方就是加利利
[00:00:59.400 --> 00:01:03.400]  當然中間最重要的地方就是加利利湖
[00:01:03.400 --> 00:01:06.400]  耶穌就是用加利利湖的其中一個漁港
[00:01:06.400 --> 00:01:08.400]  叫做加帕隆
[00:01:08.400 --> 00:01:10.400]  成為祂的傳道基地
[00:01:10.400 --> 00:01:13.400]  所以耶穌的教導和講道
[00:01:13.400 --> 00:01:17.400]  都是用當時的地理、地景
[00:01:17.400 --> 00:01:22.400]  日常人能夠接觸到的事物來做材料
[00:01:22.400 --> 00:01:25.400]  今天我們去讀《馬可福音》第四章
[00:01:26.400 --> 00:01:29.400]  耶穌有到海邊教導人
[00:01:29.400 --> 00:01:32.400]  有一大群人聚集到他那裏
[00:01:32.400 --> 00:01:34.400]  因此他上船坐下來
[00:01:34.400 --> 00:01:36.400]  船在海中
[00:01:36.400 --> 00:01:40.400]  群眾都朝著海站在岸上
[00:01:40.400 --> 00:01:43.400]  他用比喻教導他們許多事
[00:01:43.400 --> 00:01:44.400]  在教訓中他說
[00:01:44.400 --> 00:01:45.400]  你們聽著
[00:01:45.400 --> 00:01:47.400]  有一個殺種的出去殺種
[00:01:47.400 --> 00:01:48.400]  殺的時候
[00:01:48.400 --> 00:01:50.400]  有的落在路旁
[00:01:50.400 --> 00:01:52.400]  小鳥飛來就吃掉了
[00:01:52.400 --> 00:01:55.400]  有的落在泥土不多的石地上
[00:01:55.400 --> 00:01:57.400]  因為泥土不深
[00:01:57.400 --> 00:01:59.400]  很快就長起來
[00:01:59.400 --> 00:02:01.400]  但太陽一出來就把它曬乾
[00:02:01.400 --> 00:02:03.400]  沒有根就枯萎了
[00:02:03.400 --> 00:02:06.400]  有的落在荊棘裏面
[00:02:06.400 --> 00:02:08.400]  荊棘長起來就把它擠住
[00:02:08.400 --> 00:02:10.400]  它就結不出果實
[00:02:10.400 --> 00:02:13.400]  有的落在好的土壤上
[00:02:13.400 --> 00:02:15.400]  生長繁茂結出果實
[00:02:15.400 --> 00:02:17.400]  三十倍、六十倍
[00:02:17.400 --> 00:02:19.400]  有的是一百倍
[00:02:19.400 --> 00:02:20.400]  耶穌又說
[00:02:20.400 --> 00:02:23.400]  有耳可聽的就應當聽
[00:02:23.400 --> 00:02:27.400]  今天的教師通常都會站起來去講書
[00:02:27.400 --> 00:02:29.400]  但第一世紀的背景就不是這樣
