
[00:00:00.000 --> 00:00:16.120]  今天我們想來強調一個主題
[00:00:16.120 --> 00:00:17.760]  可能這個主題你們聽過
[00:00:17.760 --> 00:00:20.040]  我們每個月一次會講
[00:00:20.040 --> 00:00:21.960]  由今年年頭開始到現在
[00:00:21.960 --> 00:00:23.760]  我們會講一個主題
[00:00:23.760 --> 00:00:25.480]  跟我們基督徒成長有關的
[00:00:25.480 --> 00:00:28.480]  每一個信耶穌的人
[00:00:28.480 --> 00:00:31.360]  由第一步開始跟隨耶穌信徒的福音之後
[00:00:31.360 --> 00:00:33.680]  我們主要崇拜的是認識上帝
[00:00:33.680 --> 00:00:35.640]  然後認識信仰的基本
[00:00:35.640 --> 00:00:37.440]  繼續探索真理等等
[00:00:37.440 --> 00:00:40.040]  一直受洗見證等等
[00:00:40.040 --> 00:00:42.200]  我們已經到了第八個了
[00:00:42.200 --> 00:00:44.560]  第八個剛剛就講到宣教
[00:00:44.560 --> 00:00:46.200]  毀身傳若
[00:00:46.200 --> 00:00:48.680]  剛才聽完May May分享
[00:00:48.680 --> 00:00:50.400]  我不知道你有沒有想過
[00:00:50.400 --> 00:00:53.200]  宣教是一個這樣的title
[00:00:53.200 --> 00:00:54.560]  Missionary
[00:00:54.560 --> 00:00:56.040]  一個這樣的title
[00:00:56.040 --> 00:00:58.040]  你想的時候你會覺得
[00:00:58.040 --> 00:01:00.040]  會不會是你自己呢
[00:01:00.040 --> 00:01:04.200]  或者你聽見missionary的時候
[00:01:04.200 --> 00:01:06.800]  可能是站在台上分享
[00:01:06.800 --> 00:01:09.040]  或者那些被差派出去的人
[00:01:09.040 --> 00:01:11.600]  那些才算是missionary
[00:01:11.600 --> 00:01:13.840]  算是宣教士
[00:01:13.840 --> 00:01:15.840]  我自己就不是
[00:01:15.840 --> 00:01:17.840]  我覺得那些宣教士是有光環的
[00:01:17.840 --> 00:01:20.240]  無論我去那裡做事都好
[00:01:20.240 --> 00:01:23.000]  但是聖經是不是這樣講呢
[00:01:23.000 --> 00:01:26.440]  聖經原來說你和我
[00:01:26.440 --> 00:01:28.440]  每一個信耶穌的人
[00:01:28.440 --> 00:01:30.440]  每一個都認信耶穌基督的人
[00:01:30.440 --> 00:01:32.440]  其實我們就是宣教士
[00:01:32.440 --> 00:01:33.440]  Missionary
[00:01:33.440 --> 00:01:35.440]  Missionary的意思就是說
[00:01:35.440 --> 00:01:37.440]  我們帶著耶穌基督給我們的message
[00:01:37.440 --> 00:01:39.440]  我們走到我們自己的地方
[00:01:39.440 --> 00:01:41.440]  我們的崗位
[00:01:41.440 --> 00:01:44.440]  我們就是去宣講這個訊息
[00:01:44.440 --> 00:01:45.440]  是不是
[00:01:45.440 --> 00:01:47.440]  聖經裡面有很多這樣的故事
[00:01:47.440 --> 00:01:50.440]  今天我想和你提一段很重要的
[00:01:50.440 --> 00:01:54.440]  記載到第一世紀的教會
[00:01:54.440 --> 00:01:56.440]  2000年之前的教會
[00:01:56.440 --> 00:01:58.440]  第一世紀的教會
[00:01:58.440 --> 00:02:00.440]  這個教會在一本書裡面
[00:02:00.440 --> 00:02:02.440]  文件裡面記載的
[00:02:02.440 --> 00:02:04.440]  叫做《司徒行傳》
[00:02:04.440 --> 00:02:06.440]  這本叫做Book of Acts的書
[00:02:06.440 --> 00:02:12.440]  記載了一個很重要的發展的突破
[00:02:12.440 --> 00:02:14.440]  當時教會耶穌基督死而復活之後
[00:02:14.440 --> 00:02:18.440]  大概AD主後30年左右的時候
[00:02:18.440 --> 00:02:22.440]  去到這個時候大概AD40多的時候
[00:02:22.440 --> 00:02:25.440]  是一個宣教上的突破
[00:02:25.440 --> 00:02:27.440]  11章第19節
[00:02:27.440 --> 00:02:31.440]  那些因私提反Steven這個人
[00:02:31.440 --> 00:02:34.440]  的事而遭患難四散的門徒
[00:02:34.440 --> 00:02:38.440]  直走到菲尼基一個地方
[00:02:38.440 --> 00:02:40.440]  另外一個地方就是塞浦路斯
[00:02:40.440 --> 00:02:44.440]  並且去到更遠的地方叫做安提奧Antioch
[00:02:44.440 --> 00:02:46.440]  他們不向其他人講道
[00:02:46.440 --> 00:02:48.440]  不去跟其他人講福音
[00:02:48.440 --> 00:02:50.440]  只是向猶太人講福音
[00:02:50.440 --> 00:02:54.440]  但是內宗有塞浦路斯人或者古利內人
[00:02:54.440 --> 00:02:57.440]  他們來到安提奧就向希臘人
[00:02:57.440 --> 00:02:59.440]  就是非猶太人
[00:02:59.440 --> 00:03:01.440]  所謂猶太人眼中的外邦人
[00:03:01.440 --> 00:03:03.440]  傳講主耶穌
[00:03:03.440 --> 00:03:05.440]  主與他們同在,信義歸主
[00:03:05.440 --> 00:03:07.440]  就很多了
[00:03:07.440 --> 00:03:09.440]  如果你看一看地圖
[00:03:09.440 --> 00:03:11.440]  大概這個《司徒行傳》
[00:03:11.440 --> 00:03:13.440]  這本Book of Acts
[00:03:13.440 --> 00:03:15.440]  你當它是歷史文件
[00:03:15.440 --> 00:03:16.440]  就算你沒看過聖經
[00:03:16.440 --> 00:03:18.440]  你不去教會你不信耶穌
[00:03:18.440 --> 00:03:20.440]  這本文件記載一件事
[00:03:20.440 --> 00:03:25.440]  就是記載當時在耶路撒冷開始的運動
[00:03:25.440 --> 00:03:27.440]  耶穌基督死而復活之後
[00:03:27.440 --> 00:03:30.440]  他們得到這個訊息被拆派出去
[00:03:30.440 --> 00:03:32.440]  在耶路撒冷開始
[00:03:32.440 --> 00:03:34.440]  大部分都是猶太人的基督徒
[00:03:34.440 --> 00:03:37.440]  他們在猶太的地區
[00:03:37.440 --> 00:03:39.440]  耶路撒冷來到建立教會
[00:03:39.440 --> 00:03:41.440]  傳福音,有人信住
[00:03:41.440 --> 00:03:43.440]  建立了教會,Church planting
[00:03:43.440 --> 00:03:46.440]  然後就有一件事發生
[00:03:46.440 --> 00:03:48.440]  《司徒行傳》第七章說到
[00:03:48.440 --> 00:03:50.440]  有一個叫司提反的人
[00:03:50.440 --> 00:03:52.440]  他就殉道
[00:03:52.440 --> 00:03:54.440]  在教會又開始
[00:03:54.440 --> 00:03:57.440]  幾年之後
[00:03:57.440 --> 00:04:00.440]  就有第一個宣教士殉道
[00:04:00.440 --> 00:04:03.440]  Steven這個宣教士死了之後
[00:04:03.440 --> 00:04:07.440]  因為教會受到大規模的迫害
[00:04:07.440 --> 00:04:10.440]  被人欺凌,被人趕走
[00:04:10.440 --> 00:04:13.440]  所以門徒就四散
[00:04:13.440 --> 00:04:16.440]  《司徒行傳》到今天我們看《元年經文》
[00:04:16.440 --> 00:04:18.440]  有一章這個故事就說到
[00:04:18.440 --> 00:04:21.440]  他們四散到北上
[00:04:21.440 --> 00:04:23.440]  上到塞浦路斯的地方
[00:04:23.440 --> 00:04:24.440]  坐船過去
[00:04:24.440 --> 00:04:27.440]  或者去到Fenicia這個地方
[00:04:27.440 --> 00:04:29.440]  這些全部都是當時最重要的trading route
[00:04:29.440 --> 00:04:32.440]  最重要的商貿路線
[00:04:32.440 --> 00:04:34.440]  他們就去到這些地方
[00:04:34.440 --> 00:04:36.440]  然後他們帶著福音
[00:04:36.440 --> 00:04:37.440]  他們就去到那裡
[00:04:37.440 --> 00:04:40.440]  就向自己的人,猶太人的基督徒
[00:04:40.440 --> 00:04:42.440]  向猶太人去港島
[00:04:42.440 --> 00:04:44.440]  甚至有些去到安提柯
[00:04:44.440 --> 00:04:48.440]  另一個大的商貿的城市
[00:04:48.440 --> 00:04:51.440]  他們去到這裏又是帶著福音
[00:04:51.440 --> 00:04:54.440]  然後將福音傳開
[00:04:54.440 --> 00:04:56.440]  留意裏面一些的智女行間
