
[00:00:00.000 --> 00:00:02.000]  真的非常好
[00:00:02.000 --> 00:00:03.000]  OK
[00:00:03.000 --> 00:00:06.000]  今天我想總結C篇的系列
[00:00:06.000 --> 00:00:09.000]  最好我們看看上行之詩
[00:00:09.000 --> 00:00:11.000]  Song of Essence
[00:00:11.000 --> 00:00:14.000]  所以我們此前看過不同的C篇
[00:00:14.000 --> 00:00:17.000]  看過不同的上行之詩
[00:00:17.000 --> 00:00:20.000]  我們想這次總結一下
[00:00:20.000 --> 00:00:21.000]  上行之詩是什麼意思呢?
[00:00:21.000 --> 00:00:26.000]  15首詩歌從C篇120篇到134
[00:00:26.000 --> 00:00:27.000]  15首
[00:00:27.000 --> 00:00:30.000]  可能是世世代代舊約神的子民
[00:00:30.000 --> 00:00:33.000]  他們去到worship去到敬拜
[00:00:33.000 --> 00:00:36.000]  因為他們的律法裡面說
[00:00:36.000 --> 00:00:38.000]  每一年要上去耶路撒冷
[00:00:38.000 --> 00:00:39.000]  無論你住哪一個地方
[00:00:39.000 --> 00:00:41.000]  都要三次
[00:00:41.000 --> 00:00:43.000]  第一次是Passover的時候
[00:00:43.000 --> 00:00:46.000]  我們的Good Friday Easter的時候
[00:00:46.000 --> 00:00:48.000]  第二次就是七七四日
[00:00:48.000 --> 00:00:49.000]  九日之後
[00:00:49.000 --> 00:00:50.000]  就是五十日
[00:00:50.000 --> 00:00:52.000]  五秦節
[00:00:52.000 --> 00:00:53.000]  就是他們的修國節
[00:00:53.000 --> 00:00:56.000]  然後就到秋季
[00:00:56.000 --> 00:00:58.000]  就是到駐彭節的時候
[00:00:58.000 --> 00:01:00.000]  大概是我們西曆九月尾
[00:01:00.000 --> 00:01:01.000]  十月的時候
[00:01:01.000 --> 00:01:04.000]  你看到這三個節日裡面
[00:01:04.000 --> 00:01:06.000]  其實包括了整年
[00:01:06.000 --> 00:01:08.000]  他們的農耕的
[00:01:08.000 --> 00:01:10.000]  他們的所謂的Fiscal Year
[00:01:10.000 --> 00:01:11.000]  三次的
[00:01:11.000 --> 00:01:13.000]  不單止自己要在家裡
[00:01:13.000 --> 00:01:15.000]  要去紀念去敬拜
