
[00:00:00.000 --> 00:00:01.160]   Good morning, guys.
[00:00:01.160 --> 00:00:02.920]   Why don't we say hi to each other?
[00:00:02.920 --> 00:00:04.480]   Just wave your hand.
[00:00:04.480 --> 00:00:05.680]   Good to be here.
[00:00:05.680 --> 00:00:06.520]   Whose bottle is this?
[00:00:06.520 --> 00:00:09.760]   Oh, it's some living water, yeah.
[00:00:09.760 --> 00:00:12.880]   Okay, today we are going to continue
[00:00:12.880 --> 00:00:15.040]   with the reflection on what is going on
[00:00:15.040 --> 00:00:16.560]   in Israel-Palestine.
[00:00:16.560 --> 00:00:18.320]   I'm not going to talk so much about
[00:00:18.320 --> 00:00:21.320]   what is going on right there on the ground.
[00:00:21.320 --> 00:00:26.240]   It's tragedy to both sides.
[00:00:26.240 --> 00:00:28.880]   No matter what happened, ground invasion
[00:00:28.880 --> 00:00:31.760]   or spill out into a regional conflict,
[00:00:31.760 --> 00:00:33.240]   it's going to be bad.
[00:00:33.240 --> 00:00:37.680]   What I would like to do is, in this conflict,
[00:00:37.680 --> 00:00:40.360]   there were a lot of different arguments
[00:00:40.360 --> 00:00:43.960]   and a lot of different discussions about the land.
[00:00:43.960 --> 00:00:46.200]   So I would like to walk you through,
[00:00:46.200 --> 00:00:48.800]   like what I did last week,
[00:00:48.800 --> 00:00:50.320]   walk you through the entire Bible
[00:00:50.320 --> 00:00:51.840]   from the first book, Genesis,
[00:00:51.840 --> 00:00:53.680]   to the last book, Revelation,
[00:00:53.680 --> 00:00:57.320]   and what is going on with the theme of land.
[00:00:57.320 --> 00:00:58.960]   Definitely in the Old Testament,
[00:00:58.960 --> 00:01:01.120]   there were a lot of discussions
[00:01:01.120 --> 00:01:04.640]   and a lot of emphasis on land,
[00:01:04.640 --> 00:01:08.240]   land of Canaan, which is between the Mediterranean Sea
[00:01:08.240 --> 00:01:10.200]   and the desert on the right,
[00:01:10.200 --> 00:01:12.400]   that narrow corridor.
[00:01:12.400 --> 00:01:16.480]   In this conflict currently happening,
[00:01:16.480 --> 00:01:21.400]   people often come to the debates and the arguments,
[00:01:21.400 --> 00:01:26.360]   whose land is this and who should stay in this land?
[00:01:26.360 --> 00:01:28.160]   And it can be very divisive.
[00:01:28.160 --> 00:01:29.160]   But I want to walk you through
[00:01:29.160 --> 00:01:30.520]   from Old Testament to New Testament,
[00:01:30.520 --> 00:01:31.920]   what is going on here.
[00:01:31.920 --> 00:01:33.800]   Sometimes we miss the big picture.
[00:01:33.800 --> 00:01:36.560]   The Bible, when the Bible talks about the land of Canaan,
[00:01:36.560 --> 00:01:40.680]   the promised land, it actually talks about grace.
[00:01:40.680 --> 00:01:44.800]   It actually talks about God's gifting the land
[00:01:44.800 --> 00:01:47.400]   to the Israelites, to the Old Testament people.
[00:01:47.400 --> 00:01:52.240]   And the land is a sheer, a sheer gift from God.
[00:01:52.240 --> 00:01:54.280]   And the people of God get to enter
[00:01:54.280 --> 00:01:57.200]   and to enjoy the land all because of God's grace.
[00:01:57.200 --> 00:01:59.800]   Of course, there was a covenant between God and the people,
[00:01:59.800 --> 00:02:01.600]   and the people are to be faithful.
[00:02:01.600 --> 00:02:05.760]   People are to follow the Torah,
[00:02:05.760 --> 00:02:08.560]   the principles lay out in the Old Testament,
[00:02:08.560 --> 00:02:12.240]   especially the first five books, how to manage their land.
[00:02:12.240 --> 00:02:16.320]   So when the Bible talks about God gifting the land
[00:02:16.320 --> 00:02:17.880]   to the Old Testament people,
[00:02:17.880 --> 00:02:20.760]   it is not saying, okay, anything goes.
[00:02:20.760 --> 00:02:24.120]   You know, I just give you this piece of property
[00:02:24.120 --> 00:02:27.080]   and you can just go in and do whatever you want, right?
[00:02:27.080 --> 00:02:30.440]   And by the way, we talk about the people of God being chosen,
[00:02:30.440 --> 00:02:32.560]   right, chosen people of God.
[00:02:32.560 --> 00:02:37.560]   The word chosen or the concept of election, chosen,
[00:02:37.560 --> 00:02:42.440]   does not mean the people being chosen have privileges,
[00:02:42.440 --> 00:02:46.520]   does not mean the people being chosen are superior.
[00:02:46.520 --> 00:02:50.680]   Chosen or being elected means God is choosing you
[00:02:50.680 --> 00:02:55.040]   to be his instrument to bless other people, right?
[00:02:55.040 --> 00:02:59.120]   So it's the land, the land is a gift.
[00:02:59.120 --> 00:03:04.000]   And the Israelites are called to manage it well
[00:03:04.000 --> 00:03:08.080]   and to give back and to love God.
[00:03:08.080 --> 00:03:10.080]   So there are many different principles in the Torah,
[00:03:10.080 --> 00:03:12.760]   and I wanna give you a sample of it.
[00:03:12.760 --> 00:03:14.840]   One of the sample that talks about
[00:03:14.840 --> 00:03:19.600]   how people should behave in the land,
[00:03:19.600 --> 00:03:22.120]   in the land gifted by God.
[00:03:22.120 --> 00:03:24.320]   Deuteronomy 24, it says,
[00:03:24.320 --> 00:03:29.320]   "When you beat the olives from your olive trees," okay,
[00:03:29.320 --> 00:03:30.480]   "don't beat it twice.
[00:03:30.480 --> 00:03:34.400]   "The remaining olives are for the foreigners
[00:03:34.400 --> 00:03:38.040]   "or the orphans, the widows.
[00:03:38.040 --> 00:03:40.120]   "When you gather the grapes in your vineyard,
[00:03:40.120 --> 00:03:44.080]   "do not clean the vines after they are picked.
[00:03:44.080 --> 00:03:47.480]   "Leave the remaining grapes for the foreigners,
[00:03:47.480 --> 00:03:50.200]   "orphans, and widows.
[00:03:50.200 --> 00:03:53.160]   "Remember that you were slaves in the land of Egypt.
[00:03:53.160 --> 00:03:56.640]   "That is why I am giving you this command."
[00:03:56.640 --> 00:03:57.560]   Now, this is very interesting.
[00:03:57.560 --> 00:04:00.120]   When you beat the olives, what does it mean, right?
[00:04:00.120 --> 00:04:01.520]   Have you seen the olive tree?
[00:04:01.520 --> 00:04:04.080]   Olive tree, no?
[00:04:04.080 --> 00:04:06.000]   Okay, you've seen olives, right?
[00:04:06.000 --> 00:04:06.840]   In whole foods.
[00:04:06.840 --> 00:04:11.760]   Right, but olive tree, the olive tree,
[00:04:11.760 --> 00:04:12.920]   it's like an umbrella,
[00:04:12.920 --> 00:04:15.400]   and when you harvest olive tree,
[00:04:15.400 --> 00:04:18.920]   the olives are on the tree, on the branches,
[00:04:18.920 --> 00:04:20.000]   and how you do it?
[00:04:20.000 --> 00:04:23.960]   You have a blanket under the tree,
