
[00:00:00.000 --> 00:00:04.840]  有了這些地理知識就可以去解經
[00:00:04.840 --> 00:00:06.840]  解什麼經呢?
[00:00:06.840 --> 00:00:08.840]  譬如這一段
[00:00:08.840 --> 00:00:12.680]  《新明記》第四章第六節
[00:00:12.680 --> 00:00:14.680]  講什麼?
[00:00:14.680 --> 00:00:21.480]  他說摩西和那些以色列人
[00:00:21.480 --> 00:00:23.480]  他們快要進入迦南地
[00:00:23.480 --> 00:00:25.480]  在哪裡講的?
[00:00:25.480 --> 00:00:30.320]  《新明記》是在耶利哥對面的摩亞平原
[00:00:30.320 --> 00:00:32.320]  你都可以跟他們講話
[00:00:32.320 --> 00:00:34.320]  摩亞平原在哪裡?
[00:00:34.320 --> 00:00:36.320]  就在耶利哥附近
[00:00:36.320 --> 00:00:38.320]  尼泊爾山
[00:00:38.320 --> 00:00:40.320]  摩西死的地方
[00:00:40.320 --> 00:00:42.320]  在哪裡?
[00:00:42.320 --> 00:00:44.320]  就在這裡
[00:00:44.320 --> 00:00:46.320]  我剛剛點了出來
[00:00:46.320 --> 00:00:48.320]  尼泊爾山
[00:00:48.320 --> 00:00:50.320]  這條是約旦河
[00:00:50.320 --> 00:00:52.320]  摩西最後的講話
[00:00:52.320 --> 00:01:00.000]  在《新明記》中揭露出來
[00:01:00.000 --> 00:01:02.000]  就是跟這些以色列人說
[00:01:02.000 --> 00:01:04.000]  他們已經是第二代了
[00:01:04.000 --> 00:01:06.000]  因為他們已經離開埃及
[00:01:06.000 --> 00:01:08.000]  去了西乃的曠野
[00:01:08.000 --> 00:01:10.000]  埃及出來了
[00:01:10.000 --> 00:01:14.000]  然後他們經過西乃半島去到西乃山
[00:01:14.000 --> 00:01:16.000]  然後在曠野四十年
[00:01:16.000 --> 00:01:18.000]  第一代已經過去了
[00:01:18.000 --> 00:01:20.000]  他們繞過伊東地
[00:01:20.000 --> 00:01:22.000]  摩西的半島
[00:01:22.000 --> 00:01:24.000]  摩亞地
[00:01:24.000 --> 00:01:26.000]  然後已經來到尼泊爾山的山腳
[00:01:26.000 --> 00:01:30.000]  這裡就是摩西跟他們第二次
[00:01:30.000 --> 00:01:32.000]  跟他們再申報
[00:01:32.000 --> 00:01:34.000]  重申上帝的律法
[00:01:34.000 --> 00:01:36.000]  《新明記》就是這個意思
[00:01:36.000 --> 00:01:38.000]  第二條法律
[00:01:38.000 --> 00:01:40.000]  整本《新明記》都是摩西的講章
[00:01:40.000 --> 00:01:42.000]  跟這些以色列人說什麼呢?
[00:01:42.000 --> 00:01:44.000]  他們準備進入迦南地的時候
[00:01:44.000 --> 00:01:46.000]  左邊
[00:01:46.000 --> 00:01:48.000]  準備進入主迦南
[00:01:48.000 --> 00:01:50.000]  他們在這個
[00:01:50.000 --> 00:01:52.000]  死海上的
[00:01:52.000 --> 00:01:54.000]  摩亞的平原
[00:01:54.000 --> 00:01:56.000]  跟他們說什麼呢?
[00:01:56.000 --> 00:01:58.000]  他們說你們要謹守遵行上帝的約
[00:01:58.000 --> 00:02:02.000]  這就是你們在萬民面前的智慧和聰明
[00:02:02.000 --> 00:02:04.000]  為什麼特別提到萬民眼前?
[00:02:04.000 --> 00:02:08.000]  當然他們見證就是在眾民之間
[00:02:08.000 --> 00:02:10.000]  所有外邦的民族之前
[00:02:10.000 --> 00:02:12.000]  但如果你有了地理的動態
[00:02:12.000 --> 00:02:14.000]  你就知道
[00:02:14.000 --> 00:02:16.000]  在迦南地講萬民面前
[00:02:16.000 --> 00:02:18.000]  就真的是地理的現實
[00:02:18.000 --> 00:02:20.000]  因為萬國都會經過那個地方
[00:02:20.000 --> 00:02:22.000]  三個大陸的人
[00:02:22.000 --> 00:02:24.000]  去第二個地方都會經過迦南地
[00:02:24.000 --> 00:02:26.000]  在萬民之前
[00:02:26.000 --> 00:02:28.000]  你們就是成為智慧和聰明
[00:02:28.000 --> 00:02:30.000]  那些萬民聽見這一切的律例
[00:02:30.000 --> 00:02:32.000]  就會說這個大國真的有智慧有聰明
[00:02:32.000 --> 00:02:34.000]  哪有一個大國有神明
