
[00:00:00.000 --> 00:00:11.000]  我們繼續看中間之地的交通,世界書樓的地方,會點的地方
[00:00:11.000 --> 00:00:13.000]  我們可以處理一下經文
[00:00:13.000 --> 00:00:21.000]  以賽亞書第十九章,這裡選了一些跟路線和道路有關的經文
[00:00:21.000 --> 00:00:27.000]  十九章,以賽亞書,講到將來耶和華救恩的日子會是怎樣呢?
[00:00:27.000 --> 00:00:35.000]  他說,到那一天,必有一條從埃及通往亞述的大道
[00:00:35.000 --> 00:00:41.000]  亞述要進埃及,埃及的人要進入亞述
[00:00:41.000 --> 00:00:46.000]  埃及人要與亞述人一同敬拜耶和華
[00:00:46.000 --> 00:00:50.000]  所以講到埃及和亞述
[00:00:50.000 --> 00:00:58.000]  到那一天,他就用了道路來作為一個比喻
[00:00:58.000 --> 00:01:05.000]  亞述就是這個地方,北面的米索不達,和埃及
[00:01:05.000 --> 00:01:09.000]  必定有一條大道通往大家
[00:01:09.000 --> 00:01:20.000]  就是說,兩邊的帝國不再打架,不再爭,其實就是通往大家
[00:01:20.000 --> 00:01:30.000]  講到將來的終末的時候,會發生的普世宣教現象
[00:01:30.000 --> 00:01:32.000]  所謂宣教的意象
[00:01:32.000 --> 00:01:41.000]  將來這些外邦會有一條大道通過去,大家會認識真神,耶和華
[00:01:41.000 --> 00:01:47.000]  以賽亞書第九章,那裡講到什麼呢?
[00:01:47.000 --> 00:01:51.000]  那受過痛苦的必不再見憂暗
[00:01:51.000 --> 00:01:59.000]  從前上帝使西布倫地和拿忽他尼地被藐視
[00:01:59.000 --> 00:02:10.000]  滅後將使玄海的路若但河外,外邦人的加里尼得著榮耀
[00:02:10.000 --> 00:02:13.000]  在黑暗行走的百姓看見大光
[00:02:13.000 --> 00:02:17.000]  住在死暗之地的人有光照耀他們
[00:02:17.000 --> 00:02:21.000]  這個就是以賽亞書
[00:02:21.000 --> 00:02:27.000]  看到終末來到的時候,利賽亞的日子,神的救恩臨到的時候
[00:02:27.000 --> 00:02:29.000]  會發生什麼事呢?
[00:02:29.000 --> 00:02:35.000]  上帝會使西布倫地和拿忽他尼地以前被藐視
[00:02:35.000 --> 00:02:41.000]  滅後在玄海的路
[00:02:41.000 --> 00:02:44.000]  在拉丁文來說就是via maris
[00:02:44.000 --> 00:02:49.000]  玄海的路,這是一條國際的路線
[00:02:49.000 --> 00:02:54.000]  剛才介紹了,米索不達米亞通到大馬士革
[00:02:54.000 --> 00:02:59.000]  然後到加里尼,經過加帕隆,再到米吉多
[00:02:59.000 --> 00:03:02.000]  然後玄海路線一直到埃及
[00:03:02.000 --> 00:03:05.000]  這就是聖經所說的玄海的路
[00:03:05.000 --> 00:03:10.000]  是一條實際的路,不是想像中的路
[00:03:10.000 --> 00:03:16.000]  而是在迦林地最快的路,最多支流的路
[00:03:16.000 --> 00:03:20.000]  剛才David Dawsey所說的研究
[00:03:20.000 --> 00:03:27.000]  最多的中路,中向的,南北的,都是在哪裏呢?
[00:03:27.000 --> 00:03:31.000]  Coastal Plain,就是在玄海平原
[00:03:31.000 --> 00:03:37.000]  他說將來在這條路上會看到大光
[00:03:37.000 --> 00:03:41.000]  約旦河外,這個地方
[00:03:41.000 --> 00:03:45.000]  約旦河之外,這個地方
[00:03:45.000 --> 00:03:50.000]  外邦人的加里尼,是中間之地的中間之地
