
[00:00:00.000 --> 00:00:07.000]  在上一次講到約瑟雖然是不由自主要留在異鄉
[00:00:07.000 --> 00:00:09.000]  但因為有神的同在
[00:00:09.000 --> 00:00:14.000]  究竟有神的同在帶來約瑟有什麼後果呢?
[00:00:14.000 --> 00:00:19.000]  在故事當中的主角約瑟一直以來都有神的同在
[00:00:19.000 --> 00:00:21.000]  所以當他被賣之後
[00:00:21.000 --> 00:00:26.000]  可以由一個埃及人的奴隸升為埃及人的總管
[00:00:26.000 --> 00:00:31.000]  在約瑟壯年的時期他做了一次避害
[00:00:31.000 --> 00:00:35.000]  不過這次的避害不是因為兄長的疾到
[00:00:35.000 --> 00:00:40.000]  而這次約瑟的避害是因為約瑟收到試探
[00:00:40.000 --> 00:00:45.000]  這個經歷是約瑟做埃及人主管之後所發生的
[00:00:45.000 --> 00:00:49.000]  約瑟當時是受到他的主母色友試探
[00:00:49.000 --> 00:00:53.000]  在《創世紀》第39章7-20節
[00:00:53.000 --> 00:00:57.000]  那裡講到由於當時約瑟還未婚
[00:00:57.000 --> 00:01:01.000]  而且他長得非常英俊又瀟灑又能幹
[00:01:01.000 --> 00:01:05.000]  並得到主人的器重和信任
[00:01:05.000 --> 00:01:07.000]  以一個非埃及人的身份
[00:01:07.000 --> 00:01:10.000]  可以由奴隸晉升為總管
[00:01:10.000 --> 00:01:14.000]  管理著埃及人家裡所有的人和事
[00:01:14.000 --> 00:01:20.000]  於是就令到主人的妻子對約瑟產生了貪念
[00:01:20.000 --> 00:01:25.000]  於是這個主人的妻子就去色誘他
[00:01:25.000 --> 00:01:27.000]  頂姐妹
[00:01:27.000 --> 00:01:30.000]  人受試探都外乎幾樣
[00:01:30.000 --> 00:01:34.000]  權、名、利和色
[00:01:34.000 --> 00:01:38.000]  當時的約瑟深得埃及人的器重
[00:01:38.000 --> 00:01:44.000]  約瑟在家裡做主管是一人之下萬人之上
[00:01:44.000 --> 00:01:47.000]  魔鬼如果要成功試探約瑟
[00:01:47.000 --> 00:01:50.000]  是毋須用到權和利
[00:01:50.000 --> 00:01:52.000]  魔鬼要成功試探約瑟
[00:01:52.000 --> 00:01:56.000]  必須用到色誘這種方法
[00:01:56.000 --> 00:01:59.000]  加上約瑟年輕又未婚
[00:01:59.000 --> 00:02:01.000]  用色誘了引誘他試探他
[00:02:01.000 --> 00:02:05.000]  的確是最容易令約瑟跌倒
[00:02:05.000 --> 00:02:07.000]  不過,試探的結果
[00:02:07.000 --> 00:02:12.000]  竟然是約瑟拒絕了主母對他的色誘
[00:02:12.000 --> 00:02:16.000]  約瑟成功拒絕主母主要有兩個原因
[00:02:16.000 --> 00:02:20.000]  第一,約瑟得主人的器重和信任
[00:02:20.000 --> 00:02:26.000]  約瑟知道不可以做出任何不忠於主人的事
[00:02:26.000 --> 00:02:29.000]  第二,約瑟拒絕主母的原因
[00:02:29.000 --> 00:02:31.000]  亦是最主要的原因
[00:02:31.000 --> 00:02:33.000]  究竟是什麼呢?
[00:02:33.000 --> 00:02:36.000]  使約瑟能夠勝過試探
[00:02:36.000 --> 00:02:40.000]  主要原因是約瑟心裡有神
[00:02:40.000 --> 00:02:44.000]  約瑟知道神願你一直與祂同在
[00:02:44.000 --> 00:02:49.000]  約瑟知道神是耶和神,是以色列神
[00:02:49.000 --> 00:02:53.000]  神是聖潔的,所以約瑟不敢犯罪來得罪神
[00:02:53.000 --> 00:02:55.000]  還是怎會呢?
[00:02:55.000 --> 00:03:00.000]  神是無所不知,無所不在,亦是無所不能
[00:03:00.000 --> 00:03:05.000]  我們應該時時刻刻監察著自己的心思和意念
[00:03:05.000 --> 00:03:09.000]  不要以為,不要說出口,不要將它化為行動
[00:03:09.000 --> 00:03:14.000]  神就會不知、不理、不管、不介入
[00:03:14.000 --> 00:03:18.000]  神是創造的主,主人是有主權
[00:03:18.000 --> 00:03:22.000]  主人是按著自己的時間和方法
[00:03:22.000 --> 00:03:25.000]  讓我們來經歷時年
[00:03:25.000 --> 00:03:28.000]  同時我們也要知道
[00:03:28.000 --> 00:03:33.000]  魔鬼的試探是事先沒有需要來通知我們
[00:03:33.000 --> 00:03:35.000]  或得到我們的同意
[00:03:35.000 --> 00:03:38.000]  試探是隨時隨地都可以發生
[00:03:38.000 --> 00:03:43.000]  魔鬼不會輕易放棄對我們的攻擊和引誘
[00:03:43.000 --> 00:03:46.000]  只要我們是魔鬼試探的對象
[00:03:46.000 --> 00:03:49.000]  魔鬼就會不斷試探我們
[00:03:49.000 --> 00:03:53.000]  即使今天我們成功拒絕魔鬼的引誘
[00:03:53.000 --> 00:03:59.000]  但不代表魔鬼會放棄對我們下一次的引誘
[00:03:59.000 --> 00:04:02.000]  在故事中,這個主角約瑟
[00:04:02.000 --> 00:04:05.000]  就是天天受到矚目的色誘
[00:04:05.000 --> 00:04:08.000]  大家留意的是魔鬼的試探
[00:04:08.000 --> 00:04:10.000]  是天天都會發生
[00:04:10.000 --> 00:04:14.000]  而且是約瑟生活和工作的地方
[00:04:14.000 --> 00:04:17.000]  可以說是約瑟避無可避
[00:04:17.000 --> 00:04:22.000]  今天我們又有沒有在生活或工作的地方
[00:04:22.000 --> 00:04:24.000]  經常受到試探呢?
[00:04:24.000 --> 00:04:26.000]  故事看到這裡
[00:04:26.000 --> 00:04:31.000]  可能你會問約瑟為何不積極反抗
[00:04:31.000 --> 00:04:35.000]  例如向主人告發主母色誘他
[00:04:35.000 --> 00:04:38.000]  為何約瑟只是消極
[00:04:38.000 --> 00:04:41.000]  你都避開主母就算了?
[00:04:41.000 --> 00:04:44.000]  如果當初約瑟真的有積極反抗的話
[00:04:44.000 --> 00:04:48.000]  例如向主人投訴主母對他的色誘
[00:04:48.000 --> 00:04:53.000]  或許就不會讓主母有機會你無告約瑟
[00:04:53.000 --> 00:04:56.000]  最後還要被主人囚禁
[00:04:56.000 --> 00:05:00.000]  頂姐妹,很多時候,當有事發生
[00:05:00.000 --> 00:05:06.000]  如果當時沒有積極、正視、採取適當行動處理的話
[00:05:06.000 --> 00:05:11.000]  可能真的會造成日後更多一發不可收拾的後果
[00:05:11.000 --> 00:05:15.000]  尤其是人與人之間的誤會
[00:05:15.000 --> 00:05:19.000]  可能只是出自言語之間
[00:05:19.000 --> 00:05:23.000]  又或者是文化、家庭背景等因素
