
[00:00:00.000 --> 00:00:03.000]  我們來到《舊約》網上的第四集
[00:00:03.000 --> 00:00:06.600]  上一次我們提到《創世紀》第十四章
[00:00:06.600 --> 00:00:13.200]  在這章的聖經裡面提到阿伯拉罕出兵打敗近東五王
[00:00:13.200 --> 00:00:15.800]  擁救羅德然後海船回歸
[00:00:15.800 --> 00:00:19.000]  就證明了阿伯拉罕來到迦南地的時候
[00:00:19.000 --> 00:00:22.200]  他的勢力其實都是很雄厚
[00:00:22.200 --> 00:00:24.600]  並且是一個軍事的領袖
[00:00:24.600 --> 00:00:28.000]  今天來到《創世紀》第十五章
[00:00:28.000 --> 00:00:34.200]  我們留意十四十五章兩章的經文其實有一些共通的字詞
[00:00:34.200 --> 00:00:38.400]  這裡告訴我們兩章的聖經是連接著的
[00:00:38.400 --> 00:00:41.800]  首先最明顯的就是十五章第一節
[00:00:41.800 --> 00:00:46.400]  就是「這時以後」打完仗之後發生什麼事呢?
[00:00:46.400 --> 00:00:49.400]  神對阿伯拉罕說十五章第一節
[00:00:49.400 --> 00:00:52.800]  他說「我是你的盾牌」
[00:00:52.800 --> 00:00:56.800]  這個「盾牌」這個字在聖經裡面經常出現
[00:00:56.800 --> 00:01:02.800]  就是耶和華對軍王作的保護是他們的盾牌
[00:01:02.800 --> 00:01:05.600]  特別是跟打仗有關
[00:01:05.600 --> 00:01:07.600]  但是十四章十九節
[00:01:07.600 --> 00:01:10.800]  「盾牌」這個字在希伯來文也出現過
[00:01:10.800 --> 00:01:12.600]  當時打完仗回來
[00:01:12.600 --> 00:01:15.600]  阿伯拉罕遇見默基西德王
[00:01:15.600 --> 00:01:19.600]  在耶路撒冷默基西德王向阿伯蘭祝福
[00:01:19.600 --> 00:01:22.400]  他說願創造天地的主至高的神
[00:01:22.400 --> 00:01:24.000]  賜福給阿伯蘭
[00:01:24.000 --> 00:01:27.000]  將受敵交在
[00:01:27.000 --> 00:01:29.600]  在希伯來文同一個字「盾牌」
[00:01:29.600 --> 00:01:33.600]  你的手裡面至高的神是應當稱頌的
[00:01:33.600 --> 00:01:35.600]  第三方面我們留意到
[00:01:35.600 --> 00:01:37.600]  神對阿伯拉罕說
[00:01:37.600 --> 00:01:40.400]  我必大大的賞賜你
[00:01:40.400 --> 00:01:46.600]  「賞賜」這個字通常是用在軍兵的報酬上
[00:01:46.600 --> 00:01:49.600]  其他的舊約聖經也有這樣用
[00:01:49.600 --> 00:01:52.400]  這裡是因為阿伯拉罕海船回歸
[00:01:52.400 --> 00:01:54.000]  是一個軍事領袖
[00:01:54.000 --> 00:01:58.000]  所以神必定會大大的賞賜他
[00:01:58.000 --> 00:02:02.000]  第四項就是318這個數字
[00:02:02.000 --> 00:02:05.000]  我們記得在十四章十四節的時候
[00:02:05.000 --> 00:02:08.200]  阿伯拉罕出兵去救他擇兒羅德的時候
[00:02:08.200 --> 00:02:12.400]  就抽調了他家女生養精蓮壯丁
[00:02:12.400 --> 00:02:16.000]  318人就一直追趕到達
[00:02:16.000 --> 00:02:21.400]  318這個字剛好是15章這裡
[00:02:21.400 --> 00:02:24.200]  「以利以謝」這個名字
[00:02:24.200 --> 00:02:26.400]  希伯來字母的總數
[00:02:26.400 --> 00:02:31.400]  「以利以謝」就是阿伯拉罕其中一個的僕人
[00:02:31.400 --> 00:02:35.400]  所以你看到「以利以謝」
[00:02:35.400 --> 00:02:39.800]  這個字每一個希伯來字母加在一起的時候
[00:02:39.800 --> 00:02:42.400]  就是總數318
[00:02:42.400 --> 00:02:44.400]  這些都不是巧合的事
[00:02:44.400 --> 00:02:49.400]  就是告訴我們十四章到十五章是緊接著的
[00:02:49.400 --> 00:02:51.400]  十五章想交代什麼呢?
