
[00:00:00.000 --> 00:00:02.560]  我們這次就講C篇第一篇
[00:00:02.560 --> 00:00:04.340]  Again 我們在講的是
[00:00:04.340 --> 00:00:07.220]  這個希伯來文可能呢
[00:00:07.220 --> 00:00:09.280]  挖深一點
[00:00:09.280 --> 00:00:13.580]  我們可能對C篇或者經文的意義
[00:00:13.580 --> 00:00:16.440]  會更加好的掌握
[00:00:16.440 --> 00:00:21.300]  就不會用我們那種的意境去看
[00:00:21.300 --> 00:00:25.720]  所以我們在這裡希望能夠做到這方面
[00:00:25.720 --> 00:00:29.800]  我相信這些C篇是歷久常新的
[00:00:29.800 --> 00:00:33.120]  什麼時候看呢 感受也不同
[00:00:33.120 --> 00:00:35.680]  當我們受苦的時候看也不同
[00:00:35.680 --> 00:00:38.000]  當我們孤單的時候看也不同
[00:00:38.000 --> 00:00:43.360]  但是無論如何 在C篇的解釋裡面
[00:00:43.360 --> 00:00:47.460]  我們試試多做一點功夫 看一些背景
[00:00:47.460 --> 00:00:50.280]  然後做一些圓文
[00:00:50.280 --> 00:00:56.940]  我們對C篇的認識會更加不同
[00:00:56.940 --> 00:01:01.300]  這次我們看第一篇
[00:01:01.300 --> 00:01:03.080]  Again 我們有三行
[00:01:03.080 --> 00:01:04.460]  有Hebrew
[00:01:04.460 --> 00:01:05.720]  然後有Hebrew的讀音
[00:01:05.720 --> 00:01:07.940]  然後有英文和中文的翻譯
[00:01:07.940 --> 00:01:12.040]  Ashrei haish asher lo halak
[00:01:12.040 --> 00:01:15.640]  ba asad risayim
[00:01:15.640 --> 00:01:21.020]  這裡是Ashrei haish
[00:01:21.020 --> 00:01:22.420]  其實就是Blessings
[00:01:22.420 --> 00:01:24.460]  就是祝福的意思
[00:01:24.460 --> 00:01:27.280]  滿有祝福的意思 即是眾數
[00:01:27.280 --> 00:01:30.300]  通常英文的翻譯都是
[00:01:30.300 --> 00:01:32.460]  Blessed is he
[00:01:32.460 --> 00:01:34.180]  Blessed is the man
[00:01:34.180 --> 00:01:35.860]  或者是the person
[00:01:35.860 --> 00:01:37.620]  我們中文的翻譯就是
[00:01:37.620 --> 00:01:39.460]  有福的人
[00:01:39.460 --> 00:01:42.260]  這個也是登山補訓的背景
[00:01:42.260 --> 00:01:44.160]  Ashrei這個字
[00:01:44.160 --> 00:01:47.160]  然後翻譯成希臘文
[00:01:47.160 --> 00:01:48.860]  新約的時候就說
[00:01:48.860 --> 00:01:50.300]  貧窮的人有福了
[00:01:50.300 --> 00:01:53.220]  清心的人有福了等等
[00:01:53.220 --> 00:01:54.820]  Ashrei haish
[00:01:54.820 --> 00:01:57.380]  這個字有一個中末性的意思
[00:01:57.380 --> 00:01:59.220]  中末性的意思就是
[00:01:59.220 --> 00:02:02.580]  Askeological
[00:02:02.580 --> 00:02:04.820]  即是有將來性
[00:02:04.820 --> 00:02:07.860]  因為在希伯來聖經裡面
[00:02:07.860 --> 00:02:09.660]  Ashrei這個字
[00:02:09.660 --> 00:02:12.820]  通常不是說一些
[00:02:12.820 --> 00:02:15.980]  現在已經很亨通
[00:02:15.980 --> 00:02:19.580]  現在已經很順利的狀況
[00:02:19.580 --> 00:02:21.740]  而是最終會得到賞賜
[00:02:21.740 --> 00:02:24.220]  最終將來一定會
[00:02:24.220 --> 00:02:26.420]  得到上帝的祝福
[00:02:26.420 --> 00:02:28.420]  所以是有一個中末性
[00:02:28.420 --> 00:02:30.220]  有將來性在裡面
[00:02:30.220 --> 00:02:32.740]  所以無論是新約的
[00:02:32.740 --> 00:02:34.220]  說到拜福
[00:02:34.220 --> 00:02:37.420]  或者這裡說到Ashrei
[00:02:37.420 --> 00:02:39.620]  有福的人有福
[00:02:39.620 --> 00:02:40.620]  都是有一個中末性
[00:02:40.620 --> 00:02:41.220]  即是有將來性
[00:02:41.220 --> 00:02:42.420]  換句話說
[00:02:42.420 --> 00:02:43.620]  現在那個人
[00:02:43.620 --> 00:02:47.020]  那個詩人未必一定是一個最好的狀況
[00:02:47.020 --> 00:02:48.220]  往往不是的
[00:02:48.220 --> 00:02:50.820]  往往都是一個很困難的時間
[00:02:50.820 --> 00:02:53.420]  但是因為上帝給他們盼望
[00:02:53.420 --> 00:02:57.420]  他們可以有所謂的Ashrei
[00:02:57.420 --> 00:02:59.020]  有一個祝福
[00:02:59.020 --> 00:03:01.820]  可能你這樣去意譯
[00:03:01.820 --> 00:03:04.420]  就是最終得賞賜的人
[00:03:04.420 --> 00:03:06.420]  就是什麼人呢
[00:03:06.420 --> 00:03:08.220]  Ashrei Ha'ish
[00:03:08.220 --> 00:03:11.620]  Ashelo Halak
[00:03:11.620 --> 00:03:15.820]  不幸在
[00:03:15.820 --> 00:03:18.220]  什麼呀
[00:03:18.220 --> 00:03:19.220]  這是第一動詞
[00:03:19.220 --> 00:03:21.820]  Halak 走路
[00:03:21.820 --> 00:03:23.420]  或者生活的意思
[00:03:23.420 --> 00:03:25.820]  Ba'a Sa'ad 就是那個council
[00:03:25.820 --> 00:03:27.820]  就是那些人
[00:03:27.820 --> 00:03:28.820]  什麼人
[00:03:28.820 --> 00:03:31.820]  Ressaib 就是惡人
[00:03:31.820 --> 00:03:32.820]  我們譯作wicked
[00:03:32.820 --> 00:03:36.020]  有時英文中文也叫惡人
[00:03:36.020 --> 00:03:39.220]  在聖經裡面特別的針研
[00:03:39.220 --> 00:03:42.420]  或者一些教導性的詩篇
[00:03:42.420 --> 00:03:44.420]  經常都會說到Ressaib
[00:03:45.220 --> 00:03:49.220]  和他的相反就是Satikim
[00:03:49.220 --> 00:03:51.220]  就是義人
[00:03:51.220 --> 00:03:53.220]  惡人和義人
