
[00:00:00.000 --> 00:00:01.660]  主,我們在祈禱當中
[00:00:01.660 --> 00:00:04.800]  我們去認定祢是那位聽我們禱告的神
[00:00:04.800 --> 00:00:06.540]  我們在生活裡面
[00:00:06.540 --> 00:00:08.960]  我們絕對不孤單
[00:00:08.960 --> 00:00:11.260]  因為有祢自己同床
[00:00:11.260 --> 00:00:12.800]  主,祢聽見我們的心聲
[00:00:12.800 --> 00:00:14.800]  聽見我們的訴苦
[00:00:14.800 --> 00:00:17.300]  甚至我們每一天經歷的
[00:00:17.300 --> 00:00:18.800]  主,讓我們今天來到這裡
[00:00:18.800 --> 00:00:20.800]  祢是我們每一天的主人
[00:00:20.800 --> 00:00:22.800]  祢是我們每一天的主人
[00:00:22.800 --> 00:00:24.800]  祢是我們每一天的主人
[00:00:24.800 --> 00:00:26.800]  祢是我們每一天的主人
[00:00:26.800 --> 00:00:28.800]  祢是我們每一天的主人
[00:00:28.800 --> 00:00:30.800]  主,讓我們今天來到祢面前
[00:00:30.800 --> 00:00:32.800]  我們讓祢
[00:00:32.800 --> 00:00:34.800]  在我們生命當中
[00:00:34.800 --> 00:00:36.800]  心靈裡面去打掃清楚
[00:00:36.800 --> 00:00:40.800]  潔淨我們的罪
[00:00:40.800 --> 00:00:42.800]  主,讓我們今天在這個
[00:00:42.800 --> 00:00:45.800]  敬拜安息日的當中
[00:00:45.800 --> 00:00:51.800]  我們再一次被祢自己的愛和恩典來重圓
[00:00:51.800 --> 00:00:54.800]  起使我們的生命和我們的生活
[00:00:54.800 --> 00:00:56.800]  能夠再重整過來
[00:00:56.800 --> 00:00:58.800]  在耶穌基督的恩典裡面
[00:00:58.800 --> 00:01:01.800]  我們不單止知道我們是罪得赦免
[00:01:01.800 --> 00:01:03.800]  我們知道我們有新的生命
[00:01:03.800 --> 00:01:06.800]  祢會重新在恩典裡面創造我們
[00:01:06.800 --> 00:01:09.800]  以致我們的生活、我們的品格
[00:01:09.800 --> 00:01:11.800]  每一天更加長烈
[00:01:11.800 --> 00:01:14.800]  主,求祢繼續在恩典當中使我們成長
[00:01:14.800 --> 00:01:17.800]  讓我們教會、我們身邊弟兄姊妹
[00:01:17.800 --> 00:01:22.800]  我們有一些生命裡面的重擔
[00:01:22.800 --> 00:01:24.800]  主,我們為他們祈禱
[00:01:24.800 --> 00:01:26.800]  無論是一些身體的疾病
[00:01:26.800 --> 00:01:29.800]  一些職業上、前途上
