
[00:00:00.000 --> 00:00:02.000]  (第一節)
[00:00:02.000 --> 00:00:03.080]  弟兄姊妹,早安
[00:00:03.080 --> 00:00:04.720]  早安
[00:00:04.720 --> 00:00:07.280]  很感謝敬拜隊剛才跟我們一起來敬拜
[00:00:07.280 --> 00:00:09.360]  我也很享受剛才的音樂
[00:00:09.360 --> 00:00:12.440]  先讓大家看看第一張泡泡
[00:00:12.440 --> 00:00:13.680]  幫我按一下
[00:00:13.680 --> 00:00:18.200]  對,這個
[00:00:18.200 --> 00:00:21.920]  這個不是一個桶,而是一個杯
[00:00:21.920 --> 00:00:26.720]  是現在世界上最大的一隻杯
[00:00:27.240 --> 00:00:32.240]  在2023年,墨西哥贏了世界冠軍
[00:00:32.240 --> 00:00:37.120]  大家猜猜它能裝多少卡路里的水
[00:00:37.120 --> 00:00:41.480]  A是50至150卡路里
[00:00:41.480 --> 00:00:44.800]  B是800至150卡路里
[00:00:44.800 --> 00:00:46.800]  1500卡路里
[00:00:46.800 --> 00:00:48.840]  C是2000至3000卡路里
[00:00:48.840 --> 00:00:52.240]  大家都說得很對
[00:00:52.240 --> 00:00:54.080]  正確答案是C
[00:00:54.160 --> 00:00:57.840]  是2922卡路里
[00:00:57.840 --> 00:01:00.640]  贏了的朋友待會請你多喝一杯水
[00:01:00.640 --> 00:01:05.560]  這個杯可以裝很多墨西哥的飲品
[00:01:05.560 --> 00:01:06.560]  如果一個人喝的話
[00:01:06.560 --> 00:01:08.480]  可能一輩子都喝不完
[00:01:08.480 --> 00:01:11.440]  其實…可以幫我按下一個泡泡嗎
[00:01:11.440 --> 00:01:15.520]  杯在不同的飲食文化中
[00:01:15.520 --> 00:01:17.520]  扮演著不同的角色
[00:01:17.520 --> 00:01:23.520]  代表著好客、尊重、重視
[00:01:24.520 --> 00:01:27.040]  在阿拉伯的咖啡文化中
[00:01:27.040 --> 00:01:29.480]  咖啡杯是待客之道
[00:01:29.480 --> 00:01:32.920]  如果你是客人,右手拿著杯子
[00:01:32.920 --> 00:01:37.040]  喝完之後,如果你不搖杯子
[00:01:37.040 --> 00:01:39.440]  主人就會不斷倒給你
[00:01:39.440 --> 00:01:43.600]  倒到你搖杯子為止
[00:01:43.600 --> 00:01:48.160]  代表著甚麼?就是款待和慷慨
[00:01:48.160 --> 00:01:49.280]  所以你會發現
[00:01:49.280 --> 00:01:52.880]  如果你去阿拉伯人的家作客
[00:01:52.960 --> 00:01:54.800]  會給你一個很好的咖啡杯
