
[00:00:00.000 --> 00:00:02.000]  大家好,大英姐妹平安!
[00:00:02.000 --> 00:00:12.000]  今天我想跟大家分享一個題目,如果不在香港的大英姐妹,不知道有沒有聽過,叫做「防禦性、悲觀性、樂觀」。
[00:00:12.000 --> 00:00:26.000]  當然不是我創作的,是一個近年在香港的社交平台非常活躍的傳媒人,也是網路媒體100毛的創辦人林日曦先生所說的。
[00:00:26.000 --> 00:00:37.000]  他在2019年12月在一個talk show叫做「悲但真」,sad but true的一個talk show裡面所說的其中一個金句,
[00:00:37.000 --> 00:00:45.000]  他說他本身是一個很悲觀的人,所以所有事情都是從最壞、最差來打算的,
[00:00:45.000 --> 00:00:53.000]  所以這種叫防禦性、悲觀,某種程度上就是期望管理,去保護自己。
[00:00:53.000 --> 00:01:04.000]  但他再進一步,他說這不只是防禦性悲觀,還要防禦性、悲觀性、樂觀,他有個手勢會比較容易明白。
[00:01:04.000 --> 00:01:15.000]  他所有事情想到最大鑊、最差,但又覺得這樣很正,所以就叫做防禦性、悲觀性、樂觀。
[00:01:15.000 --> 00:01:25.000]  他用了一個例子,可以地道香港的例子,香港有一間茶餐廳叫澳洲牛奶公司,應該都很出名的了,
[00:01:25.000 --> 00:01:37.000]  當然他的食物是有一定的質素的,但比起他食物更加出名,是那裡的侍應哥哥招呼是出名差的,
[00:01:37.000 --> 00:01:47.000]  在很短的時間內,就會要求你下單,然後很短的時間內就送餐,然後你吃完很短的時間內,
[00:01:47.000 --> 00:01:58.000]  他就會清理桌子,等於逼你走,他就用了澳洲牛奶公司這個餐廳來做一個例子,
[00:01:58.000 --> 00:02:13.000]  是,食物是好吃的,但其實你知道他的侍應的招呼是惡劣的,但你相反覺得這樣是正的,就叫做防禦性、悲觀性、樂觀。
[00:02:13.000 --> 00:02:24.000]  事實上,如果經過那個餐廳,長期是有一條人龍排隊等著去吃的,是一個很特別的例子。
[00:02:24.000 --> 00:02:33.000]  今天想跟大家一起來看的是詩篇,27篇,我們也是一起來讀完這篇詩。
[00:02:33.000 --> 00:02:43.000]  第一節:「也說是我的亮光,是我的拯救,我還怕誰呢?也說是我性命的保障,我還懼誰呢?
[00:02:43.000 --> 00:03:00.000]  那作惡的就是我的仇敵,前來吃我肉的時候,就半跌撲倒。雖有軍兵安然攻擊我,我的心也不害怕,雖然興起刀兵攻擊我,我必仍夠安穩。
[00:03:00.000 --> 00:03:11.000]  有一件事,我尋求耶和華,我仍要尋求,就是一生一世住在耶和華的殿中,沾養他的榮美,在他的殿內求問。
