
[00:00:00.000 --> 00:00:13.580]  今天我們講一個新的題目
[00:00:13.580 --> 00:00:14.780]  新的系列
[00:00:14.780 --> 00:00:16.280]  這個系列就叫做
[00:00:16.280 --> 00:00:17.200]  厲害了
[00:00:17.200 --> 00:00:18.020]  加油
[00:00:18.020 --> 00:00:19.340]  女子組加油
[00:00:19.340 --> 00:00:21.760]  這句加油真的挺厲害的
[00:00:21.760 --> 00:00:23.960]  最近大家知道
[00:00:23.960 --> 00:00:25.160]  新聞裡面經常說
[00:00:25.160 --> 00:00:27.440]  Add oil 這句話
[00:00:27.440 --> 00:00:30.660]  就加進了牛津的字典裡面
[00:00:30.660 --> 00:00:32.880]  我們真的挺厲害的
[00:00:32.880 --> 00:00:34.340]  廣東話這句話
[00:00:34.340 --> 00:00:35.260]  Add oil
[00:00:35.260 --> 00:00:36.220]  加油
[00:00:36.220 --> 00:00:37.220]  那麼
[00:00:37.220 --> 00:00:38.920]  我們想為什麼人加油呢?
[00:00:38.920 --> 00:00:40.840]  為我們身邊的姐妹
[00:00:40.840 --> 00:00:43.660]  我們身邊的女性
[00:00:43.660 --> 00:00:45.300]  來加油
[00:00:45.300 --> 00:00:48.840]  我不知道你有沒有想過
[00:00:48.840 --> 00:00:50.980]  這個題目其實也是很切身的
[00:00:50.980 --> 00:00:54.640]  今時今日經常都會講這類問題
[00:00:54.640 --> 00:00:55.820]  Gender issue
[00:00:55.820 --> 00:00:58.040]  或者 Gender equality
[00:00:58.040 --> 00:01:01.740]  就是性別的平權等等這些問題
[00:01:01.740 --> 00:01:03.800]  因為有Me too 又殺出來了
[00:01:03.800 --> 00:01:05.900]  所以經常都要提倡
[00:01:05.900 --> 00:01:08.940]  男女要平等
[00:01:08.940 --> 00:01:11.820]  有很多人覺得聖經是很古老的
[00:01:11.820 --> 00:01:12.900]  很古董的
[00:01:12.900 --> 00:01:16.040]  跟這個時代沒有什麼話好說的了
[00:01:16.040 --> 00:01:18.720]  只不過放在書架上封塵而已
[00:01:18.720 --> 00:01:20.280]  其實不是的
[00:01:20.280 --> 00:01:23.540]  聖經雖然是一本很古老的書
[00:01:23.540 --> 00:01:25.540]  一本很古老的文件
[00:01:25.540 --> 00:01:26.860]  但是裡面所說的話
[00:01:26.860 --> 00:01:28.660]  其實是很劃時代的
[00:01:28.660 --> 00:01:30.660]  所以今天我們開始的時候
[00:01:30.660 --> 00:01:32.700]  在接下來幾個星期
[00:01:32.700 --> 00:01:37.180]  我們看看聖經怎麼看女性
[00:01:37.180 --> 00:01:40.080]  聖經怎麼看女性這個角色
