
[00:00:00.000 --> 00:00:02.000]  由年頭開始到現在
[00:00:02.000 --> 00:00:03.600]  我們在講這個系列
[00:00:03.600 --> 00:00:05.600]  這次是第十二次了
[00:00:05.600 --> 00:00:07.600]  我覺得這次是最重要的
[00:00:07.600 --> 00:00:09.600]  因為這次是大結局
[00:00:09.600 --> 00:00:11.600]  講這個系列的時候
[00:00:11.600 --> 00:00:13.600]  中間當然有其他的系列
[00:00:13.600 --> 00:00:15.600]  我們講過了
[00:00:15.600 --> 00:00:17.600]  但是到了這裡十二個
[00:00:17.600 --> 00:00:19.600]  我們想提醒你和挑戰你
[00:00:19.600 --> 00:00:21.600]  我們希望你能夠
[00:00:21.600 --> 00:00:23.600]  在這次的系列中
[00:00:23.600 --> 00:00:25.600]  有一個更好的發展
[00:00:25.600 --> 00:00:27.600]  希望你能夠有一個更好的發展
[00:00:27.600 --> 00:00:29.600]  希望你能夠有一個更好的發展
[00:00:29.600 --> 00:00:31.600]  希望你和我們
[00:00:31.600 --> 00:00:33.600]  在我們的所謂
[00:00:33.600 --> 00:00:35.600]  spiritual journey
[00:00:35.600 --> 00:00:37.600]  我們跟隨主的旅程
[00:00:37.600 --> 00:00:39.600]  我們可以去成長
[00:00:39.600 --> 00:00:41.600]  我們可以去成長
[00:00:41.600 --> 00:00:43.600]  所以我們這次最後一次講到
[00:00:43.600 --> 00:00:45.600]  力堂和擴展
[00:00:45.600 --> 00:00:47.600]  教會需要繼續去成長
[00:00:47.600 --> 00:00:49.600]  不可以停滯不前
[00:00:49.600 --> 00:00:51.600]  如果教會要繼續成長
[00:00:51.600 --> 00:00:53.600]  不可以停滯不前的話
[00:00:53.600 --> 00:00:55.600]  換句話說
[00:00:55.600 --> 00:00:57.600]  我們每一個作為教會的弟兄姊妹
[00:00:57.600 --> 00:00:59.600]  我們就需要
[00:00:59.600 --> 00:01:01.600]  繼續向前走
[00:01:01.600 --> 00:01:03.600]  怎樣講呢?
[00:01:03.600 --> 00:01:05.600]  我們講到力堂和擴展的時候
[00:01:05.600 --> 00:01:07.600]  可以有很多方法去講
[00:01:07.600 --> 00:01:09.600]  我們可以講一下最近的趨勢
[00:01:09.600 --> 00:01:11.600]  最近的人口的變動
[00:01:11.600 --> 00:01:13.600]  最近新的波動
[00:01:13.600 --> 00:01:15.600]  新的運動是什麼
[00:01:15.600 --> 00:01:17.600]  為什麼要有church planting
[00:01:17.600 --> 00:01:19.600]  這件事出現
[00:01:19.600 --> 00:01:21.600]  可以這樣講一下
[00:01:21.600 --> 00:01:23.600]  我們都可以留意這些東西
[00:01:23.600 --> 00:01:25.600]  但我想最重要的就是
[00:01:25.600 --> 00:01:27.600]  到底我們有沒有那種spiritual strength
[00:01:27.600 --> 00:01:29.600]  有沒有那種屬靈的力量
[00:01:29.600 --> 00:01:31.600]  來推動教會
[00:01:31.600 --> 00:01:33.600]  在教會侍奉
[00:01:33.600 --> 00:01:35.600]  來跟隨我們的主
[00:01:35.600 --> 00:01:37.600]  去見證他
[00:01:37.600 --> 00:01:39.600]  這些全部都是講spiritual strength
[00:01:39.600 --> 00:01:41.600]  不是講我們的physical strength
[00:01:41.600 --> 00:01:43.600]  沒錯我們需要
[00:01:43.600 --> 00:01:45.600]  教會需要
[00:01:45.600 --> 00:01:47.600]  奉獻需要有資源
[00:01:47.600 --> 00:01:49.600]  做工作需要有resource
[00:01:49.600 --> 00:01:51.600]  這個一定是
[00:01:51.600 --> 00:01:53.600]  但這些全部都是physical resource
[00:01:53.600 --> 00:01:55.600]  最重要的是
[00:01:55.600 --> 00:01:57.600]  我們的spiritual strength
[00:01:57.600 --> 00:01:59.600]  到底我們心裡面有沒有力量
[00:01:59.600 --> 00:02:01.600]  如果這樣看的時候
[00:02:01.600 --> 00:02:03.600]  我們發現聖經裡面
[00:02:03.600 --> 00:02:05.600]  時常提醒我們
[00:02:05.600 --> 00:02:07.600]  和教訓我們
[00:02:07.600 --> 00:02:09.600]  到底我們所謂的信主
[00:02:09.600 --> 00:02:11.600]  那個信心到底是什麼
[00:02:11.600 --> 00:02:13.600]  到底本質應該是怎樣的呢
[00:02:13.600 --> 00:02:15.600]  所以這三個禮拜
[00:02:15.600 --> 00:02:17.600]  我們看了一些人物
[00:02:17.600 --> 00:02:19.600]  摩西
[00:02:19.600 --> 00:02:21.600]  他的leadership moments
[00:02:21.600 --> 00:02:23.600]  他曾經經歷過
[00:02:23.600 --> 00:02:25.600]  一些怎樣的神的呼召
[00:02:25.600 --> 00:02:27.600]  以致他能夠
[00:02:27.600 --> 00:02:29.600]  踏出來侍奉
[00:02:29.600 --> 00:02:31.600]  今天我們也想講這件事
[00:02:31.600 --> 00:02:33.600]  就是
[00:02:33.600 --> 00:02:35.600]  那個生命
[00:02:35.600 --> 00:02:37.600]  在我們人生裡面
[00:02:37.600 --> 00:02:39.600]  有主的恩典到了
[00:02:39.600 --> 00:02:41.600]  他在一些moment裡面
[00:02:41.600 --> 00:02:43.600]  來挑戰我們
[00:02:43.600 --> 00:02:45.600]  來挑戰我們
[00:02:45.600 --> 00:02:47.600]  我不知道你心裡面
[00:02:47.600 --> 00:02:49.600]  有沒有這樣的時機
[00:02:49.600 --> 00:02:51.600]  可能是一個邀請
[00:02:51.600 --> 00:02:53.600]  可能是一些危機
[00:02:53.600 --> 00:02:55.600]  來到的時候
[00:02:55.600 --> 00:02:57.600]  突然間就令到你
[00:02:57.600 --> 00:02:59.600]  好像很
[00:02:59.600 --> 00:03:01.600]  面對
[00:03:01.600 --> 00:03:03.600]  真正的生命是怎樣的
[00:03:03.600 --> 00:03:05.600]  面對神
[00:03:05.600 --> 00:03:07.600]  面對上帝是怎樣的
[00:03:07.600 --> 00:03:09.600]  有一個人
[00:03:09.600 --> 00:03:11.600]  他人生裡面大概經歷了
[00:03:11.600 --> 00:03:13.600]  兩個很重要的
[00:03:13.600 --> 00:03:15.600]  所謂calling
[00:03:15.600 --> 00:03:17.600]  兩個很重要的
[00:03:17.600 --> 00:03:19.600]  defining moments
[00:03:19.600 --> 00:03:21.600]  在他生命裡面
[00:03:21.600 --> 00:03:23.600]  信心的路程上
[00:03:23.600 --> 00:03:25.600]  給他一個很大的挑戰
[00:03:25.600 --> 00:03:27.600]  今天這個人就是我們想看的
[00:03:27.600 --> 00:03:29.600]  就是阿伯拉罕
[00:03:29.600 --> 00:03:31.600]  我們看一段
[00:03:31.600 --> 00:03:33.600]  聖經記載阿伯拉罕
[00:03:33.600 --> 00:03:35.600]  第22章
[00:03:35.600 --> 00:03:37.600]  《創世紀》
[00:03:37.600 --> 00:03:39.600]  他說:這時候神要
[00:03:39.600 --> 00:03:41.600]  試驗阿伯拉罕對他說
[00:03:41.600 --> 00:03:43.600]  阿伯拉罕
[00:03:43.600 --> 00:03:45.600]  他回答我在這裡
[00:03:45.600 --> 00:03:47.600]  神說:帶著你的兒子
[00:03:47.600 --> 00:03:49.600]  就是你所愛的
[00:03:49.600 --> 00:03:51.600]  獨生子爾撒
[00:03:51.600 --> 00:03:53.600]  到摩萊亞地
[00:03:53.600 --> 00:03:55.600]  在一座山上
[00:03:55.600 --> 00:03:57.600]  獻為梵濟
[00:03:57.600 --> 00:04:01.600]  第30章
[00:04:01.600 --> 00:04:03.600]  阿伯拉罕清早起來
[00:04:03.600 --> 00:04:05.600]  預備好你的奴
[00:04:05.600 --> 00:04:07.600]  帶著兩個同僕
[00:04:07.600 --> 00:04:09.600]  和自己的兒子爾撒
[00:04:09.600 --> 00:04:11.600]  又劈好你獻梵濟用的柴
[00:04:11.600 --> 00:04:13.600]  就起程到神指示他的地方去
[00:04:13.600 --> 00:04:15.600]  第三天
[00:04:15.600 --> 00:04:17.600]  阿伯拉罕
[00:04:17.600 --> 00:04:19.600]  舉目觀看
[00:04:19.600 --> 00:04:21.600]  遠遠地看見了那地方
[00:04:21.600 --> 00:04:23.600]  阿伯拉罕對他的同僕說
