
[00:00:00.000 --> 00:00:03.000]  各位成會的弟兄姊妹好
[00:00:03.000 --> 00:00:06.000]  我們今天可以透過互聯網
[00:00:06.000 --> 00:00:09.000]  和大家一起去聆聽上帝的話語
[00:00:09.000 --> 00:00:11.000]  學習上帝的話語
[00:00:11.000 --> 00:00:13.000]  記得在我初信主的時候
[00:00:13.000 --> 00:00:18.000]  有一個字常常在我一些基督徒的導師
[00:00:18.000 --> 00:00:21.000]  或者一些牧長身上會出現的
[00:00:21.000 --> 00:00:24.000]  那是什麼字呢?就是信服了
[00:00:24.000 --> 00:00:27.000]  對於一個初信主的少年人來說
[00:00:27.000 --> 00:00:29.000]  信服非常簡單
[00:00:29.000 --> 00:00:31.000]  就好像聽爸爸說
[00:00:31.000 --> 00:00:32.000]  聽媽媽說
[00:00:32.000 --> 00:00:33.000]  爸爸說怎樣就怎樣
[00:00:33.000 --> 00:00:34.000]  媽媽說怎樣就怎樣
[00:00:34.000 --> 00:00:37.000]  當然我是一個少年人
[00:00:37.000 --> 00:00:39.000]  當時的我小時候很簡單
[00:00:39.000 --> 00:00:43.000]  打下球 讀下書 和朋友一起
[00:00:43.000 --> 00:00:44.000]  是這麼簡單
[00:00:44.000 --> 00:00:47.000]  沒有什麼其他特別的事情
[00:00:47.000 --> 00:00:51.000]  我講的是三十多年前的我
[00:00:51.000 --> 00:00:53.000]  今天我已經是一個中年人了
[00:00:53.000 --> 00:00:55.000]  我的身份變了
[00:00:55.000 --> 00:00:57.000]  我面對的經歷的事情都不同了
[00:00:57.000 --> 00:00:59.000]  作為一個牧師
[00:00:59.000 --> 00:01:00.000]  大教會
[00:01:00.000 --> 00:01:03.000]  在人生的路上都經歷了三十多年
[00:01:03.000 --> 00:01:04.000]  作為一個基督徒
[00:01:04.000 --> 00:01:06.000]  面對著很多的事情
[00:01:06.000 --> 00:01:08.000]  有家庭 有工作
[00:01:08.000 --> 00:01:13.000]  有很多面對這個世界上各種的挑戰
[00:01:13.000 --> 00:01:14.000]  在這個世界上各種黑暗
[00:01:14.000 --> 00:01:16.000]  所有事情都在我面前
[00:01:16.000 --> 00:01:18.000]  我已經不是一個少年人一樣
[00:01:18.000 --> 00:01:20.000]  這麼單純 這麼簡單
[00:01:20.000 --> 00:01:22.000]  因為我們周遭的世界很複雜
[00:01:22.000 --> 00:01:25.000]  我所顧慮的事情都會多了很多
[00:01:25.000 --> 00:01:27.000]  當我有著這樣的身份
[00:01:27.000 --> 00:01:31.000]  再進入去想回馴服這個字的時候
[00:01:31.000 --> 00:01:35.000]  突然之間有些事情出現了
[00:01:35.000 --> 00:01:37.000]  有兩個問題在我腦海裏出現了
[00:01:37.000 --> 00:01:38.000]  第一個問題就是
[00:01:38.000 --> 00:01:40.000]  當然我都知道馴服神糾纏
[00:01:40.000 --> 00:01:42.000]  聽爸爸的話 聽媽媽的話
[00:01:42.000 --> 00:01:44.000]  聽他的話就是這樣
[00:01:44.000 --> 00:01:48.000]  但其實什麼叫真真正正馴服神呢
[00:01:48.000 --> 00:01:50.000]  在我們生活範疇裏
[00:01:50.000 --> 00:01:53.000]  怎樣才叫做馴服神呢
[00:01:53.000 --> 00:01:55.000]  我開始去問
[00:01:55.000 --> 00:01:56.000]  是不是馴服神就是等於
[00:01:56.000 --> 00:01:59.000]  背幾個金蓋就等於馴服神呢
