
[00:00:00.000 --> 00:00:02.000]  最後Mark Sir會帶我們一起搜聖餐
[00:00:02.000 --> 00:00:04.000]  我現在將時間交給Mark Sir
[00:00:05.000 --> 00:00:06.000]  大家好
[00:00:06.000 --> 00:00:09.000]  今早如果是起床很難的
[00:00:09.000 --> 00:00:11.000]  應該最難的是我
[00:00:11.000 --> 00:00:14.000]  因為昨晚11點晚上才回來
[00:00:14.000 --> 00:00:18.000]  這兩個星期我們去了加州探親等等
[00:00:18.000 --> 00:00:21.000]  下個星期再給大家多一點分享
[00:00:21.000 --> 00:00:24.000]  我總結三個字就是死不去
[00:00:24.000 --> 00:00:30.000]  無論如何今天是Pastor William和我們正道
[00:00:30.000 --> 00:00:33.000]  很有趣認識到William
[00:00:33.000 --> 00:00:36.000]  因為你知道小弟在神童院進修中
[00:00:36.000 --> 00:00:39.000]  有一次在下課的時候
[00:00:39.000 --> 00:00:41.000]  出去拍攝拍攝
[00:00:41.000 --> 00:00:42.000]  碰見William
[00:00:42.000 --> 00:00:45.000]  大家聊天的時候才知道原來大家都是香港人
[00:00:45.000 --> 00:00:46.000]  廣東人
[00:00:46.000 --> 00:00:48.000]  我讀舊約的
[00:00:48.000 --> 00:00:49.000]  他讀新約的
[00:00:49.000 --> 00:00:51.000]  所以很有趣
[00:00:51.000 --> 00:00:54.000]  我們大家一聊天就聊到別人打樣
[00:00:54.000 --> 00:00:55.000]  我們都還沒走
[00:00:55.000 --> 00:01:00.000]  所以William來到芝加哥的時候
[00:01:00.000 --> 00:01:02.000]  一定要請他來分享廣東
[00:01:02.000 --> 00:01:05.000]  他太太和他的子女都在我們中間
[00:01:05.000 --> 00:01:06.000]  我們歡迎他們
[00:01:06.000 --> 00:01:10.000]  我們把時間交給William
[00:01:10.000 --> 00:01:22.000]  各位誠惠的弟兄姊妹你們好
[00:01:22.000 --> 00:01:25.000]  多謝陳牧師多謝Mark Sir的邀請
[00:01:25.000 --> 00:01:28.000]  那天在神學院碰到他
[00:01:28.000 --> 00:01:32.000]  是我第一次面對面見到他
[00:01:32.000 --> 00:01:34.000]  我之前不認識他
[00:01:34.000 --> 00:01:35.000]  是我教他的弟兄姊妹
[00:01:35.000 --> 00:01:37.000]  你有沒有看過Mark Sir的YouTube
[00:01:37.000 --> 00:01:40.000]  香港的弟兄姊妹都和我這樣說
[00:01:40.000 --> 00:01:42.000]  在加州的弟兄姊妹都和我這樣說
[00:01:42.000 --> 00:01:43.000]  我見到他
[00:01:43.000 --> 00:01:44.000]  我離遠見到他
[00:01:44.000 --> 00:01:45.000]  我就很開心
