
[00:00:00.000 --> 00:00:04.480]  我們來看看巴力的循環
[00:00:04.480 --> 00:00:06.480]  Bell Cycle
[00:00:06.480 --> 00:00:09.040]  正如我所說,六塊的禮板裡面
[00:00:09.040 --> 00:00:16.720]  很清楚地講述巴力的故事
[00:00:16.720 --> 00:00:19.520]  到底巴力神明是一回什麼事呢
[00:00:19.520 --> 00:00:23.280]  第一和第二塊禮板
[00:00:23.280 --> 00:00:25.280]  主要講什麼呢
[00:00:25.280 --> 00:00:31.200]  一個至高者叫做El
[00:00:31.200 --> 00:00:35.280]  El的翻譯就是神
[00:00:35.280 --> 00:00:39.280]  希伯來文也常常叫神是El
[00:00:39.280 --> 00:00:45.280]  El是一個名號,總之是形容神
[00:00:45.280 --> 00:00:49.760]  在Bell Cycle裡面,巴力的神話裡面
[00:00:49.760 --> 00:00:54.720]  首先開始有一個至高神El
[00:00:54.720 --> 00:00:57.840]  因為一些原因沒有解釋
[00:00:57.840 --> 00:01:03.040]  他偏愛一個海神,叫做Yam
[00:01:03.040 --> 00:01:06.560]  Yam
[00:01:06.560 --> 00:01:13.200]  聽到的時候就知道希伯來文是Yam
[00:01:13.200 --> 00:01:18.640]  Yam
[00:01:18.640 --> 00:01:22.560]  El很喜歡Yam
[00:01:22.560 --> 00:01:27.680]  但就允許巴力這個比較年輕的神明
[00:01:27.680 --> 00:01:31.520]  去挑戰Yam這個海神
[00:01:31.520 --> 00:01:34.320]  結果故事發展下去的時候
[00:01:34.320 --> 00:01:42.000]  巴力成功挑戰了Yam
[00:01:42.000 --> 00:01:46.640]  然後他就贏了眾神和眾人的王權
[00:01:46.640 --> 00:01:48.400]  贏了之後
[00:01:48.480 --> 00:01:52.880]  禮板的記載就是巴力要求建立自己的宮殿
[00:01:52.880 --> 00:01:54.880]  在哪裡建立呢
[00:01:54.880 --> 00:01:56.880]  當然是在聖山上面
[00:01:56.880 --> 00:02:00.880]  就是這個薩峰山
[00:02:00.880 --> 00:02:04.400]  巴力就在這個薩峰山上面
[00:02:04.400 --> 00:02:07.120]  去建立他的Temple Palace
[00:02:07.120 --> 00:02:10.400]  他的寺廟和他的宮殿
[00:02:10.400 --> 00:02:12.880]  所以這個Mount Saffong
[00:02:12.880 --> 00:02:16.240]  在聖經裡面出現過好幾次
[00:02:16.240 --> 00:02:20.080]  Saffong的意思其實就是北面的意思
[00:02:20.080 --> 00:02:22.080]  支北的意思
[00:02:22.080 --> 00:02:24.080]  Saffong就是北面的山
[00:02:24.080 --> 00:02:26.080]  所以音譯就是薩峰
[00:02:26.080 --> 00:02:28.080]  但其實是北面的山
[00:02:28.080 --> 00:02:30.080]  所以你剛剛看到地圖就知道
[00:02:30.080 --> 00:02:32.080]  就是在北面
[00:02:32.080 --> 00:02:34.080]  就是最北面的地方
[00:02:34.080 --> 00:02:36.080]  就是大迦林最北面的地方
[00:02:36.080 --> 00:02:38.080]  就是Mount Saffong
[00:02:38.080 --> 00:02:40.080]  就是眾神聚集的地方
[00:02:40.080 --> 00:02:42.080]  巴力在眾神中間
[00:02:42.080 --> 00:02:44.080]  就是稱神的地方
[00:02:44.080 --> 00:02:46.080]  Mount Saffong
[00:02:46.080 --> 00:02:48.080]  然後
[00:02:48.080 --> 00:02:50.080]  過了兩塊泥板
[00:02:50.080 --> 00:02:52.080]  到底三四塊泥板呢
[00:02:52.080 --> 00:02:54.080]  就是描述巴力如何鞏固自己的皇權
[00:02:54.080 --> 00:02:56.080]  以及如何完成
[00:02:56.080 --> 00:02:58.080]  他的寺廟的建築
[00:02:58.080 --> 00:03:00.080]  裡面就提到一些細節
[00:03:00.080 --> 00:03:04.080]  說到他如何在這個Mount Saffong上面
[00:03:04.080 --> 00:03:06.080]  建立了一個很偉大的宮殿
[00:03:06.080 --> 00:03:08.080]  然後他就接受敬拜
[00:03:08.080 --> 00:03:10.080]  然後他就接受敬拜
[00:03:10.080 --> 00:03:12.080]  到最後兩塊泥板
[00:03:12.080 --> 00:03:14.080]  兩塊泥板五和六
[00:03:14.080 --> 00:03:16.080]  就是故事的結語
[00:03:16.080 --> 00:03:18.080]  在這裡就講述巴力
[00:03:18.080 --> 00:03:20.080]  為自己的皇權
[00:03:20.080 --> 00:03:22.080]  去到辯護
[00:03:22.080 --> 00:03:24.080]  作守衛
[00:03:24.080 --> 00:03:26.080]  守護自己的皇權
[00:03:26.080 --> 00:03:28.080]  特別就是有一個叫做Maud
[00:03:28.080 --> 00:03:30.080]  這個Maud
[00:03:30.080 --> 00:03:32.080]  的冥神
