
[00:00:00.000 --> 00:00:03.320]   So that's the announcements.
[00:00:03.320 --> 00:00:06.500]   Again, we come before the word of God.
[00:00:06.500 --> 00:00:09.500]   We gonna turn to the book of Matthew,
[00:00:09.500 --> 00:00:10.480]   the gospel of Matthew.
[00:00:10.480 --> 00:00:14.080]   So if you have your phone app or you have your Bible,
[00:00:14.080 --> 00:00:17.980]   turn to Matthew 24, Matthew 24.
[00:00:17.980 --> 00:00:20.860]   Last days, according to Jesus, okay?
[00:00:20.860 --> 00:00:22.900]   Last time I was talking about this,
[00:00:22.900 --> 00:00:26.440]   the Olivet Discourse.
[00:00:26.440 --> 00:00:29.360]   It's a long sermon that Jesus gave.
[00:00:29.360 --> 00:00:34.360]   What signs will happen when the Temple of Jerusalem
[00:00:34.360 --> 00:00:36.040]   was destroyed?
[00:00:36.040 --> 00:00:38.520]   So Matthew 24, the Olivet Discourse,
[00:00:38.520 --> 00:00:42.920]   is related to the broad subject of eschatology,
[00:00:42.920 --> 00:00:46.040]   the end time, right?
[00:00:46.040 --> 00:00:46.960]   The end time.
[00:00:46.960 --> 00:00:51.520]   It's not complicated, but this word comes from
[00:00:51.520 --> 00:00:55.480]   the Greek term eschaton, right, as you remember.
[00:00:55.480 --> 00:00:57.240]   It's about the end.
[00:00:57.240 --> 00:00:58.260]   It's about the end.
[00:00:59.200 --> 00:01:02.040]   So here Jesus is answering questions
[00:01:02.040 --> 00:01:04.880]   posted by his disciples.
[00:01:04.880 --> 00:01:09.640]   What would happen when the Temple of Jerusalem was destroyed?
[00:01:09.640 --> 00:01:11.600]   What are the signs?
[00:01:11.600 --> 00:01:14.400]   And then what are the signs of his second coming?
[00:01:14.400 --> 00:01:16.360]   So two questions are lumped together,
[00:01:16.360 --> 00:01:21.360]   and Jesus is giving answer to this twofold questions.
[00:01:21.360 --> 00:01:25.040]   He is talking about a list of signs.
[00:01:25.040 --> 00:01:28.020]   So conveniently, I list it here.
[00:01:28.920 --> 00:01:30.680]   You will see false prophets.
[00:01:30.680 --> 00:01:33.640]   You will see wars and rumors of wars,
[00:01:33.640 --> 00:01:35.140]   earthquakes, persecutions,
[00:01:35.140 --> 00:01:37.500]   and many people will turn away from faith.
[00:01:37.500 --> 00:01:40.580]   Their love will grow cold,
[00:01:40.580 --> 00:01:44.160]   and the gospel will reach to the end of the earth,
[00:01:44.160 --> 00:01:47.360]   and there will be unusual astronomical phenomena.
[00:01:47.360 --> 00:01:48.760]   The sun and the moon and stars,
[00:01:48.760 --> 00:01:52.880]   they will behave differently or unusually.
[00:01:52.880 --> 00:01:56.160]   As I told you before, if we understand the background,
[00:01:56.160 --> 00:01:58.520]   the context of first century,
[00:01:58.520 --> 00:02:01.880]   especially 8030 to 8070, what happened there,
[00:02:01.880 --> 00:02:06.800]   all the signs happened before 8070,
[00:02:06.800 --> 00:02:08.480]   or around that time.
[00:02:08.480 --> 00:02:10.280]   So the first generation of Christians,
[00:02:10.280 --> 00:02:12.640]   they have every good reason to expect
[00:02:12.640 --> 00:02:15.880]   the second coming of Christ in their own lifetime.
[00:02:15.880 --> 00:02:19.160]   Jesus Christ is coming back any time.
[00:02:19.160 --> 00:02:22.240]   So no more signs is needed.
[00:02:22.240 --> 00:02:26.960]   Sometimes you may have heard some prophecy teachers
[00:02:26.960 --> 00:02:30.520]   telling you things like, okay, we are watching for this sign.
[00:02:30.520 --> 00:02:32.960]   You know, we are getting closer and closer.
[00:02:32.960 --> 00:02:35.920]   But look at what Jesus said, 2430.
[00:02:35.920 --> 00:02:40.920]   At that time, the sign of the Son of Man
[00:02:40.920 --> 00:02:42.920]   will appear in the sky,
[00:02:42.920 --> 00:02:46.280]   and all the nations of the earth will mourn.
