
[00:00:00.000 --> 00:00:02.000]  我們一起打開去
[00:00:02.000 --> 00:00:04.000]  嗯
[00:00:04.000 --> 00:00:06.000]  肥立秘書第二章
[00:00:06.000 --> 00:00:08.000]  六到十一節
[00:00:08.000 --> 00:00:10.000]  他本有神的形象
[00:00:10.000 --> 00:00:12.000]  不以自己與神同等
[00:00:12.000 --> 00:00:14.000]  為強奪的
[00:00:14.000 --> 00:00:16.000]  反倒虛己
[00:00:16.000 --> 00:00:18.000]  不以自己與神同等
[00:00:18.000 --> 00:00:20.000]  為強奪的
[00:00:20.000 --> 00:00:22.000]  反倒虛己
[00:00:22.000 --> 00:00:24.000]  不以自己與神同等
[00:00:24.000 --> 00:00:26.000]  為強奪的
[00:00:26.000 --> 00:00:28.000]  反倒虛己
[00:00:28.000 --> 00:00:30.000]  取了奴僕的形象
[00:00:30.000 --> 00:00:32.000]  成為人的樣式
[00:00:32.000 --> 00:00:34.000]  既有人的樣子
[00:00:34.000 --> 00:00:36.000]  就自己卑微
[00:00:36.000 --> 00:00:38.000]  全心馴服
[00:00:38.000 --> 00:00:40.000]  以致於死
[00:00:40.000 --> 00:00:42.000]  且死在十字架上
[00:00:42.000 --> 00:00:44.000]  所以神將他升為至高
[00:00:44.000 --> 00:00:46.000]  由此給他那超乎萬名之上的名
[00:00:46.000 --> 00:00:48.000]  叫一切在天上的
[00:00:48.000 --> 00:00:50.000]  地上的
[00:00:50.000 --> 00:00:52.000]  和地底下的
[00:00:52.000 --> 00:00:54.000]  因耶穌的名
[00:00:54.000 --> 00:00:56.000]  無不屈實
[00:00:56.000 --> 00:00:58.000]  以耶穌基督為主
[00:00:58.000 --> 00:01:00.000]  此榮耀歸於父神
[00:01:00.000 --> 00:01:02.000]  我們上星期
[00:01:02.000 --> 00:01:04.000]  開始這個系列的時候
[00:01:04.000 --> 00:01:06.000]  我們就說
[00:01:06.000 --> 00:01:08.000]  到底一個基督徒
[00:01:08.000 --> 00:01:10.000]  我們信耶穌的
[00:01:10.000 --> 00:01:12.000]  在地上生活的時候
[00:01:12.000 --> 00:01:14.000]  到底我們的身份是什麼
[00:01:14.000 --> 00:01:16.000]  到底我們的身份是什麼
[00:01:16.000 --> 00:01:18.000]  有什麼是最重要的身份
[00:01:18.000 --> 00:01:20.000]  我們知道我們在世裡
[00:01:20.000 --> 00:01:22.000]  我們的身份經常會變
[00:01:22.000 --> 00:01:24.000]  Right
[00:01:24.000 --> 00:01:26.000]  你的工作
[00:01:26.000 --> 00:01:28.000]  你的家庭
[00:01:28.000 --> 00:01:30.000]  你個人的生活的狀況
[00:01:30.000 --> 00:01:32.000]  事實上都會改變
[00:01:32.000 --> 00:01:34.000]  但是在聖經裡告訴我們
[00:01:34.000 --> 00:01:36.000]  基督徒有些很獨特的
[00:01:36.000 --> 00:01:38.000]  identity
[00:01:38.000 --> 00:01:40.000]  這些不同的身份
[00:01:40.000 --> 00:01:42.000]  告訴我們我們應該怎樣去處世
[00:01:42.000 --> 00:01:44.000]  應該怎樣去生活
[00:01:44.000 --> 00:01:46.000]  應該怎樣去
[00:01:46.000 --> 00:01:48.000]  過地的生命
[00:01:48.000 --> 00:01:50.000]  所以我們提到在基督徒
[00:01:50.000 --> 00:01:52.000]  的
[00:01:52.000 --> 00:01:54.000]  聖經裡
[00:01:54.000 --> 00:01:56.000]  到底有什麼提醒我們
[00:01:56.000 --> 00:01:58.000]  我們的身份
[00:01:58.000 --> 00:02:00.000]  我們就嘗試回到最初的信徒
[00:02:00.000 --> 00:02:02.000]  所謂大概
[00:02:02.000 --> 00:02:04.000]  2000年之前,第一世紀的時候
[00:02:04.000 --> 00:02:06.000]  當耶穌死而復活之後
[00:02:06.000 --> 00:02:08.000]  他
[00:02:08.000 --> 00:02:10.000]  留下的教會
[00:02:10.000 --> 00:02:12.000]  初代的教會,到底他們
[00:02:12.000 --> 00:02:14.000]  在耶穌的經歷體會裡
[00:02:14.000 --> 00:02:16.000]  到底怎樣去
[00:02:16.000 --> 00:02:18.000]  inform他們的identity
[00:02:18.000 --> 00:02:20.000]  所以我們去看看新約聖經
[00:02:20.000 --> 00:02:22.000]  裡面的文件
[00:02:22.000 --> 00:02:24.000]  這些書信
[00:02:24.000 --> 00:02:26.000]  或者這些記載
[00:02:26.000 --> 00:02:28.000]  怎樣去指導我們
[00:02:28.000 --> 00:02:30.000]  告訴我們我們是一個怎樣的人
[00:02:30.000 --> 00:02:32.000]  一個信耶穌的人
[00:02:32.000 --> 00:02:34.000]  我們的身份是怎樣
[00:02:34.000 --> 00:02:36.000]  當你翻開新約聖經的時候
[00:02:36.000 --> 00:02:38.000]  你會明白不是
[00:02:38.000 --> 00:02:40.000]  放在頭的那幾本書
[00:02:40.000 --> 00:02:42.000]  就是先寫的
[00:02:42.000 --> 00:02:44.000]  你知道新約聖經裡面有27本書
[00:02:44.000 --> 00:02:46.000]  是不是
[00:02:46.000 --> 00:02:48.000]  有頭四本是叫做福音書
[00:02:48.000 --> 00:02:50.000]  馬太,馬可,路加和約翰
[00:02:50.000 --> 00:02:52.000]  這四本
[00:02:52.000 --> 00:02:54.000]  沒錯是記載耶穌的事跡
[00:02:54.000 --> 00:02:56.000]  他的神跡
[00:02:56.000 --> 00:02:58.000]  他的死而復活等等
[00:02:58.000 --> 00:03:00.000]  但這些絕對不是
[00:03:00.000 --> 00:03:02.000]  那27本書裡面
[00:03:02.000 --> 00:03:04.000]  開頭寫的那四本
[00:03:04.000 --> 00:03:06.000]  我們所知道這四本福音書
[00:03:06.000 --> 00:03:08.000]  是在初代的教會
[00:03:08.000 --> 00:03:10.000]  之後的第二代
[00:03:10.000 --> 00:03:12.000]  第一代就快離開的時候
[00:03:12.000 --> 00:03:14.000]  大概
