
[00:00:00.000 --> 00:00:10.720]  大家好,歡迎回來第四集的經緯線
[00:00:10.720 --> 00:00:14.960]  第一集我們看了回應神的話語應有的心態
[00:00:14.960 --> 00:00:18.720]  接著兩集看了兩個天國就好像的比喻
[00:00:18.720 --> 00:00:21.280]  這次來到第四和第五集
[00:00:21.280 --> 00:00:26.080]  我們會看兩個在《馬太福音》第25章的比喻
[00:00:26.080 --> 00:00:33.120]  今天我們會看25章1至13節《十個的同類》的比喻
[00:00:33.120 --> 00:00:38.400]  這個比喻說到天國好像有十個同類
[00:00:38.400 --> 00:00:40.800]  拿著燈去迎接新郎
[00:00:40.800 --> 00:00:45.280]  其中五個是愚蠢的,有五個是聰明的
[00:00:45.280 --> 00:00:49.280]  五個愚蠢的顧著拿燈,沒有預備油
[00:00:49.280 --> 00:00:53.760]  聰明的拿了燈,又拿了足夠的油
[00:00:53.760 --> 00:00:58.560]  新郎遲遲都沒有來,他等到很睏,還睡著了
[00:00:58.560 --> 00:01:02.960]  到半夜,突然有人叫新郎來,出來迎接他
[00:01:02.960 --> 00:01:08.000]  同類醒了,就點燈
[00:01:08.000 --> 00:01:12.000]  愚蠢的同類對聰明的同類說
[00:01:12.000 --> 00:01:15.680]  分些油給我們,因為我們的燈快熄了
[00:01:15.680 --> 00:01:17.440]  聰明的同類說
[00:01:17.440 --> 00:01:21.600]  不行,我的油不夠大家用,你們自己去買吧
[00:01:21.600 --> 00:01:27.040]  當愚蠢的同類去買油的時候,新郎就到了
[00:01:27.040 --> 00:01:31.360]  準備好的同類就和他們一起進入了婚宴
[00:01:31.360 --> 00:01:33.120]  然後門就關上了
[00:01:33.120 --> 00:01:36.960]  後來當其他的同類回來的時候
[00:01:36.960 --> 00:01:39.840]  就叫:主啊主啊,開門給我們吧
[00:01:39.840 --> 00:01:41.920]  但是新郎就說
[00:01:41.920 --> 00:01:44.800]  我實在告訴你們,我不認識你們
[00:01:44.800 --> 00:01:46.560]  最後耶穌就說
[00:01:46.560 --> 00:01:48.160]  所以你們要警醒
[00:01:48.160 --> 00:01:52.000]  因為你們不知道我回來的日子和時辰
[00:01:52.000 --> 00:01:55.280]  這個故事就是這樣
[00:01:55.280 --> 00:01:57.680]  我想和大家一樣
[00:01:57.680 --> 00:02:00.720]  我都有一個問題,究竟發生什麼事呢?
[00:02:00.720 --> 00:02:06.080]  為什麼當時的人會等新郎等到半夜這麼晚呢?
[00:02:06.080 --> 00:02:09.360]  這個就是我們以往一直查比喻的時候
[00:02:09.360 --> 00:02:12.160]  我們發現聖經耶穌的比喻
[00:02:12.160 --> 00:02:14.320]  就是和當時的生活
[00:02:14.320 --> 00:02:17.360]  他們的習俗是很有關的
[00:02:17.360 --> 00:02:20.160]  當時第一代讀者一聽就知道
[00:02:20.160 --> 00:02:25.840]  因為當時的結婚、婚嫁、飲宴的習俗
[00:02:25.840 --> 00:02:28.080]  不一定和我們現代人一樣
[00:02:28.080 --> 00:02:35.360]  但是現在很多很傳統的巴勒斯坦村莊
[00:02:35.360 --> 00:02:36.480]  他們都是這樣的
[00:02:36.480 --> 00:02:41.040]  他們一早就去接新娘到別的村
[00:02:41.040 --> 00:02:44.480]  伴郎跟著新郎就去接
[00:02:44.480 --> 00:02:46.800]  接完之後在那裡就慶祝一大輪
[00:02:46.800 --> 00:02:48.640]  整天都在跳舞
[00:02:48.640 --> 00:02:51.920]  跳完舞他們就回家了
[00:02:51.920 --> 00:02:55.040]  他們那種婚嫁的習俗
[00:02:55.040 --> 00:03:03.600]  接新娘回到新郎家的村
[00:03:03.600 --> 00:03:05.840]  那個接送是很重要的
[00:03:05.840 --> 00:03:10.400]  很慶祝、很歡樂、很快樂的
[00:03:10.400 --> 00:03:16.240]  然後最後晚上回來才很晚才會有婚宴
[00:03:16.240 --> 00:03:20.720]  所以婚宴通常都是很晚才會發生
[00:03:20.720 --> 00:03:29.040]  伴郎的同女需要在伴郎迎接新郎回來
[00:03:29.040 --> 00:03:33.200]  所以他們就要預備油、火把
[00:03:33.200 --> 00:03:37.440]  其實不只是古以色列是這樣
[00:03:37.440 --> 00:03:40.320]  當時的希羅文化其實很多時候都是這樣
[00:03:40.320 --> 00:03:42.560]  所以當時第一代讀者就知道
[00:03:42.560 --> 00:03:45.600]  那五個沒有預備油的,有沒有搞錯
[00:03:45.600 --> 00:03:47.600]  這些是很常見的東西
[00:03:47.600 --> 00:03:48.800]  明白,明白
[00:03:48.800 --> 00:03:52.000]  我們看了幾集都學到
[00:03:52.000 --> 00:03:56.960]  有時候原來這些蠢的、聰明的伴娘
[00:03:56.960 --> 00:04:01.120]  或者這些油的東西都未必是最重點
[00:04:01.120 --> 00:04:05.760]  幫助我們去理解那個比喻是什麼意思
[00:04:05.760 --> 00:04:08.960]  反而是看上文下理
[00:04:08.960 --> 00:04:13.280]  反而可以令我們認識、明白得透徹一點
[00:04:13.280 --> 00:04:19.520]  我們看了24章,好像比喻是在回應24章很多的問題
[00:04:19.520 --> 00:04:23.680]  Jackson可不可以跟我們解釋多一點這個比喻
[00:04:23.680 --> 00:04:26.480]  其實如果大家都很熟悉
[00:04:26.480 --> 00:04:29.440]  25章我們在開頭的時候都說過
[00:04:29.440 --> 00:04:32.720]  25章有三個比較詳細的比喻
[00:04:32.720 --> 00:04:34.080]  這是其中一個
