
[00:00:00.000 --> 00:00:06.000]  上次說到,人生就像一部戲
[00:00:06.000 --> 00:00:11.000]  而我們每一個都有自己要扮演的角色
[00:00:11.000 --> 00:00:18.000]  今次我是從《創世紀》第37章2-11節帶給大家
[00:00:18.000 --> 00:00:23.000]  來看看主角約瑟悲埋的前因
[00:00:23.000 --> 00:00:31.000]  主角約瑟的父親和他四個妻妾一共生了12個兒子
[00:00:31.000 --> 00:00:35.000]  而主角約瑟是排行第11
[00:00:35.000 --> 00:00:42.000]  約瑟和他父母的弟弟都是父親最愛的妻子所生
[00:00:42.000 --> 00:00:48.000]  約瑟是親生父母年老時第一個所生的大兒子
[00:00:48.000 --> 00:00:53.000]  故此約瑟至少就深得父親的特別同愛
[00:00:53.000 --> 00:00:58.000]  父親親手為約瑟做了一件彩色的衣服
[00:00:58.000 --> 00:01:05.000]  在《聖經》中從未提及過父親親手為其他兒子做過衣服
[00:01:05.000 --> 00:01:12.000]  似乎好像暗示了父親做衣服給約瑟是有特別的意思
[00:01:12.000 --> 00:01:17.000]  有可能是想將家族的繼承權交給約瑟
[00:01:17.000 --> 00:01:20.000]  童年時的約瑟因為年少無知
[00:01:20.000 --> 00:01:25.000]  經常在父親面前告發兄長的罪行
[00:01:25.000 --> 00:01:31.000]  在《聖經》中沒有記錄過10個兄弟有什麼罪行
[00:01:31.000 --> 00:01:35.000]  但約瑟告發兄長這個舉動
[00:01:35.000 --> 00:01:39.000]  足以使兄長至少排斥約瑟
[00:01:39.000 --> 00:01:44.000]  不僅如此 約瑟先後還做了兩個夢
[00:01:44.000 --> 00:01:50.000]  這兩個夢的確加深了十兄長對約瑟的疾度
[00:01:50.000 --> 00:01:55.000]  在《創世紀》第37章5到11節
[00:01:55.000 --> 00:01:59.000]  那裡提及約瑟第一個夢
[00:01:59.000 --> 00:02:03.000]  約瑟夢見10個哥哥向他來跪拜
[00:02:03.000 --> 00:02:06.000]  當約瑟發第二個夢的時候
[00:02:06.000 --> 00:02:13.000]  他夢見太陽、月亮和11顆星同時都向他來跪拜
[00:02:13.000 --> 00:02:18.000]  太陽、月亮分別代表了約瑟的親生父母
[00:02:18.000 --> 00:02:23.000]  而11顆星代表了約瑟11個兄弟
[00:02:23.000 --> 00:02:30.000]  約瑟因為年少就將兩個夢都告訴他家人
[00:02:30.000 --> 00:02:34.000]  結果父親雅各聽完後
[00:02:34.000 --> 00:02:40.000]  就當著兄長和母親面前即刻責備約瑟
[00:02:40.000 --> 00:02:47.000]  但另一方面 父親雅各亦將約瑟的話藏在心裡
[00:02:47.000 --> 00:02:52.000]  而約瑟10個哥哥聽完約瑟所發的這個夢後
[00:02:52.000 --> 00:02:55.000]  就更加疾度約瑟
[00:02:55.000 --> 00:03:00.000]  兄長疾度約瑟的程度所帶來的嚴重後果
[00:03:00.000 --> 00:03:07.000]  竟然成為日後約瑟有被殺的危機和被賣的結果
[00:03:07.000 --> 00:03:13.000]  故事說到這裡 不知道大家有沒有引起你們的聯想呢?
