
[00:00:00.000 --> 00:00:07.000]  「上次講到約瑟因為高興九兄長能夠將別雅敏從埃及帶來
[00:00:07.000 --> 00:00:10.000]  於是就為他們設吾宴
[00:00:10.000 --> 00:00:14.000]  在用膳的時候約瑟因為開心而感觸
[00:00:14.000 --> 00:00:17.000]  就走回房間大哭一場
[00:00:17.000 --> 00:00:19.000]  當約瑟哭完之後
[00:00:19.000 --> 00:00:22.000]  再回來和十兄弟一起共午膳
[00:00:22.000 --> 00:00:25.000]  接下來又發生什麼事呢?
[00:00:25.000 --> 00:00:30.000]  看看44章,一到第三節
[00:00:30.000 --> 00:00:36.000]  約瑟他吩咐人將糧食裝滿在他們的口袋裡
[00:00:36.000 --> 00:00:42.000]  約瑟又吩咐人將各人的銀紙都放回在各人的口袋
[00:00:42.000 --> 00:00:44.000]  不過大家小心留意一下
[00:00:44.000 --> 00:00:50.000]  約瑟同時吩咐人將銀貝放在那個少年人的口袋
[00:00:50.000 --> 00:00:53.000]  也就是別雅敏的口袋裡
[00:00:53.000 --> 00:00:57.000]  到了第二天,他們起程要回迦南了
[00:00:57.000 --> 00:01:02.000]  在回程途中,約瑟吩咐人去追捕他們
[00:01:02.000 --> 00:01:04.000]  根據第九節說
[00:01:04.000 --> 00:01:08.000]  無論在任何人的口袋裡搜出銀貝
[00:01:08.000 --> 00:01:10.000]  這個人就要死
[00:01:10.000 --> 00:01:13.000]  結果人贓並獲
[00:01:13.000 --> 00:01:18.000]  在別雅敏的口袋裡就找到這個銀貝
[00:01:18.000 --> 00:01:24.000]  於是九兄弟只有斯里依福回到埃及
[00:01:24.000 --> 00:01:26.000]  斯里依福是什麼意思呢?
[00:01:26.000 --> 00:01:32.000]  原來斯里依福這個行動表示他們相當憂傷
[00:01:32.000 --> 00:01:39.000]  他們為了小兒子別雅敏所遇的事來到憂傷和難過
[00:01:39.000 --> 00:01:44.000]  看看44章,14到45節
[00:01:44.000 --> 00:01:47.000]  當他們回到城之後
[00:01:47.000 --> 00:01:51.000]  是猶大和埃及的首相約瑟的對話
[00:01:51.000 --> 00:01:55.000]  從猶大的對話中可以聽得出的是
