
[00:00:00.000 --> 00:00:03.000]   Thank you.
[00:00:03.000 --> 00:00:05.000]   Well, it's a blessing and a pleasure
[00:00:05.000 --> 00:00:07.300]   to be speaking with you guys again today.
[00:00:07.300 --> 00:00:11.440]   So thank you all for allowing me to be here.
[00:00:11.440 --> 00:00:13.540]   Today is the 3rd of December,
[00:00:13.540 --> 00:00:15.540]   and so if you weren't aware,
[00:00:15.540 --> 00:00:17.720]   allow me to be the first one to tell you
[00:00:17.720 --> 00:00:21.080]   that it is officially Christmas season.
[00:00:21.080 --> 00:00:24.860]   Yes, it's the most wonderful time of the year.
[00:00:24.860 --> 00:00:26.220]   And when I was putting this together,
[00:00:26.220 --> 00:00:28.560]   I thought about singing that line,
[00:00:28.560 --> 00:00:30.400]   but nobody really wants that.
[00:00:30.400 --> 00:00:31.760]   Nobody wants to hear me sing.
[00:00:31.760 --> 00:00:33.460]   That wouldn't be good for anybody.
[00:00:33.460 --> 00:00:37.100]   But Christmas time, it's the time for Christmas trees,
[00:00:37.100 --> 00:00:40.200]   Christmas cookies, and Christmas decorations.
[00:00:40.200 --> 00:00:44.480]   It's a time to decorate houses, give gifts,
[00:00:44.480 --> 00:00:46.440]   wear matching pajamas,
[00:00:46.440 --> 00:00:48.740]   and one of my favorite parts of the Christmas season
[00:00:48.740 --> 00:00:50.980]   is that it's the only time of the year
[00:00:50.980 --> 00:00:54.080]   I can find eggnog at the grocery store.
[00:00:54.080 --> 00:00:56.960]   Are there any eggnog-like lovers in the audience
[00:00:56.960 --> 00:00:58.220]   by show of hands?
[00:00:58.220 --> 00:00:59.660]   Oh, only a couple?
[00:00:59.660 --> 00:01:01.160]   All right, that's fine.
[00:01:01.160 --> 00:01:03.260]   All right, I'll have to scratch the next five minutes
[00:01:03.260 --> 00:01:04.620]   of what I was gonna talk about.
[00:01:04.620 --> 00:01:05.860]   No, I'm just kidding.
[00:01:05.860 --> 00:01:08.700]   But something that's more important than eggnog,
[00:01:08.700 --> 00:01:12.140]   pajamas, cookies, is that this is the time of year
[00:01:12.140 --> 00:01:15.400]   we celebrate the birth of our Savior and Messiah,
[00:01:15.400 --> 00:01:17.540]   Jesus Christ.
[00:01:17.540 --> 00:01:20.480]   For many Christians, it's a time of Advent
