
[00:00:00.000 --> 00:00:03.000]  約瑟被賣後的幾次大經歷
[00:00:03.000 --> 00:00:06.000]  第一次經歷是約瑟被賣後
[00:00:06.000 --> 00:00:08.000]  去到法老的內臣
[00:00:08.000 --> 00:00:11.000]  波提弗的家裡做奴隸
[00:00:11.000 --> 00:00:13.000]  在《創世紀》第39章
[00:00:13.000 --> 00:00:15.000]  一到第六節
[00:00:15.000 --> 00:00:18.000]  那裡說到約瑟因為有神的同在
[00:00:18.000 --> 00:00:20.000]  雖然約瑟被賣後
[00:00:20.000 --> 00:00:22.000]  他沒有被賣
[00:00:22.000 --> 00:00:24.000]  但他有一個祖先
[00:00:24.000 --> 00:00:26.000]  就是法老
[00:00:26.000 --> 00:00:30.000]  那裡說到約瑟因為有神的同在
[00:00:30.000 --> 00:00:33.000]  雖然約瑟被賣到埃及做奴隸
[00:00:33.000 --> 00:00:36.000]  但非常受到主人的器重
[00:00:36.000 --> 00:00:38.000]  當時約瑟的主人
[00:00:38.000 --> 00:00:42.000]  就是埃及人法老的內臣波提弗
[00:00:42.000 --> 00:00:45.000]  波提弗經常與法老接觸
[00:00:45.000 --> 00:00:47.000]  應該是一個舉足輕重
[00:00:47.000 --> 00:00:50.000]  有影響力的大官
[00:00:50.000 --> 00:00:52.000]  而約瑟當時
[00:00:52.000 --> 00:00:55.000]  只不過是一個被賣到埃及人的奴隸
[00:00:55.000 --> 00:00:57.000]  奴隸的身份非常卑微
[00:00:57.000 --> 00:00:59.000]  可以說是一無所有
[00:00:59.000 --> 00:01:03.000]  就算連他自己的命都不屬於他自己
[00:01:03.000 --> 00:01:06.000]  但神一直與約瑟同在
[00:01:06.000 --> 00:01:08.000]  神賜福也保守約瑟
[00:01:08.000 --> 00:01:11.000]  於是約瑟百事順利
[00:01:11.000 --> 00:01:13.000]  頂姐妹
[00:01:13.000 --> 00:01:17.000]  之前我們都有對約瑟被賣的前因探討過
[00:01:17.000 --> 00:01:21.000]  他被兄長恨而所帶來的嚴重後果
[00:01:21.000 --> 00:01:26.000]  竟然是做到手足之間可以畏道權、畏道名
[00:01:26.000 --> 00:01:30.000]  來反目成仇,甚至屈辱相殘
[00:01:30.000 --> 00:01:34.000]  人的一生有很多東西的確是無可選擇
[00:01:34.000 --> 00:01:38.000]  不單是出生之前,我們是無可選擇
[00:01:38.000 --> 00:01:40.000]  即使我們出生之後
[00:01:40.000 --> 00:01:43.000]  人的一生經歷都一樣是無可選擇
[00:01:43.000 --> 00:01:46.000]  就好像故事裡的主角約瑟
[00:01:46.000 --> 00:01:48.000]  他被賣到埃及
