
[00:00:00.000 --> 00:00:07.740]  除了死神的形容之外,還提到一個很重要的戰爭
[00:00:07.740 --> 00:00:14.020]  那個最重要的戰爭就是死亡之神被粉碎
[00:00:14.020 --> 00:00:20.540]  我們講兩段,其中一段巴力的文字叫做epic of Cotter
[00:00:20.540 --> 00:00:39.520]  上文下理講到國王有病,整個地上有瘟疫,有疾病,有死亡,有旱災出現等等
[00:00:39.520 --> 00:00:52.960]  這些有旱災,有瘟疫,有疾病,有死亡,這些在神話中或中東都會放在一起討論
[00:00:52.960 --> 00:01:02.160]  因為很簡單,有旱季,沒有雨水,沒有生產就自然會有飢餓
[00:01:02.160 --> 00:01:08.640]  會有瘟疫出現,會有病出現,最後會有死亡
[00:01:08.640 --> 00:01:12.720]  所以這些主題經常會放在一起討論
[00:01:12.720 --> 00:01:25.680]  在上文中,講到地上沒有食物,因為沒有雨水,所以會有飢荒出現
[00:01:25.680 --> 00:01:37.720]  因為沒有食物的緣故,在烏加利眾神會中,最大的神叫做EL
[00:01:37.720 --> 00:01:43.720]  他會造一個女神出來,叫做Shataka
[00:01:43.720 --> 00:01:53.400]  造了這個女神出來,讓這個女神把疾病和死亡拿走
[00:01:53.400 --> 00:02:01.280]  以至烏加利的王能夠健康一些,能夠有康泰
[00:02:01.280 --> 00:02:07.400]  以致王平安之後,又有雨水和食物出來
[00:02:07.400 --> 00:02:09.400]  這一段講什麼呢?
[00:02:09.400 --> 00:02:13.400]  Shataka要做什麼呢?
[00:02:13.400 --> 00:02:20.400]  他要將死亡粉碎,Shataka可以將死神打敗
[00:02:20.400 --> 00:02:32.400]  Shataka離開了神的重天庭,進入了王的房子
[00:02:32.400 --> 00:02:41.400]  進入了王的房子,然後進入了王宮,代表他粉碎了死亡,然後給了王健康
[00:02:41.400 --> 00:02:49.400]  當時的中東的王,就是神所設立的
[00:02:49.400 --> 00:02:57.400]  保守著國家平安,有雨水
[00:02:57.400 --> 00:03:05.400]  他可以代表眾民向巴力禱告,有雨水,有出產,以致大家有豐收等等
[00:03:05.400 --> 00:03:08.400]  所以王很重要,王健康也很重要
[00:03:08.400 --> 00:03:13.400]  所以EL就做了Shataka,來戰勝死亡
[00:03:13.400 --> 00:03:20.400]  之前我們提過巴力的循環,神話
[00:03:20.400 --> 00:03:27.400]  說在漢季完結的時候,巴力被摩特吞併
[00:03:27.400 --> 00:03:36.400]  然後他的老婆Anart出來復仇,將摩特殺死
[00:03:36.400 --> 00:03:43.400]  這一段最清楚,這裡提到Anart,這個女神
[00:03:43.400 --> 00:03:56.400]  抓住死神摩特,用劍劈開他,然後用西子去篩選他
[00:03:56.400 --> 00:04:02.400]  就像用菊來打散他
[00:04:02.400 --> 00:04:14.400]  所以死神雖然有這麼大權,但在循環中,他永遠不會有絕對的權力
[00:04:14.400 --> 00:04:27.400]  因為最終Anart將他打敗,然後Bale巴力在陰間再被復生
[00:04:27.400 --> 00:04:35.400]  我們說起Maud,有什麼名號,或者他出名是什麼呢?
[00:04:35.400 --> 00:04:40.400]  我們再看一段,然後才進入伊利亞的故事
[00:04:40.400 --> 00:04:44.400]  我們在看的時候,伊利亞的故事是這樣寫出來
[00:04:44.400 --> 00:04:49.400]  交代一些這樣的情節,為什麼呢?
[00:04:49.400 --> 00:04:54.400]  就是我們比對研究,我們拿經外的文字
[00:04:54.400 --> 00:04:59.400]  來做一些對比的時候,給一個背景的時候
[00:04:59.400 --> 00:05:03.400]  我們就更能夠清楚為什麼這些故事會這樣發生
[00:05:03.400 --> 00:05:06.400]  除了我們說如此真的發生過之外
[00:05:06.400 --> 00:05:11.400]  到底為什麼聖經作者會這樣堆砌伊利亞的故事
[00:05:11.400 --> 00:05:13.400]  其實想做什麼呢?
[00:05:13.400 --> 00:05:17.400]  我們繼續看下去,這個Maud的名號是什麼呢?
[00:05:17.400 --> 00:05:22.400]  其中他有兩個相同的名號,就是死亡和解散
[00:05:22.400 --> 00:05:25.400]  Death and dissolution
[00:05:25.400 --> 00:05:31.400]  死亡和人死,就是說家庭有解散等等
[00:05:31.400 --> 00:05:35.400]  所以他的名號就是這樣
[00:05:35.400 --> 00:05:40.400]  我這裡就引用一本大典
[00:05:40.400 --> 00:05:44.400]  美國這本大典就是很多近東的學者
[00:05:44.400 --> 00:05:52.400]  寫有關近東的宗教,特別是一些神和魔鬼
[00:05:52.400 --> 00:05:54.400]  Deities and Demons
[00:05:54.400 --> 00:06:00.400]  這本書就成為了一本大典,一本百科全書或者字典
[00:06:00.400 --> 00:06:06.400]  這本是頗新的書,有一段文章
[00:06:06.400 --> 00:06:08.400]  就是講到Maud這個神
[00:06:08.400 --> 00:06:12.400]  除了講到他的名號是Death and dissolution之外
[00:06:12.400 --> 00:06:20.400]  就是說Maud是拿著喪親的權杖
[00:06:20.400 --> 00:06:24.400]  也是拿著寡婦的權杖
[00:06:24.400 --> 00:06:26.400]  這裡就很奇怪,為什麼會講這個呢?
[00:06:26.400 --> 00:06:28.400]  喪親就很明顯了
[00:06:28.400 --> 00:06:33.400]  因為他吞噬了巴黎,沒有雨水
[00:06:33.400 --> 00:06:37.400]  然後就沒有土產,然後有饑荒
[00:06:37.400 --> 00:06:40.400]  有饑荒出現就有病
[00:06:40.400 --> 00:06:43.400]  人就會軟弱,然後就會死亡
[00:06:43.400 --> 00:06:48.400]  所以Maud也有這樣的權柄
[00:06:48.400 --> 00:06:52.400]  就是他拿著親人的生命
[00:06:52.400 --> 00:06:55.400]  所以他有一個所謂的Bereavement
[00:06:55.400 --> 00:06:59.400]  就是喪親的時候哭泣的權柄
[00:06:59.400 --> 00:07:04.400]  還有他有什麼呢?就是寡婦的權杖
[00:07:04.400 --> 00:07:06.400]  為什麼會有寡婦呢?
[00:07:06.400 --> 00:07:10.400]  因為男人死了,女人就變成寡婦
[00:07:10.400 --> 00:07:15.400]  所以他們不單是喪親,他們也自己變成寡婦
[00:07:15.400 --> 00:07:19.400]  所以寡婦的出現,或者有寡婦的出現
[00:07:19.400 --> 00:07:21.400]  為什麼呢?在巴黎的神話裡面
[00:07:21.400 --> 00:07:25.400]  就是因為Maud是掌管著人的生命的
[00:07:25.400 --> 00:07:27.400]  吞噬人,被人死亡的
[00:07:27.400 --> 00:07:29.400]  所以就會有寡婦出現
[00:07:29.400 --> 00:07:32.400]  所以寡婦,我們一想到寡婦的時候
[00:07:32.400 --> 00:07:36.400]  不單是想到近代社會裡面的寡婦
[00:07:36.400 --> 00:07:41.400]  是社會裡面最低下階層的,或者無依無靠的人
[00:07:41.400 --> 00:07:43.400]  其實跟這些神話很有關係
[00:07:43.400 --> 00:07:47.400]  就是這個Maud就是造成寡婦的
[00:07:47.400 --> 00:07:51.400]  是不是?誰得罪他
[00:07:51.400 --> 00:07:55.400]  這個Maud就會將他變成寡婦
[00:07:55.400 --> 00:07:58.400]  所以他擁有著很大的生死之權
[00:07:58.400 --> 00:08:00.400]  這個就是Maud
[00:08:00.400 --> 00:08:02.400]  所以在巴黎神話裡面
