
[00:00:00.000 --> 00:00:01.120]  Harry Tai的節目好
[00:00:01.120 --> 00:00:03.520]  過去兩天我都病了
[00:00:03.520 --> 00:00:05.520]  所以真的不是很好
[00:00:05.520 --> 00:00:06.520]  年尾又病了
[00:00:06.520 --> 00:00:09.080]  因為我家有幾個人都病了
[00:00:09.080 --> 00:00:10.680]  所以沒辦法
[00:00:10.680 --> 00:00:11.880]  我們重災區
[00:00:11.880 --> 00:00:14.560]  我都想著可以過年
[00:00:14.560 --> 00:00:16.240]  誰知道都過不了年
[00:00:16.240 --> 00:00:17.000]  不過不要緊
[00:00:17.000 --> 00:00:18.520]  我們繼續去侍奉
[00:00:18.520 --> 00:00:20.720]  我們快到新的一年了
[00:00:20.720 --> 00:00:21.920]  明天就是了
[00:00:21.920 --> 00:00:22.560]  是不是
[00:00:22.560 --> 00:00:25.440]  雖然都是這樣過一天
[00:00:25.440 --> 00:00:26.840]  也是這樣過
[00:00:26.840 --> 00:00:28.520]  二十四時也是這樣過
[00:00:28.520 --> 00:00:33.200]  這些日曆或者年曆的事情都是人為的
[00:00:33.200 --> 00:00:37.840]  但是也感謝上帝給我們生命的旅程
[00:00:37.840 --> 00:00:39.480]  我們有一些機會
[00:00:39.480 --> 00:00:41.960]  我們能夠去回望一下
[00:00:41.960 --> 00:00:45.960]  然後去做一些計劃
[00:00:45.960 --> 00:00:47.080]  2024年怎樣也好
[00:00:47.080 --> 00:00:48.520]  也是一個新的一年
[00:00:48.520 --> 00:00:56.440]  大家可能想到一些不同的新年目標
[00:00:56.440 --> 00:00:57.520]  有沒有
[00:00:57.520 --> 00:00:59.440]  財政上可能又要想過
[00:00:59.440 --> 00:01:02.040]  今年新的一年的時候
[00:01:02.040 --> 00:01:06.040]  財政上財務上應該怎樣去做一個好的管家
[00:01:06.040 --> 00:01:09.160]  或者減肥
[00:01:09.160 --> 00:01:10.040]  是不是
[00:01:10.040 --> 00:01:11.840]  也是時候了
[00:01:11.840 --> 00:01:12.640]  也是時候了
[00:01:12.640 --> 00:01:14.520]  想了幾年
[00:01:14.520 --> 00:01:16.280]  今年終於要了
[00:01:16.280 --> 00:01:18.640]  一直說了幾年
[00:01:18.640 --> 00:01:21.040]  或者想學一些新的東西
[00:01:21.040 --> 00:01:22.080]  也可能是
[00:01:22.080 --> 00:01:24.360]  男女老幼也好
[00:01:24.360 --> 00:01:27.160]  我們都可能想學一些新的東西
[00:01:27.160 --> 00:01:28.440]  或者我們作為基督徒
[00:01:28.440 --> 00:01:29.440]  我們也會想一下
[00:01:29.440 --> 00:01:30.200]  也是時候了
[00:01:30.200 --> 00:01:32.080]  要看看聖經
