
[00:00:00.000 --> 00:00:03.600]  每次主因報告的時候都這麼生猛
[00:00:03.600 --> 00:00:06.280]  令我們本身都有點睡不著
[00:00:06.280 --> 00:00:07.400]  音樂這麼好
[00:00:07.400 --> 00:00:09.360]  所以我們醒了
[00:00:09.360 --> 00:00:11.400]  我想告訴大家
[00:00:11.400 --> 00:00:13.280]  昨天下午的時候
[00:00:13.280 --> 00:00:14.920]  我在想
[00:00:14.920 --> 00:00:16.400]  因為LA大火
[00:00:16.400 --> 00:00:18.280]  有很多事情值得我們反省
[00:00:18.280 --> 00:00:21.880]  很多時候我們想起LA大火
[00:00:21.880 --> 00:00:24.080]  有些什麼訊息等等
[00:00:24.080 --> 00:00:26.000]  有時候我們說快了
[00:00:26.000 --> 00:00:27.720]  我們就說上帝審判
[00:00:27.720 --> 00:00:28.920]  或者什麼
[00:00:29.320 --> 00:00:31.000]  我們在名義上
[00:00:31.000 --> 00:00:33.280]  我們沒有怎麼思考過
[00:00:33.280 --> 00:00:34.480]  我們就說出來
[00:00:34.480 --> 00:00:36.400]  我相信我們大家不是這樣的
[00:00:36.400 --> 00:00:38.560]  其他人可能是這樣
[00:00:38.560 --> 00:00:40.440]  所以下午的時候我就想
[00:00:40.440 --> 00:00:42.000]  是不是應該轉港台呢
[00:00:42.000 --> 00:00:45.120]  我想說一系列
[00:00:45.120 --> 00:00:46.840]  是說創造關心
[00:00:46.840 --> 00:00:49.600]  大地和萬物
[00:00:49.600 --> 00:00:51.480]  人去到做管家
[00:00:51.480 --> 00:00:54.160]  聖經裡面有什麼教導
[00:00:54.160 --> 00:00:57.720]  有時候我們有種錯誤的看法
[00:00:57.720 --> 00:00:59.720]  就是覺得這個世界都快完結了
[00:00:59.720 --> 00:01:00.160]  是不是
[00:01:00.160 --> 00:01:01.320]  等它燒掉
[00:01:01.320 --> 00:01:02.760]  反正都玩完了
[00:01:02.760 --> 00:01:03.560]  Game over
[00:01:03.560 --> 00:01:05.400]  是不是聖經也是這麼說的呢
[00:01:05.400 --> 00:01:07.280]  所以我昨天下午的時候
[00:01:07.280 --> 00:01:11.680]  我就在考量
[00:01:11.680 --> 00:01:14.040]  到底是不是今天需要去
[00:01:14.040 --> 00:01:16.040]  說另外一個題目
[00:01:16.040 --> 00:01:19.280]  所以我用了下午幾個小時的時間
[00:01:19.280 --> 00:01:22.760]  我就預備了大概60%的度
[00:01:22.760 --> 00:01:24.960]  那邊新的度
[00:01:25.360 --> 00:01:26.880]  但是到了晚上的時候
[00:01:26.880 --> 00:01:27.680]  我就想了一下
[00:01:27.680 --> 00:01:29.320]  我們做人不可以這樣
[00:01:29.320 --> 00:01:30.480]  有始有終
[00:01:30.480 --> 00:01:32.000]  因為我們在說十屆
[00:01:32.000 --> 00:01:33.560]  說了一半而已
[00:01:33.560 --> 00:01:34.840]  應該也說完它
[00:01:34.840 --> 00:01:36.360]  所以下個星期開始
[00:01:36.360 --> 00:01:38.240]  下次才去想一想
[00:01:38.240 --> 00:01:40.640]  這個題目是值得我們去想的
[00:01:40.640 --> 00:01:43.400]  當然LA大火是非常慘重的
[00:01:43.400 --> 00:01:44.200]  非常慘重
[00:01:44.200 --> 00:01:46.160]  求主要去連運當地的人
[00:01:46.160 --> 00:01:48.200]  我們先不要落井下石
[00:01:48.200 --> 00:01:50.600]  更加不應該落井下石
[00:01:50.600 --> 00:01:52.680]  就是想一想
[00:01:52.920 --> 00:01:56.800]  到底環境和氣候的變化
[00:01:56.800 --> 00:01:59.120]  有沒有一些大的因素在裡面
[00:01:59.120 --> 00:02:00.240]  我們需要去想一想
[00:02:00.240 --> 00:02:01.560]  以及回到聖經裡面
[00:02:01.560 --> 00:02:03.080]  怎麼說這個世界
[00:02:03.080 --> 00:02:04.720]  是不是這個世界就這樣丟掉了它
[00:02:04.720 --> 00:02:05.680]  就罷了
[00:02:05.680 --> 00:02:07.680]  聖經告訴我們
[00:02:07.680 --> 00:02:09.480]  新天新地會更新
[00:02:09.480 --> 00:02:10.440]  是什麼意思
[00:02:10.440 --> 00:02:11.560]  是不是丟掉了這件事
[00:02:11.560 --> 00:02:12.760]  然後我們買一個新的
[00:02:12.760 --> 00:02:15.000]  這個是值得我們去反省的
[00:02:15.000 --> 00:02:17.560]  也是反省到我們
[00:02:17.560 --> 00:02:18.600]  不說那麼多了
[00:02:18.600 --> 00:02:20.320]  這個下個星期
[00:02:21.240 --> 00:02:23.760]  Anyway 先說回十屆
[00:02:23.760 --> 00:02:24.920]  有始有終
[00:02:24.920 --> 00:02:27.040]  我們先出這張slide
[00:02:27.040 --> 00:02:28.720]  這張就是十大精選
[00:02:28.720 --> 00:02:29.600]  是這個月的
[00:02:29.600 --> 00:02:32.040]  希望這個月跟你一起度過
[00:02:32.040 --> 00:02:33.000]  順帶一提
[00:02:33.000 --> 00:02:34.200]  這裡所選的港獨
[00:02:34.200 --> 00:02:35.920]  不只是小大局的港獨
[00:02:35.920 --> 00:02:37.360]  有很多長長短短
[00:02:37.360 --> 00:02:39.320]  不同的港元分享
[00:02:39.320 --> 00:02:41.720]  希望這些十大的精選
[00:02:41.720 --> 00:02:43.840]  可以幫助大家
[00:02:43.840 --> 00:02:45.040]  你煲劇可以
[00:02:45.040 --> 00:02:46.320]  是可以煲劇的
[00:02:46.320 --> 00:02:48.720]  不過也煲這個好嗎
[00:02:48.720 --> 00:02:49.560]  OK
[00:02:49.560 --> 00:02:51.920]  所以希望這個月我們能夠
[00:02:51.920 --> 00:02:54.240]  在主計華語裡面重新開始
[00:02:54.240 --> 00:02:57.760]  這個也是我們十屆的系列
[00:02:57.760 --> 00:02:59.120]  我們希望能夠做到的
[00:02:59.120 --> 00:03:02.200]  我們上個星期說了頭三屆
[00:03:02.200 --> 00:03:05.160]  這次我們總結說到四和十屆
[00:03:05.160 --> 00:03:07.640]  這個文件正如我所說
[00:03:07.640 --> 00:03:11.080]  在特別西方的文明裡面
[00:03:11.080 --> 00:03:12.680]  是非常著名的
[00:03:12.680 --> 00:03:16.000]  我們大家要知道十屆是什麼
[00:03:16.000 --> 00:03:17.600]  以至我們才能夠明白
[00:03:17.600 --> 00:03:19.280]  所謂基督教
[00:03:19.280 --> 00:03:21.120]  猶太教和基督教的傳統
[00:03:21.120 --> 00:03:23.480]  對西方的社會
[00:03:23.480 --> 00:03:24.720]  對西方的文明
[00:03:24.720 --> 00:03:25.880]  對我們的思想
[00:03:25.880 --> 00:03:28.840]  其實有什麼影響
[00:03:28.840 --> 00:03:30.440]  就是這個文件
[00:03:30.440 --> 00:03:33.280]  所以我們值得去看一看整個文件
[00:03:33.280 --> 00:03:35.520]  這次我們不如從頭讀到尾
[00:03:35.520 --> 00:03:36.720]  十七節
[00:03:36.720 --> 00:03:38.440]  二十章一至十七節
