
[00:00:00.000 --> 00:00:02.360]  歡迎各位回來
[00:00:02.360 --> 00:00:07.200]  我們繼續我們的系列是講到跨越的
[00:00:07.200 --> 00:00:11.400]  我們一直在找一些《士徒行傳》裏面的故事
[00:00:11.400 --> 00:00:13.760]  如果你第一次接觸聖經的話
[00:00:13.760 --> 00:00:15.760]  《士徒行傳》是一本怎樣的書呢?
[00:00:15.760 --> 00:00:19.840]  聖經是有舊約也有新約的
[00:00:19.840 --> 00:00:22.000]  舊約就是耶穌基督來之前
[00:00:22.000 --> 00:00:27.080]  預言耶穌基督會來到的那一批的書
[00:00:27.080 --> 00:00:29.920]  然後新約就是耶穌基督來了之後
[00:00:29.920 --> 00:00:31.960]  就是祂做了些什麼
[00:00:31.960 --> 00:00:35.960]  在新約裏面第五本書就是《士徒行傳》
[00:00:35.960 --> 00:00:37.120]  包括《X》
[00:00:37.120 --> 00:00:44.360]  我們找一些故事去講一些當時初期教會發生了什麼事
[00:00:44.360 --> 00:00:46.240]  你知道耶穌基督死而復活
[00:00:46.240 --> 00:00:47.440]  升天之後
[00:00:47.440 --> 00:00:50.440]  他的初代教會在耶路撒冷開始
[00:00:50.440 --> 00:00:52.760]  來到不同的地方傳福音
[00:00:52.760 --> 00:00:56.400]  所以《士徒行傳》是講到初代教會有些什麼經歷
[00:00:56.400 --> 00:01:00.160]  還有聖靈在他們中間做了什麼工作
[00:01:00.160 --> 00:01:04.120]  所以我們一直在看《士徒行傳》
[00:01:04.120 --> 00:01:09.160]  我們說過上一次我們講到第十三章的時候
[00:01:09.160 --> 00:01:12.480]  就是講到保羅宣教的旅程
[00:01:12.480 --> 00:01:15.840]  宣教旅程還沒開始之前發生了什麼事
[00:01:15.840 --> 00:01:17.120]  你記得嗎?
[00:01:17.120 --> 00:01:21.120]  安特拉教會有兩個最好的傳道人
[00:01:21.120 --> 00:01:22.040]  被差派出去
[00:01:22.040 --> 00:01:23.480]  巴勒巴和保羅
[00:01:23.480 --> 00:01:27.120]  他們按照地圖上的路線
[00:01:27.120 --> 00:01:29.000]  從安提拉看到嗎?
[00:01:29.000 --> 00:01:29.960]  看到吧
[00:01:29.960 --> 00:01:31.320]  在右邊
[00:01:31.320 --> 00:01:33.680]  安提拉看到嗎?
[00:01:33.680 --> 00:01:35.720]  可以嗎?
[00:01:35.720 --> 00:01:37.320]  好像還沒睡醒
[00:01:37.320 --> 00:01:40.720]  他們坐船過了今天的塞浦路斯
[00:01:40.720 --> 00:01:44.800]  就是塞浦路斯或者居比路這個地方
[00:01:44.800 --> 00:01:46.560]  在那裏傳了福音之後
[00:01:46.560 --> 00:01:48.000]  他們在島上
[00:01:48.000 --> 00:01:52.240]  然後去到下面有一個地方叫帕弗
[00:01:52.240 --> 00:01:53.520]  看到嗎?
