
[00:00:00.000 --> 00:00:01.340]  又來到《聖經考古》的時間了
[00:00:01.340 --> 00:00:03.200]  接下來這幾集想跟大家分享一下
[00:00:03.200 --> 00:00:04.700]  在埃及的幾宗新聞
[00:00:04.700 --> 00:00:06.440]  這幾宗新聞跟《聖經考古》
[00:00:06.440 --> 00:00:08.440]  《聖經的背景世界》有些關係的
[00:00:08.440 --> 00:00:11.100]  第一宗新聞想跟大家分享的就是
[00:00:11.100 --> 00:00:14.340]  在2021年3月底的時候發生的
[00:00:14.340 --> 00:00:17.740]  話說有一艘大貨輪從紅海
[00:00:17.740 --> 00:00:19.800]  一直往北走到航行的時候
[00:00:19.800 --> 00:00:21.840]  進入了蘇伊士灣
[00:00:21.840 --> 00:00:26.840]  進入了蘇伊士運河
[00:00:26.840 --> 00:00:29.840]  據報導進入了運河的時候
[00:00:29.840 --> 00:00:32.640]  就遇上有沙漠的強風吹襲
[00:00:32.640 --> 00:00:35.800]  導致貨船打側
[00:00:35.800 --> 00:00:40.200]  擱淺了在蘇伊士灣南面的地方
[00:00:40.200 --> 00:00:43.740]  嚴重阻塞了世界海洋貿易的交通
[00:00:43.740 --> 00:00:46.600]  你知道這條運河多麼重要的時候
[00:00:46.600 --> 00:00:49.600]  你就知道什麼叫做阻礙地球轉了
[00:00:49.600 --> 00:00:53.240]  幸好擱淺了六天之後
[00:00:53.240 --> 00:00:54.700]  終於解困了
[00:00:54.700 --> 00:00:56.500]  多謝搶救的工人
[00:00:56.500 --> 00:00:59.960]  還有剛剛春天潮漲的水位比較高一點
[00:00:59.960 --> 00:01:03.860]  幫這艘大的貨輪能夠解困
[00:01:03.860 --> 00:01:07.260]  不會阻礙著整個世界的海洋貿易
[00:01:07.260 --> 00:01:12.360]  你問問這個蘇伊士運河
[00:01:12.360 --> 00:01:14.560]  跟考古《聖經的背景世界》有什麼關係呢?
[00:01:14.560 --> 00:01:15.760]  也有關係的
[00:01:15.760 --> 00:01:18.260]  先講一下這個蘇伊士運河
[00:01:18.260 --> 00:01:22.760]  其實是十九世紀中的時候才興建和啟用的
[00:01:22.760 --> 00:01:25.060]  全長是160公里
[00:01:25.360 --> 00:01:29.660]  是世界上最長沒有水閘的運河
[00:01:29.660 --> 00:01:33.760]  這條運河是博通上面北面地中海
[00:01:33.760 --> 00:01:36.760]  以及下面蘇伊士灣紅海的水域
[00:01:36.760 --> 00:01:39.760]  其實是歐洲和亞洲之間
[00:01:39.760 --> 00:01:42.860]  最重要的水運河
[00:01:42.860 --> 00:01:45.360]  沒有了蘇伊士運河的時候
[00:01:45.360 --> 00:01:46.360]  你就知道了
[00:01:46.360 --> 00:01:52.160]  這些貨船要繞過非洲的南面
[00:01:52.160 --> 00:01:54.360]  所以時間
[00:01:54.360 --> 00:01:58.460]  需要用的燃油等等都是大大的增加
[00:01:58.460 --> 00:02:00.960]  因為有蘇伊士運河的緣故
[00:02:00.960 --> 00:02:03.360]  這些時間都會大大的縮短
[00:02:03.360 --> 00:02:05.960]  第一點就是想講的
[00:02:05.960 --> 00:02:08.160]  就是蘇伊士運河
[00:02:08.160 --> 00:02:10.060]  還沒有興建之前
[00:02:10.060 --> 00:02:14.560]  其實歷世歷代都有人嘗試去挖一條運河
[00:02:14.560 --> 00:02:18.760]  去連接下面的紅海水域
[00:02:18.760 --> 00:02:24.060]  以及上面尼羅河三角洲地中海水域
[00:02:24.260 --> 00:02:26.760]  所以19世紀所興建
[00:02:26.760 --> 00:02:29.860]  所啟用的蘇伊士運河
[00:02:29.860 --> 00:02:32.260]  其實不是第一次有人想到的
[00:02:32.260 --> 00:02:34.260]  以往自古以來
[00:02:34.260 --> 00:02:37.460]  都有人想博通這兩個水域
[00:02:37.460 --> 00:02:41.860]  最早可以追溯至公元前18世紀
[00:02:41.860 --> 00:02:45.260]  當時古埃及是中王國的時候
[00:02:45.260 --> 00:02:46.760]  是Middle Kingdom
[00:02:46.760 --> 00:02:49.960]  有一位法老叫做St. Nusret
[00:02:50.060 --> 00:02:56.760]  他嘗試用一個尼羅河支流
[00:02:56.760 --> 00:02:58.560]  將它挖通
