
[00:00:00.000 --> 00:00:00.840]   - Right.
[00:00:00.840 --> 00:00:05.540]   Well, this is a time of craziness.
[00:00:05.540 --> 00:00:06.960]   It's a time of chaos.
[00:00:06.960 --> 00:00:11.560]   We still in the midst of a pandemic,
[00:00:11.560 --> 00:00:14.400]   two years long, right?
[00:00:14.400 --> 00:00:18.180]   Probably something at the end of a tunnel.
[00:00:18.180 --> 00:00:19.620]   I don't know yet, right?
[00:00:19.620 --> 00:00:20.820]   We don't know yet.
[00:00:20.820 --> 00:00:23.420]   So we just put on masks for now, right?
[00:00:23.420 --> 00:00:25.540]   Except those who are singing or speaking,
[00:00:25.540 --> 00:00:27.700]   just for the sake of clarity.
[00:00:27.700 --> 00:00:31.780]   So you look around, there's so much uncertainty.
[00:00:31.780 --> 00:00:33.980]   And last week, the horrible news
[00:00:33.980 --> 00:00:38.260]   of Russians invading Ukraine, that is horrible.
[00:00:38.260 --> 00:00:42.460]   You read all the stories and all the news reports.
[00:00:42.460 --> 00:00:43.860]   It's just time of chaos.
[00:00:43.860 --> 00:00:47.160]   Sometimes in times of crisis,
[00:00:47.160 --> 00:00:50.860]   we will think of what the Bible says.
[00:00:50.860 --> 00:00:53.940]   We try to find answers from the word of God.
[00:00:53.940 --> 00:00:57.380]   And sometimes we think of words from the Bible
[00:00:57.380 --> 00:01:00.060]   saying in the end times,
[00:01:00.060 --> 00:01:03.180]   there will be war and conflicts on the earth.
[00:01:03.180 --> 00:01:06.900]   Or sometimes we think of the book of Revelation, right?
[00:01:06.900 --> 00:01:09.060]   I'm sure you have read this book.
[00:01:09.060 --> 00:01:12.260]   It's very easy to find as the last book of the Bible,
[00:01:12.260 --> 00:01:15.020]   the last book in the New Testament.
[00:01:15.020 --> 00:01:16.820]   But it's a very strange book.
[00:01:16.820 --> 00:01:20.120]   It's a very difficult book to tackle.
[00:01:20.120 --> 00:01:24.620]   So today, we would like to start a kind of a mini series.
[00:01:24.620 --> 00:01:25.600]   We'll see how it goes.
[00:01:25.600 --> 00:01:30.020]   And we will take some passages from the book of Revelation
[00:01:30.020 --> 00:01:33.780]   and learn how to read it, learn how to understand it.
[00:01:33.780 --> 00:01:35.300]   Especially we know the Bible,
[00:01:35.300 --> 00:01:37.980]   even though it's not directly written to us,
[00:01:37.980 --> 00:01:40.160]   but it's definitely written for us.
[00:01:40.160 --> 00:01:41.540]   So how do we read that?
[00:01:41.540 --> 00:01:44.460]   I chose this book, book of Revelation,
[00:01:44.460 --> 00:01:47.660]   because at times of crisis,
[00:01:47.660 --> 00:01:49.740]   sometimes we go to this book and say,
[00:01:49.740 --> 00:01:52.740]   you see, this is what the Bible predicted.
[00:01:52.740 --> 00:01:56.280]   And this is what the book of Revelation is all about, right?
[00:01:56.280 --> 00:01:58.300]   We look at the conflicts, happened last week,
[00:01:58.300 --> 00:02:00.120]   and we look at all these tensions,
[00:02:00.120 --> 00:02:03.100]   international tensions or pandemic,
[00:02:03.100 --> 00:02:07.740]   or just unrest, just look around.
[00:02:07.740 --> 00:02:09.460]   And we go back to the Bible and say,
[00:02:09.460 --> 00:02:10.860]   hey, this is what the book says, right?
[00:02:10.860 --> 00:02:13.140]   This is what the book predicted.
[00:02:13.140 --> 00:02:15.540]   So how true is that, right?
[00:02:15.540 --> 00:02:20.540]   So I want you to think with me how to understand this book,
[00:02:20.540 --> 00:02:23.260]   how to understand the book of Revelation.
[00:02:23.260 --> 00:02:24.540]   If you remember last week,
[00:02:24.540 --> 00:02:26.880]   I told you to do something, right?
[00:02:26.880 --> 00:02:29.460]   Every day, turn to the Bible,
[00:02:29.460 --> 00:02:31.640]   10 to 15 minutes in prayer, right?
[00:02:31.640 --> 00:02:32.940]   Reading the word of God, you know,
[00:02:32.940 --> 00:02:34.060]   absorbing the word of God.
[00:02:34.060 --> 00:02:35.060]   Did you do that?
[00:02:35.060 --> 00:02:38.020]   All right, I'll make sure you do it, okay?
[00:02:38.020 --> 00:02:38.980]   Make sure you do it.
[00:02:38.980 --> 00:02:40.820]   But sometimes there are passages in the Bible,
[00:02:40.820 --> 00:02:41.940]   some portions in the Bible,
[00:02:41.940 --> 00:02:45.980]   it's very difficult to do devotion those out of, right?
[00:02:45.980 --> 00:02:47.900]   Including the book of Revelation.
[00:02:47.900 --> 00:02:51.660]   So we wanna turn to this book, book of Revelation.
[00:02:51.660 --> 00:02:55.580]   If you have your Bible in your phone app, turn to it now.
[00:02:55.580 --> 00:03:00.580]   In your languages, there will also be passages
[00:03:00.580 --> 00:03:02.420]   we project on the screen.
[00:03:02.420 --> 00:03:04.840]   We'll start with chapter one.
[00:03:04.840 --> 00:03:07.620]   The revelation of Jesus Christ,
[00:03:07.620 --> 00:03:10.380]   which God gave him to show his servants
[00:03:10.380 --> 00:03:12.820]   what must soon take place.
[00:03:12.820 --> 00:03:15.220]   He made known by sending his angel to servant John,
