
[00:00:00.000 --> 00:00:01.160]   Good morning, everyone.
[00:00:01.160 --> 00:00:04.320]   I know today is a very cold and windy day, right?
[00:00:04.320 --> 00:00:07.080]   [NON-ENGLISH SPEECH]
[00:00:07.080 --> 00:00:08.840]   Why don't we welcome our neighbors,
[00:00:08.840 --> 00:00:11.160]   give them a warm handshake, find two friends, OK?
[00:00:11.160 --> 00:00:13.880]   Go around the room and find at least two friends
[00:00:13.880 --> 00:00:15.800]   and give them a warm handshake.
[00:00:15.800 --> 00:00:16.300]   All right?
[00:00:16.300 --> 00:00:17.760]   [NON-ENGLISH SPEECH]
[00:00:17.760 --> 00:00:18.880]   Let's do it now.
[00:00:18.880 --> 00:00:20.360]   [NON-ENGLISH SPEECH]
[00:00:20.360 --> 00:00:21.720]   [NON-ENGLISH SPEECH]
[00:00:21.720 --> 00:00:23.720]   [NON-ENGLISH SPEECH]
[00:00:24.720 --> 00:00:26.720]   [NON-ENGLISH SPEECH]
[00:00:26.720 --> 00:00:28.720]   [NON-ENGLISH SPEECH]
[00:00:28.720 --> 00:00:30.200]   [NON-ENGLISH SPEECH]
[00:00:30.200 --> 00:00:31.680]   [NON-ENGLISH SPEECH]
[00:00:31.680 --> 00:00:33.160]   [NON-ENGLISH SPEECH]
[00:00:33.160 --> 00:01:00.120]   [NON-ENGLISH SPEECH]
[00:01:00.120 --> 00:01:02.600]   OK, I hate to stop here, but I know
[00:01:02.600 --> 00:01:04.160]   we have so much to talk about, which
[00:01:04.160 --> 00:01:06.560]   is a good thing because we are a whole family together,
[00:01:06.560 --> 00:01:09.000]   a whole community worshiping God.
[00:01:09.000 --> 00:01:10.400]   [NON-ENGLISH SPEECH]
[00:01:10.400 --> 00:01:25.280]   OK, that's good.
[00:01:25.280 --> 00:01:27.320]   Well, today, we're going to continue
[00:01:27.320 --> 00:01:29.200]   with our meditation and reflection
[00:01:29.200 --> 00:01:31.240]   on some of the psalms in the Bible.
[00:01:31.240 --> 00:01:35.000]   [NON-ENGLISH SPEECH]
[00:01:35.000 --> 00:01:38.920]   We will turn to Psalm 73.
[00:01:38.920 --> 00:01:41.640]   [NON-ENGLISH SPEECH]
[00:01:41.640 --> 00:01:44.760]   Let me read the psalm, and I'm sure the psalm will speak
[00:01:44.760 --> 00:01:47.440]   to all of us, every one of us.
[00:01:47.440 --> 00:01:49.480]   [NON-ENGLISH SPEECH]
[00:01:49.480 --> 00:01:54.400]   All right, verse 1 to 3.
[00:01:54.400 --> 00:01:59.440]   "Truly, God is good to Israel, to those who are pure in heart.
[00:01:59.440 --> 00:02:05.040]   But as for me, my feet had almost slipped.
[00:02:05.040 --> 00:02:08.720]   I nearly stumbled and fell, for I
[00:02:08.720 --> 00:02:14.560]   envied the arrogant when I saw this prosperity of the wicked."
[00:02:14.560 --> 00:02:15.840]   [NON-ENGLISH SPEECH]
[00:02:25.800 --> 00:02:30.360]   And then verse 4, "They have no pain until their death.
[00:02:30.360 --> 00:02:32.400]   Their bodies are healthy and strong.
[00:02:32.400 --> 00:02:36.120]   They are not plagued by the troubles coming to humanity.
[00:02:36.120 --> 00:02:38.320]   They are not stricken like other people.
[00:02:38.320 --> 00:02:40.480]   Therefore, pride is their necklace.
[00:02:40.480 --> 00:02:43.880]   Violence clothes them like a garment."
[00:02:43.880 --> 00:02:47.280]   And we skip to verse 12, "Look at these wicked people.
[00:02:47.280 --> 00:02:50.360]   They are always at ease.
[00:02:50.360 --> 00:02:54.200]   Their wealth keeps increasing."
[00:02:54.200 --> 00:02:56.040]   [NON-ENGLISH SPEECH]
[00:02:56.040 --> 00:03:14.960]   So when you read the psalms, it talks
[00:03:14.960 --> 00:03:19.480]   about the psalmist being envious against some of the wicked
[00:03:19.480 --> 00:03:21.600]   people that he saw.
[00:03:21.600 --> 00:03:22.840]   [NON-ENGLISH SPEECH]
[00:03:22.840 --> 00:03:34.960]   Have you felt this way recently?
[00:03:34.960 --> 00:03:36.840]   [NON-ENGLISH SPEECH]
[00:03:36.840 --> 00:03:39.800]   Think of some of the bad people in your life.
[00:03:39.800 --> 00:03:42.720]   [NON-ENGLISH SPEECH]
[00:03:42.720 --> 00:03:44.600]   Are there any people you can think of?
[00:03:44.600 --> 00:03:48.320]   They are bad people, but they prosper.
