
[00:00:00.000 --> 00:00:03.460]  今日夠約網上行,我們繼續看阿拉罕的故事
[00:00:03.460 --> 00:00:06.100]  我們看創世紀第十六至十七章
[00:00:06.100 --> 00:00:10.760]  曾經我提過阿拉罕這個故事可以用一個三文字的結構來了解
[00:00:10.760 --> 00:00:16.240]  所以我們今天看十六十七章正正在這個三文字結構的中間
[00:00:16.240 --> 00:00:17.740]  十六章第一節
[00:00:17.740 --> 00:00:21.980]  阿布蘭的妻子撒萊沒有為他生孩子
[00:00:21.980 --> 00:00:25.680]  撒萊卻有一個婢女,是埃及人名叫夏格
[00:00:25.680 --> 00:00:27.340]  撒萊對阿布蘭說
[00:00:27.340 --> 00:00:31.880]  請看,若我使我不能生育,求你親近我的婢女
[00:00:31.880 --> 00:00:35.560]  或許我可以從她得孩子
[00:00:35.560 --> 00:00:38.540]  阿布蘭就聽從撒萊的話
[00:00:38.540 --> 00:00:43.400]  阿布蘭的妻子撒萊是不能生孩子
[00:00:43.400 --> 00:00:49.980]  你記得在阿布蘭的故事開頭已經曾經提過這個事實
[00:00:49.980 --> 00:00:52.620]  十一章,撒萊是不育的
[00:00:52.620 --> 00:00:58.560]  當時的社會太太不育當然是一個奏助,一個羞恥
[00:00:58.560 --> 00:01:01.900]  因為在一個農耕的社會當然需要人手
[00:01:01.900 --> 00:01:04.560]  甚至在古代近東社會裡面
[00:01:04.560 --> 00:01:06.560]  一個父母希望有兒子
[00:01:06.560 --> 00:01:09.820]  是希望當他年老的時候
[00:01:09.820 --> 00:01:14.160]  能夠跟他傳宗接代,辦理身後事
[00:01:14.160 --> 00:01:20.060]  最主要是紀念和延續父家的名
[00:01:20.060 --> 00:01:25.540]  所以在近東社會裡面,一個妻子最主要的責任就是傳宗接代
[00:01:25.540 --> 00:01:28.000]  生孩子,生得越多越好
[00:01:28.000 --> 00:01:33.440]  有一點像我們古代傳統的華人文化
[00:01:33.440 --> 00:01:38.640]  當時的社會如何解決沒有後代的問題
[00:01:38.640 --> 00:01:44.240]  男人當然很簡單,很多時候直接去休妻離婚
[00:01:44.240 --> 00:01:47.900]  另外娶更多的女人
[00:01:47.900 --> 00:01:50.940]  這些都是當時的風俗習慣
[00:01:50.940 --> 00:01:54.700]  從我們看阿布拉罕的故事開始
[00:01:54.700 --> 00:01:59.340]  我們已經知道阿布拉罕的家族是一個不小的家族
[00:01:59.340 --> 00:02:02.840]  人手和財力都是非常豐富的
[00:02:02.840 --> 00:02:09.140]  所以他也可以按照當時的風俗去做
[00:02:09.140 --> 00:02:11.540]  男人說完了,女人又如何呢?
[00:02:11.540 --> 00:02:14.240]  女人按照當時的風俗
[00:02:14.240 --> 00:02:19.100]  一個很普遍的做法就是為丈夫找一個妾侍
[00:02:19.100 --> 00:02:25.100]  而這個妾侍所生的孩子就會歸給這個證實
[00:02:25.100 --> 00:02:29.200]  法律上他就成為這個家族的繼承人
[00:02:29.200 --> 00:02:33.600]  在今天的伊拉克有一個城鎮叫做Kirk
[00:02:33.600 --> 00:02:36.500]  在西南面大概十三公里左右
[00:02:36.500 --> 00:02:40.300]  在Tigris River的上游,底格拉斯河的上游
[00:02:40.300 --> 00:02:44.700]  有一個古城叫做Nuzi,老支
[00:02:44.700 --> 00:02:49.020]  在1920年代曾經發掘過有七千多塊的
[00:02:49.020 --> 00:02:51.260]  蝕形文字的泥板
[00:02:51.260 --> 00:02:56.020]  這些泥板屬於的時代大概是公元前1500年左右
[00:02:56.020 --> 00:02:58.220]  這個就是族長時期
[00:02:58.220 --> 00:03:01.820]  阿布拉罕以撒瓦國這段時間
[00:03:01.820 --> 00:03:04.460]  這些泥板有很多種類
[00:03:04.460 --> 00:03:07.820]  有些法律的條文,或者商務的記錄
[00:03:07.820 --> 00:03:11.620]  讓我可以在視窗看到當時的風俗習
[00:03:11.620 --> 00:03:14.820]  其中一塊泥板講到什麼呢?
[00:03:14.820 --> 00:03:18.620]  他說到一個妻子叫做Kinimnu
[00:03:18.620 --> 00:03:24.420]  她生了孩子的話,這個夫君Shinimma就不可以另娶妻子
[00:03:24.420 --> 00:03:25.820]  因為她生不了孩子
[00:03:25.820 --> 00:03:28.620]  但如果她生不了孩子的話
[00:03:28.620 --> 00:03:34.620]  這個妻子就要為夫君找一個僕婢作她的妾
[00:03:34.620 --> 00:03:39.020]  而這個僕婢的後代是不可以送走的
[00:03:39.020 --> 00:03:41.020]  因為是歸她名下
[00:03:41.020 --> 00:03:46.620]  所以任何妻子為了夫君所生的孩子
[00:03:46.620 --> 00:03:51.020]  甚至是為了代人母的妾事所生的
[00:03:51.020 --> 00:03:55.420]  都可以承受土地、房屋、產業等等
[00:03:55.420 --> 00:03:58.020]  另外一個例子就是舊亞述帝國
[00:03:58.020 --> 00:04:03.220]  大概公元前1800年,更加近阿布拉罕這個時間
[00:04:03.220 --> 00:04:05.220]  泥板記錄了什麼呢?
[00:04:05.220 --> 00:04:08.420]  就是一個丈夫娶了一個妻子
[00:04:08.420 --> 00:04:13.620]  假如兩年之內這個妻子未能為他生子
[00:04:13.620 --> 00:04:18.020]  他可以買一個僕婢為他生子
[00:04:18.020 --> 00:04:26.420]  這些內容跟創世紀族長的家庭故事、不育的故事非常相近
[00:04:26.420 --> 00:04:30.020]  所以在這個時候薩奈
[00:04:30.020 --> 00:04:35.020]  或者只不過是動用他當時婚約的條款
[00:04:35.020 --> 00:04:40.220]  一些風俗習慣來解決母後代的問題
[00:04:40.220 --> 00:04:43.020]  我們聽聽薩奈的話說什麼
[00:04:43.020 --> 00:04:44.420]  十六章第二節
[00:04:44.420 --> 00:04:46.620]  薩奈對她丈夫阿布蘭說
[00:04:46.620 --> 00:04:50.620]  請看,耶和華使我不能生育
[00:04:50.620 --> 00:04:57.820]  求你親近我的婢女,或者我要從她得孩子
[00:04:57.820 --> 00:05:00.820]  但在薩奈的心目中,誰錯了?
[00:05:00.820 --> 00:05:05.020]  他認為是耶和華,使他不能生育
[00:05:05.020 --> 00:05:08.220]  之前是阿布蘭的信心受考驗
[00:05:08.220 --> 00:05:14.220]  到這一章十六章,就是薩奈的信心受到考驗
[00:05:14.220 --> 00:05:19.620]  可能年老的薩奈以為上帝允許他能夠生子
[00:05:19.620 --> 00:05:22.420]  到這個時候已經等不及了
[00:05:22.420 --> 00:05:27.220]  他可能以為很快,但這個時候有一點心急
[00:05:27.220 --> 00:05:31.420]  十六章第三節,這個故事繼續發展下去
[00:05:31.420 --> 00:05:35.220]  阿布蘭在迦南地悶了十年
[00:05:35.220 --> 00:05:39.220]  他的妻子薩奈把自己的婢女埃及人夏甲
[00:05:39.220 --> 00:05:42.220]  給了她的丈夫阿布蘭為妾
[00:05:42.220 --> 00:05:45.420]  這個夏甲可能是之前十二章
[00:05:45.420 --> 00:05:48.020]  基方走難到埃及的時候
[00:05:48.020 --> 00:05:50.420]  上帝由恩典救他們出來
[00:05:50.420 --> 00:05:52.620]  出了埃及之後,帶著很多財產
[00:05:52.620 --> 00:05:54.620]  也有很多的僕人、僕婢
[00:05:54.620 --> 00:05:56.820]  這個夏甲可能是其中一個
[00:05:56.820 --> 00:06:00.620]  第四節,阿布蘭與夏甲親近
[00:06:00.620 --> 00:06:02.420]  夏甲就是懷了人
[00:06:02.420 --> 00:06:06.220]  夏甲見自己有了新人,就興翰他的主母
[00:06:06.220 --> 00:06:08.020]  薩奈對阿布蘭投訴
[00:06:08.020 --> 00:06:12.420]  他說我因你受屈,把我的婢女送到你懷中
[00:06:12.420 --> 00:06:16.220]  他見到自己有新人,就興翰我
[00:06:16.220 --> 00:06:19.220]  冤孽在你我中間主持公道
[00:06:19.220 --> 00:06:21.820]  阿布蘭就跟他說,這個婢女在你手下
[00:06:21.820 --> 00:06:24.020]  你想怎樣待她就怎樣待她
[00:06:24.020 --> 00:06:26.220]  於是就有家暴出現
[00:06:26.220 --> 00:06:31.420]  這位夏甲婢女很不幸地逃走
[00:06:31.420 --> 00:06:33.020]  我們剛才看的例版
[00:06:33.020 --> 00:06:38.220]  就是當時處理這些問題的法律條文
