
[00:00:00.000 --> 00:00:04.600]  弟兄姊妹平安!我們還在農曆新年裏面
[00:00:04.600 --> 00:00:08.400]  所以先祝大家出入平安、身體健康
[00:00:08.400 --> 00:00:15.960]  知道參與崇拜的不單止是芝加哥的弟兄姊妹
[00:00:15.960 --> 00:00:20.120]  也有來自世界各地的弟兄姊妹
[00:00:20.120 --> 00:00:26.200]  我相信為何能夠一起崇拜呢?
[00:00:26.200 --> 00:00:31.280]  是因為這個疫情帶來的正面影響
[00:00:31.280 --> 00:00:36.760]  說起疫情 其實我們全世界都被它影響
[00:00:36.760 --> 00:00:40.800]  不知道你在當中有什麼感受呢?
[00:00:40.800 --> 00:00:47.000]  會不會害怕?會不會恐懼?會不會覺得很煩?
[00:00:47.000 --> 00:00:53.600]  會不會很憂愁?或者甚至有些憤怒在當中?
[00:00:53.600 --> 00:00:59.080]  我最近看過一篇文章來自紐約時報
[00:00:59.080 --> 00:01:01.600]  我覺得很有意思
[00:01:01.600 --> 00:01:09.040]  因為當中有一個組織心理學家叫做Adam Grant
[00:01:09.040 --> 00:01:10.440]  他指出一樣東西
[00:01:10.440 --> 00:01:15.520]  剛才所說的一些感受都是2020年
[00:01:15.520 --> 00:01:20.120]  全世界集體的一種感受
[00:01:20.120 --> 00:01:25.040]  但到了2021年就換來另一種感受
[00:01:25.040 --> 00:01:28.400]  這個感受叫做Language
[00:01:28.400 --> 00:01:32.400]  中文譯為「韋美」
[00:01:32.400 --> 00:01:35.240]  看完中文的不明白他在說什麼
[00:01:35.240 --> 00:01:38.800]  意思是什麼呢?就是覺得很無趣
[00:01:38.800 --> 00:01:41.640]  很沒人 做什麼都沒什麼人
[00:01:41.640 --> 00:01:46.920]  萬無目的 無所事事 在當中
[00:01:46.920 --> 00:01:53.440]  Adam Grant 觀察到整個疫情都一段時間
[00:01:53.440 --> 00:01:59.840]  有很多人都發現其實都已經在改善疫情的狀況
[00:01:59.840 --> 00:02:04.320]  但亦都很多人在一個這樣的時間
[00:02:04.320 --> 00:02:07.920]  他經常都在家裡想著看劇集
[00:02:07.920 --> 00:02:12.000]  看完《魷魚遊戲》就看《Don't Look Up》
[00:02:12.000 --> 00:02:17.720]  或者一直在看舊劇集《Friends》
[00:02:17.720 --> 00:02:21.640]  什麼都混在一起
[00:02:21.640 --> 00:02:26.920]  有些人又會選擇整天睡覺
[00:02:26.920 --> 00:02:30.440]  一天十幾個小時在床上
[00:02:30.440 --> 00:02:34.160]  要去洗手間都不會去
[00:02:34.160 --> 00:02:36.160]  廁所都不會起床
[00:02:37.880 --> 00:02:42.200]  作者說這些不是一個燃燒的現象
[00:02:42.200 --> 00:02:45.400]  因為燃燒我們會很沒精神
[00:02:45.400 --> 00:02:48.520]  但在當中我們還有精神去做事
[00:02:48.520 --> 00:02:54.440]  亦都不是一些抑鬱的狀態
[00:02:54.440 --> 00:02:59.640]  因為我們還沒有去到很絕望的感受
[00:02:59.640 --> 00:03:02.440]  但總是有一種無人
[00:03:02.440 --> 00:03:07.080]  萬無目的 無所事事 在當中
[00:03:07.080 --> 00:03:09.520]  不知道大家有沒有這種感受呢?
[00:03:09.520 --> 00:03:12.440]  其實我很坦白 我有的
[00:03:12.440 --> 00:03:16.400]  所以我都會嘗試去問一下
[00:03:16.400 --> 00:03:18.880]  如何去解決
[00:03:18.880 --> 00:03:23.200]  我解決問題通常會去看聖經
[00:03:23.200 --> 00:03:25.320]  找一些出路
[00:03:25.320 --> 00:03:30.080]  在當中我見到一群無所事事的人
[00:03:30.080 --> 00:03:36.000]  就是在《約翰福音》二十一章一至十四節
[00:03:36.000 --> 00:03:38.360]  在第一節裏面你會見到
