
[00:00:00.000 --> 00:00:01.840]   - Good morning everyone.
[00:00:01.840 --> 00:00:06.200]   Yeah, thank you Veronica for the clear announcement
[00:00:06.200 --> 00:00:07.380]   with different languages.
[00:00:07.380 --> 00:00:09.580]   Just like the song that we have just sang,
[00:00:09.580 --> 00:00:13.340]   from every tribe and every nation, right?
[00:00:13.340 --> 00:00:15.380]   You know, that is Christ's mind.
[00:00:15.380 --> 00:00:19.260]   You know, Christ is going to redeem every people
[00:00:19.260 --> 00:00:22.620]   and every tribe and every language to worship him, right?
[00:00:22.620 --> 00:00:25.260]   He is the Lord of all of us, okay?
[00:00:25.260 --> 00:00:27.740]   So very good to see you, okay?
[00:00:27.740 --> 00:00:29.580]   Very good to see you.
[00:00:29.580 --> 00:00:33.500]   (speaking in foreign language)
[00:00:33.500 --> 00:00:35.220]   Salaam, brother.
[00:00:35.220 --> 00:00:36.220]   Yeah, all right.
[00:00:36.220 --> 00:00:38.380]   So I'm speaking three different languages.
[00:00:38.380 --> 00:00:39.620]   Yeah, that's all I can do.
[00:00:39.620 --> 00:00:41.020]   (laughing)
[00:00:41.020 --> 00:00:44.180]   Yeah, but that is the way to worship God
[00:00:44.180 --> 00:00:46.840]   because we use different languages,
[00:00:46.840 --> 00:00:51.840]   we use different dialects to express our praises to God,
[00:00:51.840 --> 00:00:53.540]   right?
[00:00:53.540 --> 00:00:56.060]   And our God is worthy of our praise.
[00:00:56.060 --> 00:00:59.260]   And we continue our series on back to basics.
[00:00:59.260 --> 00:01:01.340]   And there are basics in our Christian life,
[00:01:01.340 --> 00:01:04.820]   basics in our Christian walk, and we have to master.
[00:01:04.820 --> 00:01:06.620]   We have to understand, right?
[00:01:06.620 --> 00:01:11.260]   So often we don't find it enjoyable in our Christian walk
[00:01:11.260 --> 00:01:13.660]   or in our Christian journey, we have troubles
[00:01:13.660 --> 00:01:16.620]   because we have forgotten the basics.
[00:01:16.620 --> 00:01:20.560]   And these are basics that we need to focus on.
[00:01:20.560 --> 00:01:23.100]   And that's why in this series,
[00:01:23.100 --> 00:01:25.900]   we're going to go back to some of the basic understanding,
[00:01:25.900 --> 00:01:29.700]   basic knowledge, basic teaching of the Bible.
[00:01:29.700 --> 00:01:33.500]   And I've introduced something new to the congregation.
[00:01:33.500 --> 00:01:35.860]   It is the verse of the week, right?
[00:01:35.860 --> 00:01:38.220]   Remember this verse last week?
[00:01:38.220 --> 00:01:39.420]   Remember this?
[00:01:39.420 --> 00:01:40.260]   Verse of the week.
[00:01:40.260 --> 00:01:42.260]   And let's recite together, all right?
[00:01:42.260 --> 00:01:45.900]   I, that's part of your homework is to memorize it, right?
[00:01:45.900 --> 00:01:47.020]   Have you?
[00:01:47.020 --> 00:01:48.820]   I'm sure you have.
[00:01:48.820 --> 00:01:50.540]   Verse of the week, let's recite it.
[00:01:50.540 --> 00:01:53.720]   You must love the Lord your God with all your heart,
[00:01:53.720 --> 00:01:56.300]   all your soul, and all your mind.
[00:01:56.300 --> 00:01:59.780]   And this is the first and greatest commandment, right?
[00:01:59.780 --> 00:02:01.460]   That's what Jesus said to us.
[00:02:01.460 --> 00:02:04.140]   This is the first and greatest commandment
[00:02:04.140 --> 00:02:07.180]   of all the commandments in the Old Testament, in the Bible.
[00:02:07.180 --> 00:02:10.740]   There are many details, there are many different
[00:02:10.740 --> 00:02:14.980]   commandments and statues you can find in the Bible.
[00:02:14.980 --> 00:02:16.800]   But this is the most important thing.
[00:02:16.800 --> 00:02:19.980]   This is the ultimate summary, right?
[00:02:19.980 --> 00:02:24.680]   The ultimate summary of what God desire us to do
[00:02:24.680 --> 00:02:27.400]   is to love Him, to be loyal to Him, to follow Him
[00:02:27.400 --> 00:02:30.600]   with all our heart and soul and our mind.
[00:02:30.600 --> 00:02:33.480]   And last week, we were talking about the importance
[00:02:33.480 --> 00:02:37.120]   of the Word of God in our Christian walk, right?
[00:02:37.120 --> 00:02:39.840]   Our Christian walk, we cannot do so
