
[00:00:00.000 --> 00:00:03.760]  都會來看我們做物理治療
[00:00:03.760 --> 00:00:07.560]  所以我們最重要最基本的基礎要先打好
[00:00:07.560 --> 00:00:10.400]  我們要有很核心的力量
[00:00:10.400 --> 00:00:14.640]  之後再訓練我們手腳的協調和平衡力
[00:00:14.640 --> 00:00:22.200]  下一個就是綜合功能訓練
[00:00:22.200 --> 00:00:24.360]  這個是Priometric exercise
[00:00:24.360 --> 00:00:28.400]  這個是配合身體不同的關節
[00:00:28.400 --> 00:00:31.440]  而去做這個訓練
[00:00:31.440 --> 00:00:35.480]  很多時候我們去做健身的時候
[00:00:35.480 --> 00:00:36.760]  我們見到有人舉重
[00:00:36.760 --> 00:00:38.680]  舉十下都很重
[00:00:38.680 --> 00:00:39.440]  ok
[00:00:39.440 --> 00:00:40.760]  他很厲害
[00:00:40.760 --> 00:00:45.480]  但很多時候如果我們平時去拿
[00:00:45.480 --> 00:00:47.000]  譬如我們在廚房拿東西
[00:00:47.000 --> 00:00:48.720]  我們不會這樣拿的
[00:00:48.720 --> 00:00:51.680]  我們去廚房要很自然
[00:00:51.680 --> 00:00:52.920]  要順手這樣拿
[00:00:52.920 --> 00:00:58.240]  所以這些運動綜合功能性
[00:00:58.240 --> 00:01:01.280]  是配合了我們身體不同的關節
[00:01:01.280 --> 00:01:03.440]  而去做那個動作
[00:01:03.440 --> 00:01:10.120]  是幫助到我們日常生活中很多不同的功能
[00:01:10.120 --> 00:01:10.800]  ok
[00:01:10.800 --> 00:01:11.600]  如果不是的話
[00:01:11.600 --> 00:01:14.320]  譬如他說我想做腳
[00:01:14.320 --> 00:01:15.040]  手有力一點
[00:01:15.040 --> 00:01:16.120]  你做十次這樣
[00:01:16.120 --> 00:01:18.040]  但你的肩膀原來是沒有力的
[00:01:18.040 --> 00:01:19.440]  你原來做十次
[00:01:19.440 --> 00:01:20.960]  你的小老鼠很有力
[00:01:20.960 --> 00:01:23.640]  但原來肩膀拿高你都拿不起
[00:01:23.640 --> 00:01:25.000]  這樣就不行了
[00:01:25.000 --> 00:01:29.000]  我們要評估你的身體狀況
[00:01:29.000 --> 00:01:30.880]  哪裡有缺陷的時候
[00:01:30.880 --> 00:01:34.600]  我們要設計一些特別的運動
[00:01:34.600 --> 00:01:37.200]  去幫助你在日常生活中
[00:01:37.200 --> 00:01:41.120]  生活中都是沒有問題的
[00:01:41.120 --> 00:01:45.240]  我們這裡說到
[00:01:45.240 --> 00:01:50.440]  世衛組織建議我們每人每週
[00:01:50.440 --> 00:01:53.240]  做150分鐘的運動
[00:01:53.240 --> 00:01:54.840]  如果我們拆開來
[00:01:54.840 --> 00:01:57.960]  我當你一個星期做五天
[00:01:57.960 --> 00:01:58.800]  五三十五
