
[00:00:00.000 --> 00:00:00.840]   Here we go.
[00:00:00.840 --> 00:00:03.480]   Mark, it is good to see you.
[00:00:03.480 --> 00:00:04.980]   Happy New Year to everyone.
[00:00:04.980 --> 00:00:07.560]   For those who are here, it is great to be back.
[00:00:07.560 --> 00:00:10.840]   For those who are online, it is great to be back.
[00:00:10.840 --> 00:00:13.860]   For those who are not familiar, my name is Tommy Lee.
[00:00:13.860 --> 00:00:16.160]   And I get a chance during the week, actually,
[00:00:16.160 --> 00:00:19.200]   when it's quiet here, my office is right here
[00:00:19.200 --> 00:00:21.480]   because we get a chance to share some space
[00:00:21.480 --> 00:00:23.580]   with Urban Voice and they have graciously,
[00:00:23.580 --> 00:00:26.400]   continuously allowed us to work here during the week.
[00:00:27.720 --> 00:00:30.200]   Born and raised here in the Chicago area,
[00:00:30.200 --> 00:00:32.280]   born in Bridgeport, born in Chinatown,
[00:00:32.280 --> 00:00:36.400]   and now I live right over on 35th in Indiana.
[00:00:36.400 --> 00:00:37.960]   And so a lot of times, I've been working
[00:00:37.960 --> 00:00:40.320]   on this series on Elijah.
[00:00:40.320 --> 00:00:43.000]   And so I wanna go through a passage
[00:00:43.000 --> 00:00:45.040]   that we looked at the last time I was here.
[00:00:45.040 --> 00:00:47.420]   I wanna at least close the loop and talk through
[00:00:47.420 --> 00:00:49.400]   some of the lessons that we learned.
[00:00:49.400 --> 00:00:52.560]   Then I wanna do one more at 1 Kings 19,
[00:00:52.560 --> 00:00:55.040]   and then we're done with the story of Elijah.
[00:00:55.040 --> 00:00:59.440]   And Elijah is this one guy who's really unimpressive.
[00:00:59.440 --> 00:01:03.800]   He's not someone who kinda, someone that you sit there,
[00:01:03.800 --> 00:01:08.360]   he's not David, he's not Solomon, he's not even Saul,
[00:01:08.360 --> 00:01:12.000]   he's not Peter, he's kinda rough around the edges.
[00:01:12.000 --> 00:01:14.360]   He comes from a rural area.
[00:01:14.360 --> 00:01:18.440]   Scripture calls him, he's this Tishbit from Tishbe
[00:01:18.440 --> 00:01:21.760]   in Gilead, as 1 Kings 17 tells us.
[00:01:21.760 --> 00:01:26.640]   He's this guy who just comes out of nowhere.
