
[00:00:00.000 --> 00:00:02.000]  各位頂音姐妹 早安
[00:00:02.000 --> 00:00:03.000]  (早安)
[00:00:03.000 --> 00:00:08.000]  很感恩今天有機會跟大家分享神的話語
[00:00:08.000 --> 00:00:10.000]  首先我想問大家一個問題
[00:00:10.000 --> 00:00:12.000]  當我們被問到
[00:00:12.000 --> 00:00:17.000]  你們基督教所信的神
[00:00:17.000 --> 00:00:19.000]  和其他宗教的神有什麼不同的時候
[00:00:19.000 --> 00:00:21.000]  你會怎樣回答?
[00:00:21.000 --> 00:00:26.000]  我們可能會回答一個很不同的
[00:00:26.000 --> 00:00:28.000]  就是我們所信的神
[00:00:28.000 --> 00:00:30.000]  是三位一體的神
[00:00:30.000 --> 00:00:32.000]  那你怎樣解釋三位一體?
[00:00:32.000 --> 00:00:35.000]  他問你什麼是三位一體?
[00:00:35.000 --> 00:00:43.000]  大家知不知道我當時是怎樣回答的?
[00:00:43.000 --> 00:00:47.000]  我跟他們說了一句很有智慧的話
[00:00:47.000 --> 00:00:50.000]  就是
[00:00:50.000 --> 00:00:51.000]  什麼呢?
[00:00:51.000 --> 00:00:54.000]  這個是神的奧秘
[00:00:56.000 --> 00:00:58.000]  That's it! OK! 收工!
[00:00:58.000 --> 00:01:04.000]  所以為了避免以後我又有這麼有智慧的回答
[00:01:04.000 --> 00:01:08.000]  今天就跟大家分享認識三一真神
[00:01:08.000 --> 00:01:12.000]  三位一體是基督教裡
[00:01:12.000 --> 00:01:16.000]  從聖經總結出來的一個教義
[00:01:16.000 --> 00:01:20.000]  聖經中是沒有這個字眼的
[00:01:20.000 --> 00:01:24.000]  它是來自拉丁文Trinitas
[00:01:24.000 --> 00:01:26.000]  意思是三
[00:01:26.000 --> 00:01:29.000]  三位一體是一位神
[00:01:29.000 --> 00:01:31.000]  祂有三個位格
[00:01:31.000 --> 00:01:33.000]  剛才大家應該都答對了
[00:01:33.000 --> 00:01:37.000]  聖父、聖子、聖靈
[00:01:37.000 --> 00:01:41.000]  祂是三位一體的神
[00:01:41.000 --> 00:01:42.000]  聖父是神
[00:01:42.000 --> 00:01:43.000]  聖子是神
[00:01:43.000 --> 00:01:45.000]  聖靈是神
[00:01:45.000 --> 00:01:48.000]  每一個位格都是完全的神
[00:01:48.000 --> 00:01:50.000]  不混亂
[00:01:50.000 --> 00:01:52.000]  然而只有一位神
[00:01:53.000 --> 00:01:58.000]  這個教義是從我們信耶穌的時候就已經接觸到的
[00:01:58.000 --> 00:02:03.000]  但是在基督教信仰兩千年的歷史當中
[00:02:03.000 --> 00:02:10.000]  信徒甚至神學家都很難去完全明白和解釋出來
[00:02:10.000 --> 00:02:11.000]  為什麼呢?
[00:02:11.000 --> 00:02:13.000]  因為神是零
[00:02:13.000 --> 00:02:15.000]  是無限的
[00:02:15.000 --> 00:02:17.000]  祂是超越我們的思想
[00:02:17.000 --> 00:02:19.000]  超越我們的情感
[00:02:19.000 --> 00:02:21.000]  我們的理性和邏輯
[00:02:21.000 --> 00:02:25.000]  而我們人是很有限的
[00:02:25.000 --> 00:02:29.000]  受著時間和空間的限制
[00:02:29.000 --> 00:02:35.000]  試問我們又如何可以用我們這麼有限的心思意念和邏輯
[00:02:35.000 --> 00:02:38.000]  去完全明白這一位無限的神呢?
[00:02:38.000 --> 00:02:41.000]  所以對於三位一體的教義
[00:02:41.000 --> 00:02:44.000]  我們的理解是有困難的
[00:02:44.000 --> 00:02:49.000]  我們可能會嘗試用一些類比
[00:02:49.000 --> 00:02:50.000]  一些比喻
[00:02:50.000 --> 00:02:53.000]  但是我們要非常小心
[00:02:53.000 --> 00:02:58.000]  因為有些類比會將我們引導到一個異端
[00:02:58.000 --> 00:03:00.000]  比如什麼呢?
[00:03:00.000 --> 00:03:05.000]  我們會說三位一體會不會像一個人
[00:03:05.000 --> 00:03:07.000]  他有三個角色
[00:03:07.000 --> 00:03:10.000]  他又是父親
[00:03:10.000 --> 00:03:12.000]  又是丈夫
[00:03:12.000 --> 00:03:14.000]  又是別人的同事
[00:03:14.000 --> 00:03:18.000]  我們可能會這樣去理解
[00:03:18.000 --> 00:03:22.000]  但是這個比喻會將我們引導到一個異端
[00:03:22.000 --> 00:03:24.000]  這個異端叫什麼呢?
[00:03:24.000 --> 00:03:26.000]  就是形態論
[00:03:26.000 --> 00:03:32.000]  他們認為父子聖靈是神自我顯現的三個角色
[00:03:32.000 --> 00:03:34.000]  就好像剛才那個比喻一樣
[00:03:34.000 --> 00:03:36.000]  他的錯誤在於什麼呢?
[00:03:36.000 --> 00:03:41.000]  就是在於他否定了每一個位格都是完全的神
[00:03:41.000 --> 00:03:42.000]  這一條
[00:03:42.000 --> 00:03:44.000]  這個就是不符合聖經的
[00:03:45.000 --> 00:03:49.000]  既然我們去理解這位三位真神
[00:03:49.000 --> 00:03:51.000]  是這麼有困難
[00:03:51.000 --> 00:03:54.000]  和這些類比又存在一些危險性的話
[00:03:54.000 --> 00:03:57.000]  那是不是就是沒有辦法去理解呢?
[00:03:57.000 --> 00:03:59.000]  不是的
[00:03:59.000 --> 00:04:02.000]  雖然我們不能夠完全明白
[00:04:02.000 --> 00:04:07.000]  但是神他仍然願意將自己去啟示給我們聽
[00:04:07.000 --> 00:04:11.000]  在聖經當中去告訴我們什麼是三位一體
[00:04:11.000 --> 00:04:14.000]  現在我們就去看一看
[00:04:14.000 --> 00:04:19.000]  在聖經當中神是怎麼去介紹自己是三位一體的神
[00:04:19.000 --> 00:04:22.000]  首先我們去解釋一下
[00:04:22.000 --> 00:04:24.000]  什麼是位格
[00:04:24.000 --> 00:04:28.000]  位格英文是person
