
[00:00:00.000 --> 00:00:01.080]   Let's welcome him.
[00:00:01.080 --> 00:00:04.240]   (audience applauding)
[00:00:04.240 --> 00:00:07.700]   - Hello, hi everybody.
[00:00:07.700 --> 00:00:09.720]   Thank you, Pastor Mark, for praying,
[00:00:09.720 --> 00:00:12.220]   and thank you, James, for leading worship.
[00:00:12.220 --> 00:00:14.220]   Fun fact, I texted James this morning
[00:00:14.220 --> 00:00:15.420]   to see what he was wearing
[00:00:15.420 --> 00:00:17.560]   so that we could make sure we were matching.
[00:00:17.560 --> 00:00:19.120]   (laughing)
[00:00:19.120 --> 00:00:22.660]   That's not true, we just have a similar fashion sense.
[00:00:22.660 --> 00:00:26.340]   (laughing)
[00:00:26.340 --> 00:00:27.240]   Thank you both.
[00:00:28.940 --> 00:00:32.080]   So today, I wanna talk about the Book of Jonah,
[00:00:32.080 --> 00:00:35.240]   but before we do that, I wanna tell you guys a story.
[00:00:35.240 --> 00:00:39.920]   This is a story that I haven't really told before.
[00:00:39.920 --> 00:00:42.140]   It's been something that happened
[00:00:42.140 --> 00:00:46.000]   and was decently significant in my life for a while,
[00:00:46.000 --> 00:00:48.600]   but I didn't really see it as something
[00:00:48.600 --> 00:00:52.860]   that was timely or necessary at the time.
[00:00:52.860 --> 00:00:57.440]   But I think the themes of this story fit really well
[00:00:57.440 --> 00:00:59.120]   with the themes of the Book of Jonah,
[00:00:59.120 --> 00:01:00.580]   so I'm bringing it out today.
[00:01:00.580 --> 00:01:06.280]   I want you to think back to about a year and a half ago.
[00:01:06.280 --> 00:01:09.440]   This would be right as Chicago is getting out
[00:01:09.440 --> 00:01:12.680]   of our state-mandated lockdown, right?
[00:01:12.680 --> 00:01:14.880]   We're all kind of trying to figure out
[00:01:14.880 --> 00:01:17.980]   how to do this post-pandemic world,
[00:01:17.980 --> 00:01:20.840]   even though it was still mostly in the pandemic,
[00:01:20.840 --> 00:01:24.140]   and we're trying to figure out how to continue to function
[00:01:24.140 --> 00:01:25.560]   even though this virus is spreading.
[00:01:25.560 --> 00:01:28.040]   And we've been locked up for two and a half months.
[00:01:28.040 --> 00:01:30.320]   Things are kind of tense, right?
[00:01:30.320 --> 00:01:34.220]   And then, right as quarantines are lifting,
[00:01:34.220 --> 00:01:38.120]   the killing of George Floyd is basically televised
[00:01:38.120 --> 00:01:41.880]   and thrown everywhere online, and protests erupt.
[00:01:41.880 --> 00:01:45.240]   Peaceful marches are everywhere over our city.
[00:01:45.240 --> 00:01:47.520]   It was kind of a hectic time.
[00:01:47.520 --> 00:01:52.080]   Not only were we living through a massive worldwide pandemic
[00:01:52.080 --> 00:01:55.020]   like once in every hundred years,
[00:01:55.020 --> 00:01:58.720]   but we're also experiencing crazy amounts of social unrest
[00:01:58.720 --> 00:02:01.800]   and calls for new things to happen
[00:02:01.800 --> 00:02:04.240]   to bring justice about in our country.
[00:02:04.240 --> 00:02:06.580]   It was a bit of a crazy time.
[00:02:06.580 --> 00:02:08.300]   Now, for those of you who don't know,
[00:02:08.300 --> 00:02:10.900]   I am a photographer, kind of.
[00:02:10.900 --> 00:02:13.060]   I get to do part of that for my job,
[00:02:13.060 --> 00:02:14.560]   and I also get to do it on the side.
[00:02:14.560 --> 00:02:17.440]   So I love taking photos of cool places in Chicago.
[00:02:17.440 --> 00:02:20.240]   I love taking photos of cool places when I travel,
[00:02:20.240 --> 00:02:25.240]   and I also really enjoy taking photos of worldwide events.
