
[00:00:00.000 --> 00:00:08.500]  上幾次我們談到比對研究
[00:00:08.500 --> 00:00:11.720]  是一些工具讓我們宏觀一些
[00:00:11.720 --> 00:00:17.240]  去看看背後的聖經背景掙扎的問題
[00:00:17.240 --> 00:00:20.460]  我們在創世紀由第一章到現在
[00:00:20.460 --> 00:00:23.820]  不時會談一些更多的背景
[00:00:23.820 --> 00:00:28.820]  因為我們開始明白聖經不是天跌下來的
[00:00:28.820 --> 00:00:31.500]  有它的背景和處境
[00:00:31.500 --> 00:00:35.060]  這不會令到聖經的神聖
[00:00:35.060 --> 00:00:40.820]  聖經華語的權威性受到文化約束
[00:00:40.820 --> 00:00:43.140]  但是我們知道背景的時候
[00:00:43.140 --> 00:00:48.300]  上帝的華語往往是藉著一些本地的
[00:00:48.300 --> 00:00:50.540]  一些獨特的處境
[00:00:50.540 --> 00:00:54.300]  一些社會的狀況
[00:00:54.300 --> 00:00:58.700]  文化的狀況或者思潮去啟示出來
[00:00:58.700 --> 00:01:01.060]  所以希伯來聖經也是這樣的
[00:01:01.060 --> 00:01:03.660]  舊約聖經包括新約聖經
[00:01:03.660 --> 00:01:07.220]  在不同的時代處理不同的問題
[00:01:07.220 --> 00:01:08.300]  掙扎不同的問題
[00:01:08.300 --> 00:01:15.140]  聖經很多時候和這些思潮對話甚至批判
[00:01:15.140 --> 00:01:18.620]  所以我們從第一章到現在第六章
[00:01:18.620 --> 00:01:22.500]  就是洪水的故事
[00:01:22.500 --> 00:01:27.220]  我們先不進入很多經文裡面很細緻的東西
[00:01:27.220 --> 00:01:30.180]  我們先交代一些背後的東西
[00:01:30.180 --> 00:01:33.100]  我們上一次提到
[00:01:33.100 --> 00:01:36.740]  說在十九世紀開始
[00:01:36.740 --> 00:01:42.300]  當世界開始發現古近東的背景
[00:01:42.300 --> 00:01:44.140]  聖經的世界的時候
[00:01:44.140 --> 00:01:48.060]  人們就開始有不同的問題產生出來
[00:01:48.060 --> 00:01:52.540]  其中一個問題就是為何聖經會好像
[00:01:52.540 --> 00:01:55.380]  一些近東的故事
[00:01:55.380 --> 00:01:57.380]  例如洪水故事
[00:01:57.380 --> 00:02:01.500]  為什麼我們要看比對研究的方法呢?
[00:02:01.500 --> 00:02:04.940]  因為洪水故事不能夠避免
[00:02:04.940 --> 00:02:11.500]  要和其他近東的洪水技術做一些比對
[00:02:11.500 --> 00:02:14.300]  例如很有名的Gilgamesh Epic
[00:02:14.300 --> 00:02:15.580]  第十一塊泥板
[00:02:15.580 --> 00:02:18.820]  翻譯出來之後轟動全世界
[00:02:18.820 --> 00:02:21.860]  到今天還在研究
[00:02:21.860 --> 00:02:25.140]  到底希伯來聖經創世紀
[00:02:25.140 --> 00:02:26.700]  那個洪水的故事
[00:02:26.700 --> 00:02:29.020]  和這些近東的故事
[00:02:29.020 --> 00:02:31.020]  其中一個就是Gilgamesh Epic
[00:02:31.020 --> 00:02:32.300]  其他還有的
[00:02:32.300 --> 00:02:34.300]  為什麼會這麼相似呢?
[00:02:34.300 --> 00:02:36.580]  你看到有17點
[00:02:36.580 --> 00:02:42.100]  敘事的脈絡其實都是非常相似的
[00:02:42.100 --> 00:02:44.820]  所以我們需要掙扎這些問題
