
[00:00:00.000 --> 00:00:01.440]  大家好,我是Ken
[00:00:01.440 --> 00:00:04.400]  如果大家親切一點可以叫我梓健
[00:00:04.400 --> 00:00:06.360]  其實我還在加哥讀書
[00:00:06.360 --> 00:00:07.400]  我還未畢業
[00:00:07.400 --> 00:00:10.600]  暫時還在考考試
[00:00:10.600 --> 00:00:12.520]  希望我可以順利畢業
[00:00:12.520 --> 00:00:16.600]  今天很高興跟大家一起學習上帝的華語
[00:00:16.600 --> 00:00:21.280]  在預備講道的時候
[00:00:21.280 --> 00:00:25.320]  我想起我和太太Alice相識的故事
[00:00:25.320 --> 00:00:29.880]  我也問准了太太可以跟大家一起分享
[00:00:29.880 --> 00:00:34.080]  這裡是我們相識的地方,長洲
[00:00:34.080 --> 00:00:39.560]  我們在長洲的一個小島上
[00:00:39.560 --> 00:00:41.720]  的一個神學院相識
[00:00:41.720 --> 00:00:45.360]  這個小島的神學院
[00:00:45.360 --> 00:00:47.840]  每個星期五我們都會出隊
[00:00:47.840 --> 00:00:51.600]  去不同的地方傳福音
[00:00:51.600 --> 00:00:53.880]  第一年我選擇了監獄部
[00:00:53.880 --> 00:00:56.600]  我從不同的囚友去傳福音
[00:00:56.600 --> 00:01:00.360]  而Alice選擇了中學部
[00:01:00.360 --> 00:01:03.000]  去跟中學生傳福音
[00:01:03.000 --> 00:01:06.480]  其實我們是同一個成長小組
[00:01:06.480 --> 00:01:07.480]  是同一班同學
[00:01:07.480 --> 00:01:08.960]  我看到她很真誠
[00:01:08.960 --> 00:01:11.600]  和很認真地對待自己的生命
[00:01:11.600 --> 00:01:13.000]  我就很欣賞她
[00:01:13.000 --> 00:01:16.360]  我覺得她很愛主
[00:01:16.360 --> 00:01:17.760]  之後我就想
[00:01:17.760 --> 00:01:20.440]  不如去年選擇監獄部
[00:01:20.440 --> 00:01:23.520]  今年不如選中學部
[00:01:23.520 --> 00:01:29.600]  我也很想服侍中學生
[00:01:29.600 --> 00:01:33.120]  選之前我完全不知道
[00:01:33.120 --> 00:01:34.040]  她會再選中學部
[00:01:34.040 --> 00:01:35.520]  其實我不知道
[00:01:35.520 --> 00:01:38.520]  誰知道她做了中學部的部長
[00:01:38.520 --> 00:01:39.800]  我就沒辦法了
[00:01:39.800 --> 00:01:43.560]  只好和部門一起服侍
[00:01:43.560 --> 00:01:44.440]  因為這個舉動
[00:01:44.440 --> 00:01:47.000]  她又覺得我對她有意思
[00:01:47.000 --> 00:01:48.760]  她就說
[00:01:48.760 --> 00:01:50.200]  我和上帝納了約
[00:01:50.200 --> 00:01:52.800]  今年不拍拖
[00:01:52.800 --> 00:01:54.080]  我就問她
[00:01:54.080 --> 00:01:58.320]  你的今年是指一個學年的今年
[00:01:58.320 --> 00:02:02.200]  還是指一年有12個月的今年
[00:02:02.200 --> 00:02:04.040]  她就說就是今年了
[00:02:04.040 --> 00:02:06.360]  我不再說了,就是今年
