
[00:00:00.000 --> 00:00:02.000]  (播放)
[00:00:02.720 --> 00:00:04.000]  各位影子妹早安
[00:00:04.000 --> 00:00:06.520]  很高興今天見到大家
[00:00:06.520 --> 00:00:08.520]  上星期我來不到大家當中
[00:00:08.520 --> 00:00:11.360]  我去了一個山明水秀的地方
[00:00:11.360 --> 00:00:13.080]  就是San Diego
[00:00:13.080 --> 00:00:15.560]  在那裡主講一個退修會
[00:00:15.560 --> 00:00:18.560]  感謝主使用我們的事工
[00:00:18.560 --> 00:00:20.480]  讓我們能夠鼓勵不同的教會
[00:00:20.480 --> 00:00:23.360]  讓我們回到主題「跨越」
[00:00:23.360 --> 00:00:26.200]  我們一直在講的是《史萊恆傳》
[00:00:26.200 --> 00:00:27.960]  《史萊恆傳》如果有聖經的話
[00:00:27.960 --> 00:00:29.480]  和我一起打開好嗎
[00:00:29.480 --> 00:00:32.400]  我們不需要依賴PowerPoint
[00:00:32.400 --> 00:00:35.480]  但我們這次繼續講主題
[00:00:35.480 --> 00:00:36.480]  講到第八章
[00:00:36.480 --> 00:00:38.120]  如果有《史萊恆傳》打開第八章
[00:00:38.120 --> 00:00:41.040]  我們先講上次的第六章
[00:00:41.040 --> 00:00:42.360]  第六章有什麼事
[00:00:42.360 --> 00:00:44.360]  第六章就是一個公認的問題
[00:00:44.360 --> 00:00:46.720]  因為那裡有兩組人
[00:00:46.720 --> 00:00:50.320]  一組是講希伯來話
[00:00:50.320 --> 00:00:54.000]  另外一個教會的群組是講希臘話
[00:00:54.000 --> 00:00:57.200]  他們的寡婦是不是有公認的問題
[00:00:57.200 --> 00:01:00.320]  所以試圖選立一些執事
[00:01:00.320 --> 00:01:03.600]  來配搭一起去侍奉
[00:01:03.600 --> 00:01:05.080]  在講第八章之前
[00:01:05.080 --> 00:01:07.200]  當然要講第七章
[00:01:07.200 --> 00:01:11.320]  第七章就是講到史提反的港獨
[00:01:11.320 --> 00:01:14.840]  在這裡我想去到第七、第八章
[00:01:14.840 --> 00:01:18.680]  去到選一些章節來認識一位
[00:01:18.680 --> 00:01:20.800]  就是《史萊恆傳》裡面講的神
[00:01:20.800 --> 00:01:22.160]  是一位怎樣的神
[00:01:22.160 --> 00:01:23.280]  首先講第七章
[00:01:23.280 --> 00:01:25.080]  史提反的港獨
[00:01:25.080 --> 00:01:28.280]  史提反的港獨有什麼特別的地方
[00:01:28.280 --> 00:01:29.560]  就是他們
[00:01:29.560 --> 00:01:33.080]  大家都知道可能之前聽到可能聽過
[00:01:33.080 --> 00:01:36.400]  史提反的港獨是一個很長的港獨
[00:01:36.400 --> 00:01:39.440]  也是很討人厭的港獨
[00:01:39.440 --> 00:01:41.520]  所以那些猶太人很不喜歡
[00:01:41.520 --> 00:01:42.760]  非常長的
[00:01:42.760 --> 00:01:44.240]  不同的主題
[00:01:44.240 --> 00:01:45.280]  有什麼發展
[00:01:45.280 --> 00:01:49.520]  譬如我們講到神的榮耀
[00:01:49.520 --> 00:01:51.080]  你看到那裡是箭嘴
[00:01:51.080 --> 00:01:53.280]  神的榮耀就是神的同在
[00:01:53.280 --> 00:01:55.200]  這個主題有什麼發展
[00:01:55.200 --> 00:01:57.640]  第一個當然就是伊甸園
[00:01:57.640 --> 00:01:59.920]  在上帝與人類的同在
[00:01:59.920 --> 00:02:01.360]  人類就好像祭司一樣
[00:02:01.360 --> 00:02:03.440]  來敬拜祂、侍奉祂
[00:02:03.440 --> 00:02:06.160]  當然人是叛逆
[00:02:06.160 --> 00:02:08.480]  然後失去了同在
[00:02:08.480 --> 00:02:11.240]  但是上帝沒有放棄人類
[00:02:11.240 --> 00:02:13.200]  上帝沒有放棄有罪的人
[00:02:13.200 --> 00:02:15.840]  然後繼續發展這個故事的時候
[00:02:15.840 --> 00:02:17.040]  就到了埃及之後
[00:02:17.040 --> 00:02:18.040]  他們在那裡抗議
[00:02:18.040 --> 00:02:20.360]  上帝說我要和你們一起同在
[00:02:20.360 --> 00:02:22.280]  就建了回眸
[00:02:22.280 --> 00:02:27.720]  回眸就是上帝與人類同在的一個記號
[00:02:27.720 --> 00:02:28.800]  Tabernacle
[00:02:28.800 --> 00:02:32.040]  然後他們入主迦南之後
[00:02:32.040 --> 00:02:33.040]  去到這個應許之地
