
[00:00:00.000 --> 00:00:01.600]   our time to John.
[00:00:01.600 --> 00:00:02.600]   Let's welcome John.
[00:00:02.600 --> 00:00:05.760]   (audience applauding)
[00:00:05.760 --> 00:00:10.040]   - Everybody again at Urban Voice.
[00:00:10.040 --> 00:00:11.640]   And in fact, this is, you know,
[00:00:11.640 --> 00:00:15.320]   since I've been coming out monthly since August,
[00:00:15.320 --> 00:00:19.240]   this is the most of Urban Voice I have seen since August.
[00:00:19.240 --> 00:00:23.960]   So thank you for choosing to come on out today
[00:00:23.960 --> 00:00:27.800]   and join with your brothers and sisters in worship
[00:00:27.800 --> 00:00:30.080]   and in the hearing of God's word.
[00:00:30.080 --> 00:00:35.080]   With that, let's begin with just a quick word of prayer
[00:00:35.080 --> 00:00:38.160]   as we go into God's word, okay?
[00:00:38.160 --> 00:00:39.680]   Heavenly Father, thank you so much.
[00:00:39.680 --> 00:00:43.680]   We do thank you because not just 'cause it's Thanksgiving,
[00:00:43.680 --> 00:00:46.640]   but because this is an occasion to remind us
[00:00:46.640 --> 00:00:48.800]   to pause for a moment.
[00:00:48.800 --> 00:00:53.120]   Perhaps it's in the midst of a season of grumbling,
[00:00:53.120 --> 00:00:55.000]   of discontent.
[00:00:55.680 --> 00:01:00.680]   In a season where we're longing for more or better,
[00:01:00.680 --> 00:01:06.560]   help us now to stop and just recall
[00:01:06.560 --> 00:01:08.640]   all the great things you have done.
[00:01:08.640 --> 00:01:13.120]   And then to think about the great things
[00:01:13.120 --> 00:01:14.440]   you have done for us.
[00:01:20.600 --> 00:01:25.600]   And make those recollections cause us to draw near to you,
[00:01:25.600 --> 00:01:33.020]   to take a step forward, inch forward.
[00:01:33.020 --> 00:01:38.400]   And knowing as we're reminded today in the word
[00:01:38.400 --> 00:01:41.160]   that we are going to be looking into,
[00:01:41.160 --> 00:01:44.600]   that God, you have made a way through your son
[00:01:44.600 --> 00:01:48.320]   for us to draw near to you and to do it boldly.
[00:01:48.320 --> 00:01:49.440]   And we wanna do that today.
[00:01:49.440 --> 00:01:52.480]   And it's in Jesus' name we pray, amen.
[00:01:52.480 --> 00:01:55.680]   So brothers and sisters, you know,
[00:01:55.680 --> 00:01:57.800]   as already been mentioned a few times,
[00:01:57.800 --> 00:02:02.800]   this is a cause for great celebration today.
[00:02:02.800 --> 00:02:05.800]   A wonderful thing is happening today.
[00:02:05.800 --> 00:02:08.900]   I will call, you don't have to call it this,
[00:02:08.900 --> 00:02:13.040]   I will call it the new Urban Voice, okay?
[00:02:13.040 --> 00:02:16.600]   Don't change your signs, don't do anything like that,
[00:02:16.600 --> 00:02:19.760]   don't change your website, but the new Urban Voice,
[00:02:19.760 --> 00:02:23.080]   a new chapter for Urban Voice is starting today.
[00:02:23.080 --> 00:02:26.040]   You know, the Peniel Multiethnic Church
[00:02:26.040 --> 00:02:30.380]   is joining forces with Urban Voice Community Church.
[00:02:30.380 --> 00:02:33.040]   Two, what I believe genuinely,
[00:02:33.040 --> 00:02:35.840]   two great works that God has been doing.
[00:02:35.840 --> 00:02:39.720]   And you know, the world might call this a merge
[00:02:39.720 --> 00:02:42.240]   or a merger, but you know, let's face it,
[00:02:42.240 --> 00:02:46.160]   it's really more like two families that are coming together.
[00:02:46.160 --> 00:02:47.960]   It's like a marriage.
[00:02:47.960 --> 00:02:50.320]   It's two becoming one.
[00:02:50.320 --> 00:02:53.960]   And so praise the Lord for doing this great thing, amen?
[00:02:53.960 --> 00:02:58.040]   So I don't have a whole lot of time,
[00:02:58.040 --> 00:03:01.520]   'cause I know everybody is like, there's a luncheon today?
[00:03:01.520 --> 00:03:05.720]   So probably like, please, keep it short.
[00:03:05.720 --> 00:03:06.960]   And I will do my very best.
[00:03:06.960 --> 00:03:09.000]   In fact, I am gonna do more than my best.
[00:03:09.000 --> 00:03:10.360]   I'm actually gonna keep it short today.
[00:03:10.360 --> 00:03:13.480]   So there's a lot to say,
[00:03:13.480 --> 00:03:15.700]   but I'm gonna let the Holy Spirit speak to us
[00:03:15.700 --> 00:03:16.640]   through His word.
[00:03:16.640 --> 00:03:18.240]   So if you'll turn in your Bibles,
[00:03:18.240 --> 00:03:20.760]   or turn your Bibles on on your phone apps,
[00:03:20.760 --> 00:03:24.900]   to Hebrews chapter 10, verses 19 through 25.
[00:03:24.900 --> 00:03:30.760]   Hebrews 10, 19 through 25, and I'll read that for you.
[00:03:30.760 --> 00:03:34.360]   And it says, "Therefore, brothers and sisters,
[00:03:34.360 --> 00:03:38.040]   "since we have confidence to enter the most holy place
[00:03:38.040 --> 00:03:40.780]   "by the blood of Jesus, by a new and living way
[00:03:40.780 --> 00:03:44.520]   "open for us through the curtain that is His body,
[00:03:44.520 --> 00:03:47.820]   "and since we have a great priest over the house of God,
[00:03:47.820 --> 00:03:50.760]   "let us draw near to God with a sincere heart
[00:03:50.760 --> 00:03:54.820]   "and with the full assurance that faith brings.
[00:03:54.820 --> 00:03:57.420]   "Having our hearts sprinkled to cleanse us
[00:03:57.420 --> 00:03:58.580]   "from a guilty conscience,
[00:03:58.580 --> 00:04:02.380]   "and having our bodies washed with pure water,
[00:04:02.380 --> 00:04:06.360]   "let us hold unswervingly to the hope we profess,
[00:04:06.360 --> 00:04:10.260]   "for He who promised is faithful."
[00:04:10.260 --> 00:04:12.880]   Then verse 24, "And let us consider
[00:04:12.880 --> 00:04:16.980]   "how we may spur one another on toward love and good deeds,
[00:04:16.980 --> 00:04:18.700]   "not giving up meeting together
[00:04:18.700 --> 00:04:21.660]   "as some are in the habit of doing,
[00:04:21.660 --> 00:04:23.900]   "but encouraging one another,
[00:04:23.900 --> 00:04:28.020]   "and all the more as you see the day approaching."
[00:04:28.020 --> 00:04:33.100]   So there are three let us statements,
[00:04:33.100 --> 00:04:36.940]   three invitations, three exhortations
[00:04:36.940 --> 00:04:39.660]   that the author of Hebrews gives us.
[00:04:39.660 --> 00:04:44.660]   First, we see in verse 22, "Let us draw near to God."
[00:04:44.660 --> 00:04:48.840]   Then in verse 23, "Let us hold unswervingly
[00:04:48.840 --> 00:04:51.220]   "to the hope we profess."
[00:04:51.220 --> 00:04:52.880]   And then third, "Let us consider
[00:04:52.880 --> 00:04:55.160]   "how we may spur one another on
[00:04:55.160 --> 00:04:58.120]   "towards love and good deeds."
[00:04:58.120 --> 00:05:02.080]   But before we get to these invitations,
[00:05:02.080 --> 00:05:04.320]   let's stop for a moment,
[00:05:04.320 --> 00:05:09.320]   looking starting at verse 19 at the foundational conviction.
[00:05:09.360 --> 00:05:14.360]   You know, we're pointed to this in verse 23, right?
[00:05:14.360 --> 00:05:17.200]   What is this hope we profess?
[00:05:17.200 --> 00:05:20.520]   What is the foundation of this invitation?
[00:05:20.520 --> 00:05:28.360]   And it is this, the gospel of Jesus Christ
[00:05:28.360 --> 00:05:31.080]   is the foundation of the church's
[00:05:31.080 --> 00:05:34.400]   intimate relationship with holy God,
[00:05:34.400 --> 00:05:36.320]   and with one another.
[00:05:37.520 --> 00:05:42.040]   The gospel of Jesus Christ is the shared foundation
[00:05:42.040 --> 00:05:44.640]   of the church's intimate relationship
[00:05:44.640 --> 00:05:47.640]   with God and with one another.
[00:05:47.640 --> 00:05:53.680]   The church, we're told in verse 19, just by the address,
[00:05:53.680 --> 00:05:55.460]   "Who is the author talking to?"
[00:05:55.460 --> 00:05:58.360]   And he says, "Brothers and sisters."
[00:05:58.360 --> 00:06:02.040]   If you don't know who your brothers and sisters are,
[00:06:02.040 --> 00:06:05.560]   just look to the left, look to the right,
[00:06:05.560 --> 00:06:07.720]   look behind you, go ahead, you can do that,
[00:06:07.720 --> 00:06:09.320]   it's all right, look around.
[00:06:09.320 --> 00:06:12.160]   These are your brothers and sisters
[00:06:12.160 --> 00:06:17.160]   who share this foundational conviction
[00:06:17.160 --> 00:06:19.200]   in the gospel of Jesus Christ.
[00:06:19.200 --> 00:06:24.800]   Is the writer of Hebrews writing to a bunch of strangers
[00:06:24.800 --> 00:06:26.480]   who don't know each other, or some,
[00:06:26.480 --> 00:06:27.760]   just kind of like group of people
[00:06:27.760 --> 00:06:30.040]   that happen to be together one day?
[00:06:30.040 --> 00:06:32.520]   No, of course not, he's specifically addressing
[00:06:32.520 --> 00:06:36.120]   a known and exclusive, and I'll say it,
[00:06:36.120 --> 00:06:38.440]   an exclusive group of people.
[00:06:38.440 --> 00:06:39.880]   We hear a lot of people say about like,
[00:06:39.880 --> 00:06:43.720]   "Our church is inclusive, we want everybody to come."
[00:06:43.720 --> 00:06:47.040]   But the reality is, is the church is exclusive.
[00:06:47.040 --> 00:06:48.000]   You know why?
[00:06:48.000 --> 00:06:50.680]   Because you are not really a member of the church,
[00:06:50.680 --> 00:06:53.980]   the body of Christ, unless you are in Christ.
[00:06:53.980 --> 00:06:59.600]   And you have to have the gospel to be in Christ.
[00:06:59.600 --> 00:07:02.760]   You have to believe who Jesus is,
[00:07:02.760 --> 00:07:07.440]   believe in him and what he has done on the cross,
[00:07:07.440 --> 00:07:10.380]   to lay down his life for sinners like us.
[00:07:10.380 --> 00:07:16.460]   And then to rise again in victory on the third day.
[00:07:16.460 --> 00:07:21.840]   To give us new life, eternal life,
[00:07:21.840 --> 00:07:25.360]   to guarantee the forgiveness of our sins,
[00:07:25.360 --> 00:07:28.800]   and a relationship with holy God.
[00:07:28.800 --> 00:07:30.520]   I mean, who do we think we are?
[00:07:30.520 --> 00:07:32.400]   We know how messed up we are.
[00:07:32.400 --> 00:07:34.520]   We know how weak and flawed we are.
[00:07:34.520 --> 00:07:38.240]   Who do we think we are that we think
[00:07:38.240 --> 00:07:39.880]   we should have a relationship?
[00:07:39.880 --> 00:07:43.240]   And yet you know what the gospel writer John says?
[00:07:43.240 --> 00:07:48.360]   That we have the right, the right.
[00:07:48.360 --> 00:07:52.260]   We have the audacity because of Jesus
[00:07:52.260 --> 00:07:54.960]   to claim to be children of God.
[00:07:58.120 --> 00:07:59.720]   Let that sink in for just a second.
[00:07:59.720 --> 00:08:01.680]   That ought to just blow your mind.
[00:08:01.680 --> 00:08:06.680]   Who do we dare to be to say we are children of God?
[00:08:06.680 --> 00:08:13.720]   That we would have the right to be called children of God?
[00:08:13.720 --> 00:08:19.280]   Formally we might call one another members of a church
[00:08:19.280 --> 00:08:20.480]   or the church.
[00:08:20.480 --> 00:08:23.880]   Says therefore brothers and sisters,
[00:08:23.880 --> 00:08:27.760]   we have confidence to enter the most holy place.
[00:08:27.760 --> 00:08:29.960]   Here's the foundation, the gospel.
[00:08:29.960 --> 00:08:31.620]   It's probably maybe explained in a way
[00:08:31.620 --> 00:08:33.120]   that you haven't thought of it.
[00:08:33.120 --> 00:08:35.680]   But it says we have confidence to enter
[00:08:35.680 --> 00:08:36.840]   the most holy place.
[00:08:36.840 --> 00:08:38.860]   It's a picture of the temple.
[00:08:38.860 --> 00:08:43.220]   In the temple is the smallest room.
[00:08:43.220 --> 00:08:46.160]   It's called the Holy of Holies or the most holy place.
[00:08:46.160 --> 00:08:49.260]   And it's a place where one person once a year,
[00:08:49.260 --> 00:08:53.040]   the high priest gets to go in.
[00:08:53.040 --> 00:08:53.960]   Once a year.
[00:08:55.200 --> 00:08:58.960]   And if he's not worthy, if he has done,
[00:08:58.960 --> 00:09:01.680]   if he has not prepared himself to go into the presence
[00:09:01.680 --> 00:09:06.680]   of God, then he is to be killed.
[00:09:06.680 --> 00:09:09.880]   Killed.
[00:09:09.880 --> 00:09:11.840]   He would die.
[00:09:11.840 --> 00:09:17.680]   But it says we have confidence, not just the one person,
[00:09:17.680 --> 00:09:22.640]   but we have confidence to enter the most holy place
[00:09:22.640 --> 00:09:25.720]   by the blood of Jesus, by a new and living way
[00:09:25.720 --> 00:09:29.000]   open for us through the curtain that is his body.
[00:09:29.000 --> 00:09:30.600]   Whose body?
[00:09:30.600 --> 00:09:33.040]   Jesus Christ.
[00:09:33.040 --> 00:09:38.040]   And since we have a great priest over the house of God,
[00:09:38.040 --> 00:09:43.080]   so Jesus is the high priest with a capital T,
[00:09:43.080 --> 00:09:47.040]   the capital H, capital P.
[00:09:47.040 --> 00:09:49.360]   He is a superior high priest.
[00:09:49.360 --> 00:09:51.440]   He's not like one of those of old.
[00:09:51.440 --> 00:09:54.400]   He is even better.
[00:09:54.400 --> 00:09:57.100]   You could say he is the super priest.
[00:09:57.100 --> 00:10:03.000]   He says because Jesus is our high priest,
[00:10:03.000 --> 00:10:06.080]   he says let us draw near to God with a sincere heart
[00:10:06.080 --> 00:10:08.520]   and with the full assurance that faith brings.
[00:10:08.520 --> 00:10:11.280]   And that's where the gospel comes in again.
[00:10:11.280 --> 00:10:14.160]   We don't claim this because we're good enough.
[00:10:14.160 --> 00:10:16.960]   We don't claim the right, this boldness,
[00:10:16.960 --> 00:10:19.240]   this confidence to enter into God's presence
[00:10:19.240 --> 00:10:22.300]   because we did enough, we measured up.
[00:10:22.300 --> 00:10:26.920]   No, it's because the high priest, Jesus,
[00:10:26.920 --> 00:10:31.000]   did everything necessary so that by faith
[00:10:31.000 --> 00:10:33.120]   in what he has accomplished for us,
[00:10:33.120 --> 00:10:37.760]   by faith in who he is, we ride on his coattails
[00:10:37.760 --> 00:10:40.720]   and we have confidence because the high priest
[00:10:40.720 --> 00:10:43.100]   has done what's necessary.
[00:10:43.100 --> 00:10:48.100]   So we boldly, confidently enter into this holy of holies,
[00:10:48.780 --> 00:10:53.780]   this most sacred place where even when the high priest
[00:10:53.780 --> 00:10:57.880]   doesn't do it right, he's at risk of losing his life.
[00:10:57.880 --> 00:10:59.260]   We go in confidently.
[00:10:59.260 --> 00:11:02.560]   And why?
[00:11:02.560 --> 00:11:05.880]   Because we're told our hearts have been sprinkled
[00:11:05.880 --> 00:11:08.660]   to cleanse us from a guilty conscience
[00:11:08.660 --> 00:11:12.520]   and having our bodies washed with pure water.
[00:11:12.520 --> 00:11:15.280]   Because the church has this great high priest
[00:11:15.280 --> 00:11:18.400]   in Jesus Christ, let us draw near.
[00:11:18.400 --> 00:11:20.240]   Here's the first invitation.
[00:11:20.240 --> 00:11:22.720]   Let us draw near to God.
[00:11:22.720 --> 00:11:26.160]   How many in this room have been away at college
[00:11:26.160 --> 00:11:29.560]   and you're back for Thanksgiving break?
[00:11:29.560 --> 00:11:31.720]   There's about a half dozen people in the room.
[00:11:31.720 --> 00:11:33.560]   My daughter's back from college too.
[00:11:33.560 --> 00:11:36.360]   I know what college is like.
[00:11:36.360 --> 00:11:37.520]   I was at college.
[00:11:37.520 --> 00:11:44.540]   And if you have gotten real busy with studying,
[00:11:45.480 --> 00:11:49.800]   playing, sleeping, whatever it is,
[00:11:49.800 --> 00:11:52.660]   and it has drawn you away from God,
[00:11:52.660 --> 00:11:55.520]   let me call you back.
[00:11:55.520 --> 00:11:58.120]   Let me invite you.
[00:11:58.120 --> 00:12:01.640]   Draw near to God with a sincere heart
[00:12:01.640 --> 00:12:05.760]   and with the full assurance of faith,
[00:12:05.760 --> 00:12:07.820]   absolute trust in Jesus.
[00:12:07.820 --> 00:12:13.920]   On that day of atonement when the high priest
[00:12:13.920 --> 00:12:17.820]   goes into the temple, the people of God together
[00:12:17.820 --> 00:12:20.980]   experienced a national revival.
[00:12:20.980 --> 00:12:27.660]   They had confidence to say, now we can face another year
[00:12:27.660 --> 00:12:30.360]   and we can expect God to bless us.
[00:12:30.360 --> 00:12:32.960]   We can expect God to be present.
[00:12:32.960 --> 00:12:37.960]   We can expect God to show us favor and prosperity.
[00:12:37.960 --> 00:12:43.120]   We can expect, on the other hand, God will not kill us.
[00:12:43.960 --> 00:12:47.640]   For our sin, he's forgiven us.
[00:12:47.640 --> 00:12:51.760]   They could collectively breathe a sigh of relief
[00:12:51.760 --> 00:12:54.380]   like, oh, it's all good with God.
[00:12:54.380 --> 00:12:58.680]   And what does this passage tell us?
[00:12:58.680 --> 00:13:01.800]   If you read this whole section of Hebrews,
[00:13:01.800 --> 00:13:04.800]   it's just this whole explanation of,
[00:13:04.800 --> 00:13:08.320]   look at all that the Old Testament prophets
[00:13:08.320 --> 00:13:09.680]   and priests have done.
[00:13:09.680 --> 00:13:12.200]   All the animals that were sacrificed,
[00:13:12.200 --> 00:13:15.360]   and it had to be done every year over and over again
[00:13:15.360 --> 00:13:20.080]   because sin became a problem over and over again.
[00:13:20.080 --> 00:13:24.440]   But now we have this high priest who does it once and for all
