
[00:00:00.000 --> 00:00:02.000]  又到聖經考古探秘的時間了
[00:00:02.000 --> 00:00:05.880]  今次跟大家談這個名文叫做耶路巴力名文
[00:00:05.880 --> 00:00:07.480]  Jerubbaal inscription
[00:00:07.480 --> 00:00:10.440]  找到的地方叫做Kubit al-Rai
[00:00:10.440 --> 00:00:12.440]  叫做阿拉圖有
[00:00:12.440 --> 00:00:14.480]  這個inscription
[00:00:14.480 --> 00:00:17.880]  你看到是寫在兩塊小的圖片上
[00:00:17.880 --> 00:00:19.340]  有一些字母
[00:00:19.340 --> 00:00:22.140]  這些字母經過鑑定之後
[00:00:22.140 --> 00:00:27.040]  我們知道是屬於公元前1200至1000年之間
[00:00:27.140 --> 00:00:30.040]  1200至1000年的BCE
[00:00:30.040 --> 00:00:32.040]  這段時間200年
[00:00:32.040 --> 00:00:35.540]  就是聖經考古時期的鐵器時代1
[00:00:35.540 --> 00:00:36.840]  Iron I的時候
[00:00:36.840 --> 00:00:41.540]  同時也是舊約聖經歷史的士司紀的時代
[00:00:41.540 --> 00:00:45.040]  你記得以色列人初初進入迦南的時候
[00:00:45.040 --> 00:00:46.640]  好像一盤散沙一樣
[00:00:46.640 --> 00:00:51.740]  慢慢他們在社會結構上邁向一個新的時代
[00:00:51.740 --> 00:00:53.440]  就是一個王朝的時代
[00:00:53.440 --> 00:00:57.040]  所以你看士司紀就是說他們很鬆散
[00:00:57.040 --> 00:00:58.340]  沒有王在他們中間
[00:00:58.340 --> 00:01:00.740]  各人行自己看為正的事
[00:01:00.740 --> 00:01:02.340]  然後到了薩姆爾紀
[00:01:02.340 --> 00:01:05.040]  你就找到開始有王朝出現了
[00:01:05.040 --> 00:01:08.440]  所以有薩姆爾、蘇羅、大衛等等的故事
[00:01:08.440 --> 00:01:13.240]  這個名文上面的字母
[00:01:13.240 --> 00:01:17.040]  今天我們叫它做原始的迦南文
[00:01:17.040 --> 00:01:18.340]  Protocanonite
[00:01:18.340 --> 00:01:20.140]  希伯來文
[00:01:20.140 --> 00:01:24.440]  今天我們看舊約希伯來聖經的時候
[00:01:24.440 --> 00:01:25.640]  那些Hebrew
[00:01:25.640 --> 00:01:27.340]  我們叫它做classical Hebrew
[00:01:27.340 --> 00:01:31.040]  公元前大概一千年左右開始演變出來的
[00:01:31.040 --> 00:01:34.440]  之前就是迦南的文字
[00:01:34.440 --> 00:01:37.240]  因為其實希伯來文這些字母
[00:01:37.240 --> 00:01:41.940]  本身就是一些迦南文裡面的字母
[00:01:41.940 --> 00:01:47.740]  這個名文在過去一個星期
[00:01:47.740 --> 00:01:49.540]  在不同的報章
[00:01:49.540 --> 00:01:52.140]  不同的社交媒體都有大肆報導
[00:01:52.140 --> 00:01:53.940]  說這個是新的發現
[00:01:54.140 --> 00:01:57.140]  其實在2019年已經出土了
[00:01:57.140 --> 00:02:02.340]  只不過真正的同行評審的論文
[00:02:02.340 --> 00:02:06.040]  研究的結果在這個星期才出來
[00:02:06.040 --> 00:02:10.240]  發現的地方當然就是Cubic Arai
[00:02:10.240 --> 00:02:13.340]  這個地方你看到圖片上看到
[00:02:13.340 --> 00:02:17.140]  就是阿拉圖丘的上空
[00:02:17.140 --> 00:02:19.940]  下面看到Area A和B
[00:02:20.140 --> 00:02:24.640]  你看到這個圖片的方向
[00:02:24.640 --> 00:02:25.940]  照片的方向
[00:02:25.940 --> 00:02:28.640]  其實是看著西面的
[00:02:28.640 --> 00:02:31.340]  如果天氣好的話會看到地中海
[00:02:31.340 --> 00:02:32.840]  所以比較近海平
[00:02:32.840 --> 00:02:34.440]  另外反過來看
[00:02:34.440 --> 00:02:35.640]  向東看的時候
