
[00:00:00.000 --> 00:00:14.240]  聖誕節一定要講一下聖誕的故事
[00:00:14.240 --> 00:00:17.360]  我們做這行的習慣了
[00:00:17.360 --> 00:00:21.200]  每逢聖誕節什麼節期我們都找經文來講
[00:00:21.200 --> 00:00:24.200]  正在講女子組加油這個系列
[00:00:24.200 --> 00:00:26.920]  我們一定要講一個女性
[00:00:26.920 --> 00:00:28.400]  就是瑪麗亞
[00:00:28.400 --> 00:00:34.080]  Mary這個女性是一個很關鍵的角色
[00:00:34.080 --> 00:00:37.560]  如果你去歐洲旅遊或者去以色列旅遊
[00:00:37.560 --> 00:00:41.040]  你會看到很多很多的教堂或者景點
[00:00:41.040 --> 00:00:42.480]  都是跟Mary有關的
[00:00:42.480 --> 00:00:43.280]  是不是?
[00:00:43.280 --> 00:00:46.920]  其實你開車去Bridgeport
[00:00:46.920 --> 00:00:48.040]  到處去
[00:00:48.040 --> 00:00:53.320]  很多古教堂、舊教堂都是跟Mary有關的
[00:00:53.320 --> 00:00:56.040]  聖經裡面的Mary是怎樣的呢?
[00:00:56.040 --> 00:00:59.000]  我們作為基督徒
[00:00:59.000 --> 00:01:00.840]  我們叫做Protestant
[00:01:00.840 --> 00:01:04.960]  我們是在Reformation開始的
[00:01:04.960 --> 00:01:07.160]  馬丁路德等等
[00:01:07.160 --> 00:01:09.720]  有時候看到Mary的時候就不太自在
[00:01:09.720 --> 00:01:11.560]  因為我們覺得天主教
[00:01:11.560 --> 00:01:16.520]  為什麼講Mary講得這麼過火
[00:01:16.520 --> 00:01:20.000]  或者將她的尊崇放得太高
[00:01:20.000 --> 00:01:22.120]  所以很多時候我們有些反彈
[00:01:22.120 --> 00:01:23.600]  隻字不提
[00:01:23.600 --> 00:01:25.160]  其實是不需要的
[00:01:25.160 --> 00:01:26.600]  我想告訴你
[00:01:26.600 --> 00:01:31.160]  在聖經裡面記載的autobiographical data
[00:01:31.160 --> 00:01:32.640]  就是每一個人物
[00:01:32.640 --> 00:01:36.160]  你當今天是一個聖經人物的研究
[00:01:36.160 --> 00:01:38.920]  看看不同的聖經人物、不同的角色
[00:01:38.920 --> 00:01:41.960]  到底有什麼值得我們提醒的呢?
[00:01:41.960 --> 00:01:44.560]  這樣的autobiographical data
[00:01:44.560 --> 00:01:48.480]  就是一個自傳的或者個人的資料
[00:01:48.480 --> 00:01:51.320]  最多的是誰?
[00:01:51.320 --> 00:01:52.680]  當然是耶穌
[00:01:52.680 --> 00:01:55.320]  你要知道耶穌是最多的
[00:01:55.320 --> 00:01:57.320]  第二個呢?
[00:01:57.320 --> 00:01:59.160]  大衛
[00:01:59.160 --> 00:02:00.200]  大衛是最多的
[00:02:00.200 --> 00:02:03.320]  你聽一下我們的YouTube program就知道了
[00:02:03.320 --> 00:02:06.280]  保羅第三個就是
[00:02:06.280 --> 00:02:09.320]  第四個可能是彼得
[00:02:09.320 --> 00:02:12.200]  剛才那些全部都是男人
[00:02:12.200 --> 00:02:15.160]  第五個應該是瑪利亞
[00:02:15.160 --> 00:02:19.640]  對他的描述或者對他的心境裡面的經歷等等
[00:02:19.640 --> 00:02:21.320]  瑪利亞是很多的
[00:02:21.320 --> 00:02:22.520]  那麼
[00:02:22.520 --> 00:02:27.520]  你要知道教會自耶穌基督升天作王
[00:02:27.520 --> 00:02:31.080]  由耶路撒冷開始到現在大概2000年左右
[00:02:31.080 --> 00:02:35.400]  有一個古代的信經
[00:02:35.400 --> 00:02:37.400]  一個文件
[00:02:37.400 --> 00:02:39.400]  叫做Apostles' Creed
[00:02:39.400 --> 00:02:42.760]  我知道最近的新聞Apostles' Creed經常上頭條
[00:02:42.760 --> 00:02:46.320]  因為我們的總統就翹起雙手
[00:02:46.320 --> 00:02:47.320]  不讀
[00:02:47.320 --> 00:02:51.240]  過去這麼多屆總統都會按照傳統讀
[00:02:51.240 --> 00:02:53.240]  他又不讀
[00:02:53.240 --> 00:02:54.760]  所以就上了頭條
[00:02:54.760 --> 00:02:56.760]  Apostles' Creed是什麼呢?
[00:02:56.760 --> 00:02:58.760]  其實是一個早期的教會
[00:02:58.760 --> 00:03:03.240]  算是最初代的教會留下來的信仰的總結
[00:03:03.240 --> 00:03:07.240]  這些總結是用來防止異端
[00:03:07.240 --> 00:03:10.920]  讓我們能夠信的東西是清楚正統的
[00:03:10.920 --> 00:03:17.240]  那麼這些信經就是給初期教會在崇拜裡面使用的
[00:03:17.240 --> 00:03:20.240]  或者一個人信了之後
[00:03:20.240 --> 00:03:22.240]  作為一個教導
[00:03:22.240 --> 00:03:24.240]  或者一個人去受洗之前
[00:03:24.240 --> 00:03:27.240]  他需要明白Apostles' Creed
[00:03:27.240 --> 00:03:30.240]  或者這些不同的初代的信經
[00:03:30.240 --> 00:03:34.240]  這些初期神學的總結
[00:03:34.240 --> 00:03:37.240]  有一句是講到瑪利亞的
[00:03:37.240 --> 00:03:42.240]  那你可想而知瑪利亞的角色是多麼的重要
[00:03:42.240 --> 00:03:45.240]  第二段講到我信的時候
[00:03:45.240 --> 00:03:48.240]  他說我信耶穌基督上帝的獨生兒子
[00:03:48.240 --> 00:03:51.240]  我們的主因著聖靈成人
[00:03:51.240 --> 00:03:54.240]  從同類瑪利亞所生
[00:03:54.240 --> 00:03:58.240]  特別要提到瑪利亞同精類懷孕
[00:03:58.240 --> 00:04:01.240]  為什麼這個教義這麼重要呢?
[00:04:01.240 --> 00:04:05.240]  神學上可以這樣推理
[00:04:05.240 --> 00:04:09.240]  如果耶穌要去頂替我們的罪
[00:04:09.240 --> 00:04:12.240]  他當然要成為一個完全的人
[00:04:12.240 --> 00:04:15.240]  當然要有母親所生
[00:04:15.240 --> 00:04:21.240]  但同時他也不能夠本身是罪惡之身
[00:04:21.240 --> 00:04:23.240]  我們都是罪人
[00:04:23.240 --> 00:04:25.240]  我們需要被別人救
[00:04:25.240 --> 00:04:27.240]  需要被別人贖罪
[00:04:27.240 --> 00:04:29.240]  但耶穌就不能夠這樣
[00:04:29.240 --> 00:04:33.240]  所以所謂原罪
[00:04:33.240 --> 00:04:37.240]  就不可以在耶穌的生命裡面出現
[00:04:37.240 --> 00:04:40.240]  所以他是沒有錯百分之一百的人
