
[00:00:00.000 --> 00:00:04.440]   Alright guys, good morning.
[00:00:04.440 --> 00:00:07.120]   Well why don't we take a time to say hi to your neighbor.
[00:00:07.120 --> 00:00:09.960]   There are a few neighbors around you and just say hi and good to see you.
[00:00:09.960 --> 00:00:10.960]   Okay?
[00:00:10.960 --> 00:00:11.960]   Turn around.
[00:00:11.960 --> 00:00:23.680]   Okay, so today we will continue our series on the mission of God.
[00:00:23.680 --> 00:00:24.680]   Alright?
[00:00:24.680 --> 00:00:31.360]   I think I need some help with the PowerPoint.
[00:00:31.360 --> 00:00:32.360]   Please.
[00:00:32.360 --> 00:00:33.360]   Okay?
[00:00:33.360 --> 00:00:38.040]   Now, as we come to the church, this is our 10th anniversary.
[00:00:38.040 --> 00:00:40.120]   This is our year number 10.
[00:00:40.120 --> 00:00:43.920]   And we're going to celebrate and work together for the church.
[00:00:43.920 --> 00:00:44.920]   Okay?
[00:00:44.920 --> 00:00:53.320]   Our series is on NEXT.
[00:00:53.320 --> 00:01:03.440]   And we're going to challenge and remind you to go NEXT in your life.
[00:01:03.440 --> 00:01:06.920]   So last time when you were here when I preached on this series, you should have picked up
[00:01:06.920 --> 00:01:08.160]   a jar like this.
[00:01:08.160 --> 00:01:09.160]   Right?
[00:01:09.160 --> 00:01:18.400]   And inside is a bunch of sand.
[00:01:18.400 --> 00:01:28.480]   And it reminds us the promises to Abraham from God.
[00:01:28.480 --> 00:01:35.120]   And we are part of the children of Abraham actually in Christ.
[00:01:35.120 --> 00:01:44.960]   And today if you're new, you can pick up one of these jars and you can bring it home.
[00:01:44.960 --> 00:01:49.640]   If you already have one of these jars and you're going to put it in somewhere that will
[00:01:49.640 --> 00:01:56.120]   remind you every single day.
[00:01:56.120 --> 00:02:03.000]   So throughout the whole year, we're going to add some items into the jar.
[00:02:03.000 --> 00:02:09.080]   So today we're going to add another piece into the jar.
[00:02:09.080 --> 00:02:10.760]   Let me begin with this picture.
[00:02:10.760 --> 00:02:12.720]   It's called stained glass window.
[00:02:12.720 --> 00:02:13.720]   Right?
[00:02:13.720 --> 00:02:14.720]   Stained glass window.
[00:02:14.720 --> 00:02:22.040]   Now classical church buildings all have stained glass window and this tradition goes back
[00:02:22.040 --> 00:02:26.600]   to many, many years ago to the 12th century actually.
[00:02:26.600 --> 00:02:37.000]   And when there was a profound insight into the symbol of God as light.
[00:02:37.000 --> 00:02:48.000]   So whoever that, who has that insight is a theologian.
[00:02:48.000 --> 00:02:54.160]   He replaced the entire wall of the church with stained glass window so that sunlight,
[00:02:54.160 --> 00:02:58.080]   natural light can come through and shine on us.
[00:02:58.080 --> 00:03:04.360]   And each of the pieces, each of the pieces in the stained glass window is a craft by
[00:03:04.360 --> 00:03:10.120]   a craftsman and they set together and the result of is a masterpiece of a beautiful
[00:03:10.120 --> 00:03:12.880]   work and each piece is limited.
[00:03:12.880 --> 00:03:22.200]   However, every piece come together, it will become a whole more beautiful picture.
[00:03:22.200 --> 00:03:45.680]   And the story we're reading today from the book of Genesis, remind us this fact that
[00:03:45.680 --> 00:03:51.640]   God is the craftsman and he collect all the broken pieces, broken lives and to form a
[00:03:51.640 --> 00:04:03.880]   picture that will bless the whole world.
[00:04:03.880 --> 00:04:11.360]   And last time we saw that God has made a promise to Abraham, the father of God's people in
[00:04:11.360 --> 00:04:18.640]   Genesis 12, 1 to 3.
[00:04:18.640 --> 00:04:24.200]   Let me read the last phrase, which is most important is that God promises Abraham that
[00:04:24.200 --> 00:04:36.360]   he will make him to be a blessing and all peoples on earth will be blessed through you.
