
[00:00:00.000 --> 00:00:02.000]  為我們講道 現在將時間交給他
[00:00:02.000 --> 00:00:07.000]  早晨 各位姐妹 今天下雨
[00:00:07.000 --> 00:00:10.000]  希望大家來到沒有問題
[00:00:10.000 --> 00:00:12.000]  我們開始一個新的系列
[00:00:12.000 --> 00:00:16.000]  叫做Providence 上主的護理
[00:00:16.000 --> 00:00:18.000]  God's Providence
[00:00:18.000 --> 00:00:22.000]  我們會看很多的聖經
[00:00:22.000 --> 00:00:26.000]  特別是看創世紀約瑟的故事
[00:00:26.000 --> 00:00:28.000]  Joseph的Story
[00:00:28.000 --> 00:00:32.000]  希望這個系列能夠幫助大家
[00:00:32.000 --> 00:00:34.000]  思想一下我們人生每一個階段
[00:00:34.000 --> 00:00:36.000]  我們經過的每一步
[00:00:36.000 --> 00:00:39.000]  很重要 聖經裡面有一個很寶貴的教導
[00:00:39.000 --> 00:00:41.000]  我們將它囊括起來
[00:00:41.000 --> 00:00:43.000]  就叫做Providence
[00:00:43.000 --> 00:00:45.000]  Providence是什麼意思呢
[00:00:45.000 --> 00:00:48.000]  Pro-Videre
[00:00:48.000 --> 00:00:50.000]  Pro 即是說
[00:00:50.000 --> 00:00:52.000]  Ahead的意思
[00:00:52.000 --> 00:00:55.000]  預先 之前 事先
[00:00:55.000 --> 00:00:57.000]  Videre
[00:00:57.000 --> 00:00:59.000]  To see的意思
[00:00:59.000 --> 00:01:00.000]  拉丁文來的
[00:01:00.000 --> 00:01:02.000]  Seeing Vision
[00:01:02.000 --> 00:01:06.000]  這個教義 或者聖經裡面的教導
[00:01:06.000 --> 00:01:09.000]  告訴我們上主 上帝
[00:01:09.000 --> 00:01:13.000]  是去到看著 預先
[00:01:13.000 --> 00:01:16.000]  看到我們走的每一步
[00:01:16.000 --> 00:01:20.000]  這個教義是一個很寶貴的教導
[00:01:20.000 --> 00:01:24.000]  告訴我們上帝不單是創造萬有
[00:01:24.000 --> 00:01:27.000]  他也是護理著 去到take care著
[00:01:27.000 --> 00:01:29.000]  所有的一切
[00:01:29.000 --> 00:01:31.000]  天下的萬無 whatsoever
[00:01:31.000 --> 00:01:34.000]  所有都在上帝的視覺裡面
[00:01:34.000 --> 00:01:37.000]  或者在上帝自己的管理裡面
[00:01:37.000 --> 00:01:39.000]  這個就叫做Providence
[00:01:39.000 --> 00:01:41.000]  所以我們去思想一下
[00:01:41.000 --> 00:01:44.000]  這個topic和我們有什麼關係
