
[00:00:00.000 --> 00:00:05.480]  以往我們一直在說創世紀一到六章頭
[00:00:05.480 --> 00:00:09.480]  都是在比對近東的文獻
[00:00:09.480 --> 00:00:11.480]  我經常都struggle(掙扎)
[00:00:11.480 --> 00:00:14.480]  我掙扎的地方就是
[00:00:14.480 --> 00:00:18.980]  去到洪水的時候就會引起很多很敏感的問題
[00:00:18.980 --> 00:00:24.480]  因為等一下我會講到洪水的記載故事
[00:00:24.480 --> 00:00:31.480]  其實是非常相似近東的洪水故事
[00:00:31.480 --> 00:00:36.480]  特別是Gilgamesh epic 很相似的記載
[00:00:36.480 --> 00:00:42.480]  所以會引發我們很多不同的爭議
[00:00:42.480 --> 00:00:45.480]  所以我覺得有很多東西需要交代
[00:00:45.480 --> 00:00:49.480]  之前交代過聖經考古學的方法是怎樣
[00:00:49.480 --> 00:00:51.480]  洪水的毀滅層等等
[00:00:51.480 --> 00:00:57.480]  洪水的掩蓋當時所知的世界
[00:00:57.480 --> 00:00:59.480]  還是我們現在的全球
[00:00:59.480 --> 00:01:04.480]  我都有一些思考的過程
[00:01:04.480 --> 00:01:07.480]  有些方法要去掌握
[00:01:07.480 --> 00:01:10.480]  這裡我都想用一些時間
[00:01:10.480 --> 00:01:14.480]  暫時去看看比對研究的必要
[00:01:14.480 --> 00:01:16.480]  發展和方法
[00:01:16.480 --> 00:01:18.480]  因為這些東西不掌握好
[00:01:18.480 --> 00:01:21.480]  我們聽了洪水的故事
[00:01:21.480 --> 00:01:24.480]  和近東的洪水故事去比較的時候
[00:01:24.480 --> 00:01:31.480]  很快就會引發出很多不同的問題
[00:01:31.480 --> 00:01:33.480]  正因為這個緣故
[00:01:33.480 --> 00:01:36.480]  所以我覺得不如我們先將
[00:01:36.480 --> 00:01:39.480]  我們這個比對研究的方法掌握了
[00:01:39.480 --> 00:01:42.480]  特別是在過去百多年
[00:01:42.480 --> 00:01:46.480]  對這個比對研究的發展
[00:01:46.480 --> 00:01:49.480]  到底有什麼是錯了的地方
[00:01:49.480 --> 00:01:53.480]  現在知道怎樣去修正
[00:01:53.480 --> 00:01:57.480]  怎樣用這個方法去正確
[00:01:57.480 --> 00:02:00.480]  所以在這幾節我們嘗試用一些時間
[00:02:00.480 --> 00:02:02.480]  來看看這個comparative studies
[00:02:02.480 --> 00:02:04.480]  或者comparative approach
[00:02:04.480 --> 00:02:07.480]  比對研究到底是什麼呢
[00:02:07.480 --> 00:02:09.480]  首先第一個問題問你的
[00:02:09.480 --> 00:02:12.480]  如果你是18世紀之前
[00:02:12.480 --> 00:02:16.480]  即是1800年之前的人
[00:02:16.480 --> 00:02:18.480]  當時我們在歐洲
[00:02:18.480 --> 00:02:22.480]  我們都有些歐洲的畫
[00:02:22.480 --> 00:02:27.480]  如果我們當時在1800年之前
[00:02:27.480 --> 00:02:32.480]  我們會對聖經的背景有什麼認識呢
[00:02:32.480 --> 00:02:36.480]  你覺得如果我們回到歐洲
[00:02:36.480 --> 00:02:37.480]  我們做歐洲人
[00:02:37.480 --> 00:02:38.480]  18世紀之前
[00:02:38.480 --> 00:02:42.480]  我們會對聖經的認識
[00:02:42.480 --> 00:02:45.480]  或者對聖經背景的認識會是怎樣呢
[00:02:45.480 --> 00:02:48.480]  所以你想一想
[00:02:48.480 --> 00:02:52.480]  當時的人對聖經背景的認識是怎樣呢
[00:02:52.480 --> 00:02:54.480]  你看一看那些畫就知道
[00:02:54.480 --> 00:02:56.480]  這幅畫呢
[00:02:56.480 --> 00:03:01.480]  這幅畫是1563年所畫的
[00:03:01.480 --> 00:03:02.480]  18世紀之前
[00:03:02.480 --> 00:03:05.480]  你看到他在畫什麼
[00:03:05.480 --> 00:03:08.480]  在畫什麼呢
[00:03:08.480 --> 00:03:10.480]  在畫哪個聖經故事呢
[00:03:10.480 --> 00:03:13.480]  這幅畫叫做Tower of Babel
[00:03:13.480 --> 00:03:17.480]  就是巴別塔這個故事
[00:03:17.480 --> 00:03:19.480]  你看到他畫這個巴別塔的時候
[00:03:19.480 --> 00:03:21.480]  是圓形的
[00:03:21.480 --> 00:03:25.480]  然後好像羅馬的Colosseum
[00:03:25.480 --> 00:03:28.480]  或者歐洲式的建築
[00:03:28.480 --> 00:03:34.480]  你看到這些人在下面都是在作石等等
[00:03:34.480 --> 00:03:38.480]  是歐洲人來的
[00:03:38.480 --> 00:03:41.480]  你看到這個巴別塔的故事
[00:03:41.480 --> 00:03:46.480]  他畫成為歐洲色彩的故事
[00:03:46.480 --> 00:03:48.480]  18世紀之前的人
[00:03:48.480 --> 00:03:56.480]  對近東聖經的背景幾乎是沒有的
[00:03:56.480 --> 00:04:02.480]  所以引發了當時的人對聖經的理解
[00:04:02.480 --> 00:04:04.480]  特別是對巴別塔的故事
[00:04:04.480 --> 00:04:08.480]  他們就會用了當時歐洲色彩的東西
[00:04:08.480 --> 00:04:10.480]  來想像出來
[00:04:10.480 --> 00:04:13.480]  我們為什麼需要有比對研究
[00:04:13.480 --> 00:04:15.480]  為什麼需要明白聖經的背景呢
[00:04:15.480 --> 00:04:18.480]  就是因為我們沒有一個人看聖經的時候
[00:04:18.480 --> 00:04:19.480]  是一張白紙
[00:04:19.480 --> 00:04:23.480]  我們總會帶著某些文化的認知
[00:04:23.480 --> 00:04:25.480]  或者一些預設
[00:04:25.480 --> 00:04:29.480]  我們會去看聖經
