
[00:00:00.000 --> 00:00:08.900]  我們說大衛城 石安 耶路撒冷 原本的耶路撒冷
[00:00:08.900 --> 00:00:12.800]  是四面環山 所有的山都比它更高
[00:00:12.800 --> 00:00:16.900]  這裡有一個影片是我在大衛城上拍攝的
[00:00:16.900 --> 00:00:24.700]  做一個360度的循環的時候 你就可以看到地景是怎樣
[00:00:24.700 --> 00:00:31.800]  現在我們在大衛城站著 向著北面看
[00:00:31.800 --> 00:00:36.800]  北面就是聖殿山 金頂清真寺就在這裡後面
[00:00:36.800 --> 00:00:43.300]  金頂清真寺前面有一個叫Alakzmar 另外一個清真寺
[00:00:43.300 --> 00:00:51.400]  你看到地理上是比較高一點 比我站的地方高一點
[00:00:51.400 --> 00:00:59.400]  現在向北看 如果我繼續向東移動的時候
[00:00:59.400 --> 00:01:04.400]  你會發現我這裡看到的是鑒欖山
[00:01:04.400 --> 00:01:08.400]  鑒欖山上面有畫圖 說到耶路撒冷被毀
[00:01:08.400 --> 00:01:11.400]  這個很合理的 因為它對著耶路撒冷說
[00:01:11.400 --> 00:01:16.400]  馬卡科第24章 馬卡科第13章
[00:01:16.400 --> 00:01:24.400]  鑒欖山比我現在站的地方 拍攝影片的地方更高
[00:01:24.400 --> 00:01:35.400]  然後我再向東看的時候 你會看到山的地景比較高
[00:01:35.400 --> 00:01:43.400]  因為你不會看到山背後的東西 山背後的就是礦野到死海
[00:01:43.400 --> 00:01:47.400]  但是在大衛城 耶路撒冷是看不到礦野的
[00:01:47.400 --> 00:01:52.400]  因為有個山在擋住 然後到南面
[00:01:52.400 --> 00:02:02.400]  大衛城的南面 下面就有一些考古的法國等等
[00:02:02.400 --> 00:02:05.400]  是屬於耶布斯人的時期
[00:02:05.400 --> 00:02:11.400]  這裡就是我所說的公園 還有聯合國的總部
[00:02:11.400 --> 00:02:16.400]  聯合國在以色列的總部 就在這裡上面
[00:02:16.400 --> 00:02:21.400]  這裡看過來就是往下
[00:02:21.400 --> 00:02:25.400]  我們現在錄影的地方就是往上
[00:02:25.400 --> 00:02:28.400]  所以南面也是有山峰阻礙著
[00:02:28.400 --> 00:02:34.400]  然後我們再往西去看 是不是又高一點
[00:02:34.400 --> 00:02:40.400]  這裡有個天主教教堂 是紀念聖母瑪利亞的
[00:02:40.400 --> 00:02:47.400]  也有個教堂的鐘塔
[00:02:47.400 --> 00:02:51.400]  這裡就是所謂的西山
[00:02:51.400 --> 00:02:55.400]  我們站的這個地方就是西山
[00:02:55.400 --> 00:03:00.400]  我們再回到360度 回頭的時候
[00:03:00.400 --> 00:03:04.400]  你就會看到 回到北面
[00:03:04.400 --> 00:03:10.400]  又是回到青春節
[00:03:10.400 --> 00:03:16.400]  所以東南西北都是有山環繞著
[00:03:16.400 --> 00:03:21.400]  這個正是詩篇125篇裡面所說的
[00:03:21.400 --> 00:03:26.400]  說什麼呢 以靠耶和華的好將石安山
[00:03:26.400 --> 00:03:30.400]  坐穩坐定永不動搖
[00:03:30.400 --> 00:03:34.400]  眾山怎樣圍繞耶路撒冷
[00:03:34.400 --> 00:03:38.400]  他就是在說本地的地理
[00:03:38.400 --> 00:03:43.400]  本地的地理就是要有東西圍著它
[00:03:43.400 --> 00:03:45.400]  你才能夠說到這件事
[00:03:45.400 --> 00:03:55.400]  所以無論誰寫詩篇125篇
[00:03:55.400 --> 00:03:59.400]  一定是很熟悉當地的地理
[00:03:59.400 --> 00:04:03.400]  如果不是的話就寫不出來
[00:04:03.400 --> 00:04:05.400]  眾山怎樣圍繞耶路撒冷
[00:04:05.400 --> 00:04:08.400]  他就看到地理是這樣
[00:04:08.400 --> 00:04:14.400]  然後又從地理引伸出神學
[00:04:14.400 --> 00:04:16.400]  眾山怎樣圍繞耶路撒冷
