
[00:00:00.000 --> 00:00:01.780]  歡迎參加《舊日網上行》
[00:00:01.780 --> 00:00:03.180]  我們這次是第二集
[00:00:03.180 --> 00:00:05.840]  在《網上行》我們就是去不同的地方
[00:00:05.840 --> 00:00:07.080]  去到聖經的世界
[00:00:07.080 --> 00:00:09.580]  我們去聽一下別人的觀點
[00:00:09.580 --> 00:00:13.440]  我們不要硬是將我們自己現代人的觀點
[00:00:13.440 --> 00:00:15.540]  套到聖經身上
[00:00:15.540 --> 00:00:17.400]  其實你想深一層
[00:00:17.400 --> 00:00:20.480]  《網上行》是一個超時空的旅程
[00:00:20.480 --> 00:00:22.200]  我們回到以前
[00:00:22.200 --> 00:00:25.840]  地理、考古等等的資料幫助我們
[00:00:25.840 --> 00:00:27.740]  去到古代聖經的世界
[00:00:28.000 --> 00:00:32.840]  我們先聽一下以前的人他們在想什麼
[00:00:32.840 --> 00:00:36.700]  不要覺得古代的人還沒有開發
[00:00:36.700 --> 00:00:38.040]  沒有文明
[00:00:38.040 --> 00:00:40.140]  我們現代人就不同了
[00:00:40.140 --> 00:00:42.240]  這個想法
[00:00:42.240 --> 00:00:45.740]  就是希望在《網上行》裡面我們能夠改正
[00:00:45.740 --> 00:00:48.200]  聽一下古代聖經世界
[00:00:48.200 --> 00:00:51.840]  直到他們來啟示真理的時候
[00:00:51.840 --> 00:00:53.340]  我們就能夠了解
[00:00:53.340 --> 00:00:56.600]  上帝今時今日會跟我們說什麼話
[00:00:57.200 --> 00:01:02.200]  《網上行》 歌手:李宗盛 詞:李宗盛 曲:李宗盛
[00:01:02.200 --> 00:01:30.000]  上一次去比對過一些近東的
[00:01:30.000 --> 00:01:32.000]  講到起源的歷史
[00:01:32.400 --> 00:01:34.800]  近東很多時候有一些神話
[00:01:34.800 --> 00:01:39.000]  但是我們發現這些記載、文獻
[00:01:39.000 --> 00:01:41.400]  他們的技術手法
[00:01:41.400 --> 00:01:42.900]  講的主題
[00:01:42.900 --> 00:01:46.800]  往往都有跟聖經有很多相似的地方
[00:01:46.800 --> 00:01:49.200]  但是你再想深一層
[00:01:49.200 --> 00:01:52.000]  其實本質上是有很大的差別的
[00:01:52.000 --> 00:01:57.700]  所以聖經就是跟當時近東的神話
[00:01:57.700 --> 00:01:59.200]  去做對話
[00:01:59.500 --> 00:02:02.000]  或者甚至做一些爭辯
