
[00:00:00.000 --> 00:00:02.000]  謝謝
[00:00:02.000 --> 00:00:06.800]  早安,弟兄姊妹
[00:00:06.800 --> 00:00:10.200]  很感恩今天可以在這裡繼續跟大家靜悄悄
[00:00:10.200 --> 00:00:14.440]  其實我也是幾個小時前才回到芝加哥
[00:00:14.440 --> 00:00:20.760]  很感恩,因為差不多還有30分鐘到達的時候
[00:00:20.760 --> 00:00:23.880]  突然間屏幕顯示說還有兩個小時才到達
[00:00:23.880 --> 00:00:27.240]  我想不是吧,是不是弄錯了
[00:00:27.240 --> 00:00:31.920]  原來是因為天氣的關係,飛機降落不了
[00:00:31.920 --> 00:00:34.000]  我們就在天空的上空
[00:00:34.000 --> 00:00:38.000]  我看著圖片在轉圈轉圈
[00:00:38.000 --> 00:00:39.520]  當我想在這裡埋怨的時候
[00:00:39.520 --> 00:00:44.120]  我就突然想起安全到達最重要
[00:00:44.120 --> 00:00:47.000]  轉多少個圈都不要緊
[00:00:47.000 --> 00:00:51.440]  況且我上飛機之前已經帶了很多零食在袋子裡
[00:00:51.440 --> 00:00:53.680]  可以熬到今天早上
[00:00:53.680 --> 00:00:58.280]  所以幾個小時前才可以回到芝加哥,很感恩
[00:00:58.280 --> 00:01:01.960]  上個月我跟大家分享過《肥李門書》
[00:01:01.960 --> 00:01:07.120]  一封只有一章經文的求情信
[00:01:07.120 --> 00:01:11.080]  內容是說一個奴隸,他叫做阿尼西牟
[00:01:11.080 --> 00:01:14.160]  冒犯了他的主人,肥李門
[00:01:14.160 --> 00:01:18.280]  普遍推測是這個奴隸偷了錢
[00:01:18.280 --> 00:01:23.360]  或者是他被派去做一些事情
[00:01:23.360 --> 00:01:25.200]  但是一去不返
[00:01:25.200 --> 00:01:27.280]  總之就逃走了
[00:01:27.280 --> 00:01:30.360]  按照當時羅馬的法律
[00:01:30.360 --> 00:01:32.960]  協助逃走的奴隸的人
[00:01:32.960 --> 00:01:35.840]  是要賠償主人的損失
[00:01:35.840 --> 00:01:37.160]  無論什麼原因
[00:01:37.160 --> 00:01:39.160]  這封信的主要目的
[00:01:39.160 --> 00:01:43.400]  是保羅懇求肥李門不計前嫌
[00:01:43.400 --> 00:01:46.280]  重新接納阿尼西牟
[00:01:46.280 --> 00:01:47.680]  之前那一課叫做
[00:01:47.680 --> 00:01:51.600]  《福音如何重新定義人與人之間的關係》
[00:01:51.600 --> 00:01:54.200]  提到當中三個的關係
[00:01:54.200 --> 00:01:56.000]  因為福音的介入
[00:01:56.000 --> 00:01:59.320]  所有關係都要重新定位
[00:01:59.320 --> 00:02:02.040]  不再是搭檔,不再是父子
[00:02:02.040 --> 00:02:04.760]  也不再是主人和奴隸
[00:02:04.760 --> 00:02:07.040]  全世界一起升級
[00:02:07.040 --> 00:02:08.880]  成為天父的兒女
[00:02:08.880 --> 00:02:10.760]  在主裡面是弟兄姊妹
[00:02:10.760 --> 00:02:12.440]  去到總結的部分
[00:02:12.440 --> 00:02:15.440]  更加提到保羅因為基督耶穌
[00:02:15.440 --> 00:02:18.080]  因為要成就福音的關係
[00:02:18.080 --> 00:02:20.520]  以身作則、牧養
[00:02:20.520 --> 00:02:22.000]  懇求肥李門
[00:02:22.000 --> 00:02:25.280]  亦同時懇求你和我
[00:02:25.280 --> 00:02:27.920]  這一群跟隨耶穌基督的人
[00:02:27.920 --> 00:02:30.520]  願意遵從聖靈的引領
[00:02:30.520 --> 00:02:34.000]  讓福音去接管你的意願
[00:02:34.000 --> 00:02:37.960]  去原諒、接納一些虧欠你、得罪你的人
[00:02:37.960 --> 00:02:39.800]  藉著福音去重建
[00:02:39.800 --> 00:02:43.680]  重新定義你和人之間的關係
[00:02:43.680 --> 00:02:46.600]  今天我們再一次看肥李門書
[00:02:46.600 --> 00:02:54.320]  思考肥李門對眾聖徒的信心、愛心
[00:02:54.320 --> 00:02:56.120]  對主耶穌的信心
[00:02:56.120 --> 00:02:59.400]  去思考教會群體的功課
[00:02:59.400 --> 00:03:03.520]  第二堂《愛回家》教會群體的功課
[00:03:03.520 --> 00:03:05.720]  我們先一起低頭祈禱
