
[00:00:00.000 --> 00:00:01.360]  好,頂姊妹早安
[00:00:01.360 --> 00:00:03.080]  話這麼快
[00:00:03.080 --> 00:00:06.800]  我的UV實習已經到了尾聲
[00:00:06.800 --> 00:00:11.000]  4月開始,經過學校對我的評估後
[00:00:11.000 --> 00:00:12.320]  我會正式成為一個
[00:00:12.320 --> 00:00:14.760]  Special Director,靈性指導
[00:00:14.760 --> 00:00:17.920]  這段日子對我來說非常寶貴
[00:00:17.920 --> 00:00:20.480]  首先感謝頂姊妹對我的愛惜
[00:00:20.480 --> 00:00:24.080]  有很多好湯喝,有人請我吃飯
[00:00:24.080 --> 00:00:27.720]  亦感謝大家對我的信任
[00:00:27.800 --> 00:00:33.320]  跟我分享在你們生命中的掙扎、成長
[00:00:33.320 --> 00:00:35.120]  信仰上的瓶頸位置
[00:00:35.120 --> 00:00:38.040]  甚至是受傷的地方
[00:00:38.040 --> 00:00:42.160]  靈性指導是跟人深入同行
[00:00:42.160 --> 00:00:45.480]  探討生命的問題
[00:00:45.480 --> 00:00:47.720]  以及一起學習聆聽自己
[00:00:47.720 --> 00:00:50.200]  以及聆聽神的過程
[00:00:50.200 --> 00:00:56.680]  所以我經常會用問題帶人反思
[00:00:57.240 --> 00:00:59.000]  來見我的頂姊妹
[00:00:59.000 --> 00:01:01.080]  都會帶來不同的問題
[00:01:01.080 --> 00:01:02.400]  以下我所說的東西
[00:01:02.400 --> 00:01:04.080]  全都會經過當事人批准
[00:01:04.080 --> 00:01:05.520]  我才會在台上說
[00:01:05.520 --> 00:01:09.040]  其中一個問題最多人問的就是
[00:01:09.040 --> 00:01:10.840]  我應該怎麼做
[00:01:10.840 --> 00:01:13.080]  會問我要怎麼做
[00:01:13.080 --> 00:01:16.880]  亦有一些很有趣的問題
[00:01:16.880 --> 00:01:18.640]  我經歷過,就是會問
[00:01:18.640 --> 00:01:20.320]  Bella,今天神有甚麼事
[00:01:20.320 --> 00:01:22.480]  透過你跟我說嗎
[00:01:22.480 --> 00:01:26.520]  或者神有否給你一段經文
[00:01:26.600 --> 00:01:30.160]  那一刻我有點感覺自己像神婆
[00:01:30.160 --> 00:01:32.560]  「你回去用藥褔飲」
[00:01:32.560 --> 00:01:34.760]  「三張十六折沖水飲」
[00:01:34.760 --> 00:01:37.360]  「藥到病除」
[00:01:37.360 --> 00:01:41.280]  「靈的話,記得出門後多添點香油」
[00:01:41.280 --> 00:01:44.400]  我想說,如果人生的問題
[00:01:44.400 --> 00:01:47.880]  可以用金句「回去煲水」
[00:01:47.880 --> 00:01:49.000]  「半碗煲為半桶水」
[00:01:49.000 --> 00:01:51.360]  喝了它就能解決
[00:01:51.360 --> 00:01:53.520]  你說人生多好,對吧
[00:01:53.520 --> 00:01:55.160]  但很可惜
[00:01:55.240 --> 00:01:57.400]  很多時候人生的問題
[00:01:57.400 --> 00:02:01.440]  遇到時都很不容易有答案
[00:02:01.440 --> 00:02:03.480]  特別是苦難的問題
[00:02:03.480 --> 00:02:07.200]  人生裡面,在面對苦難時
[00:02:07.200 --> 00:02:09.480]  很多時候都很想找答案
[00:02:09.480 --> 00:02:11.440]  是一件很自然的事
[00:02:11.440 --> 00:02:14.200]  今天我想帶大家看《藥伯記》
[00:02:14.200 --> 00:02:17.080]  藥伯這個苦難的人生
[00:02:17.080 --> 00:02:20.760]  他卻面對著上帝對他發問的問題
[00:02:20.760 --> 00:02:22.800]  而遇見上帝
[00:02:22.880 --> 00:02:26.440]  我想說,《藥伯記》…
[00:02:26.440 --> 00:02:28.400]  所以我今天說的題目
[00:02:28.400 --> 00:02:31.000]  就是「在問題中遇見神」
