
[00:00:00.000 --> 00:00:02.000]  頂尖妹平安
[00:00:02.000 --> 00:00:06.280]  今天想一齊思考的這段經文
[00:00:06.280 --> 00:00:10.680]  相信是大家滾瓜爛熟的一段經文
[00:00:10.680 --> 00:00:14.120]  也是猜拳聯會或者粉輕會
[00:00:14.120 --> 00:00:16.120]  經常出現的主題
[00:00:16.120 --> 00:00:19.680]  《馬太福音》28章18至20節
[00:00:19.680 --> 00:00:22.480]  沒錯 就是《大侍命》
[00:00:22.480 --> 00:00:25.120]  雖然《大侍命》這個名稱
[00:00:25.120 --> 00:00:29.800]  其實在經文本身是沒有用到的
[00:00:29.800 --> 00:00:31.640]  不會說耶穌說
[00:00:31.640 --> 00:00:35.120]  我現在將《大侍命》頒給你們
[00:00:35.120 --> 00:00:37.680]  但是我們也很容易接受
[00:00:37.680 --> 00:00:40.440]  這段經文會被稱為《大侍命》
[00:00:40.440 --> 00:00:41.640]  為什麼呢?
[00:00:41.640 --> 00:00:43.640]  因為的確我們也認同
[00:00:43.640 --> 00:00:46.040]  這段經文所帶出來的訊息
[00:00:46.040 --> 00:00:48.040]  傳福音這個訊息
[00:00:48.040 --> 00:00:50.840]  是我們凡跟隨主的人
[00:00:50.840 --> 00:00:53.360]  一個很重要很重要的任務
[00:00:53.360 --> 00:00:56.080]  最大最大的使命
[00:00:56.080 --> 00:01:00.480]  我今天想嘗試從《馬太福音》28章
[00:01:00.480 --> 00:01:03.680]  即這段經文本身的上下文
[00:01:03.680 --> 00:01:07.400]  去討論到底《大侍命》的內容
[00:01:07.400 --> 00:01:09.400]  和重要性在哪裡
[00:01:09.400 --> 00:01:13.800]  《馬太福音》28章18至20節
[00:01:13.800 --> 00:01:15.800]  18節這樣說
[00:01:15.800 --> 00:01:17.200]  「耶穌進前來
[00:01:17.200 --> 00:01:18.200]  對他們說
[00:01:18.200 --> 00:01:21.600]  天上地下所有的權柄都伺給我了
[00:01:21.600 --> 00:01:23.200]  所以你們要去
[00:01:23.200 --> 00:01:25.200]  使萬民作我的門徒
[00:01:25.200 --> 00:01:27.560]  奉父子聖靈的名
[00:01:27.560 --> 00:01:29.080]  給他們施洗
[00:01:29.080 --> 00:01:30.600]  凡我所吩咐你們的
[00:01:30.600 --> 00:01:32.280]  都教訓他們遵守
[00:01:32.280 --> 00:01:34.080]  我就常與你們同在
[00:01:34.080 --> 00:01:37.160]  直到世界的末了」
[00:01:37.160 --> 00:01:40.520]  我相信大家都很熟悉這段內容
[00:01:40.520 --> 00:01:41.840]  而且很明顯
[00:01:41.840 --> 00:01:44.080]  《大侍命》的主要的
[00:01:44.080 --> 00:01:47.080]  關鍵的核心在哪裡呢?
[00:01:47.080 --> 00:01:48.560]  就是19節
[00:01:48.560 --> 00:01:49.840]  「所以你們要去
[00:01:49.840 --> 00:01:51.320]  使萬民作我的門徒
[00:01:51.320 --> 00:01:52.720]  奉父子聖靈的名
[00:01:52.720 --> 00:01:54.440]  給他們施洗」
[00:01:54.440 --> 00:01:55.920]  或者20節的上半節
[00:01:55.920 --> 00:01:56.920]  「奉父子聖靈的名
[00:01:56.920 --> 00:01:57.440]  給他們施洗
[00:01:57.440 --> 00:01:57.440]  凡我所吩咐你們的
[00:01:57.440 --> 00:01:59.320]  都教訓他們遵守」
[00:01:59.320 --> 00:02:01.720]  甚至你可能聽過
[00:02:01.720 --> 00:02:04.760]  這句句子在文法上
[00:02:04.760 --> 00:02:07.200]  唯一一句的命令句
[00:02:07.200 --> 00:02:08.920]  imperative在哪裡呢?
[00:02:08.920 --> 00:02:11.800]  就是「使萬民作我的門徒」
[00:02:11.800 --> 00:02:14.520]  而另外包括去
[00:02:14.520 --> 00:02:15.600]  施洗
[00:02:15.600 --> 00:02:16.720]  或者教導
[00:02:16.720 --> 00:02:18.120]  其實都是participle
[00:02:18.120 --> 00:02:19.640]  是分詞
[00:02:19.640 --> 00:02:20.840]  再直接一點
[00:02:20.840 --> 00:02:21.960]  再簡單一點
[00:02:21.960 --> 00:02:23.040]  這樣來說
[00:02:23.040 --> 00:02:25.640]  《大侍命》最核心的內容是什麼呢?
[00:02:25.640 --> 00:02:28.640]  就是「使人作門徒」
[00:02:28.640 --> 00:02:31.240]  而其他另外三個的分詞
[00:02:31.240 --> 00:02:32.600]  是怎樣去做到
[00:02:32.600 --> 00:02:33.800]  或者是manner
[00:02:33.800 --> 00:02:35.040]  或者是means
[00:02:35.040 --> 00:02:37.880]  怎樣去
[00:02:37.880 --> 00:02:40.040]  然後替人施洗
[00:02:40.040 --> 00:02:42.040]  教導別人
[00:02:42.040 --> 00:02:46.000]  而去達到使命的目的
[00:02:46.000 --> 00:02:48.360]  就是「使人作門徒」
[00:02:48.360 --> 00:02:49.800]  所以今天
[00:02:49.800 --> 00:02:52.600]  其實我只想專注在一件事
[00:02:52.600 --> 00:02:54.000]  怎樣「作門徒」呢?
[00:02:54.000 --> 00:02:57.880]  既然「使人作門徒」
[00:02:57.880 --> 00:03:01.560]  是《大侍命》最核心的關鍵
[00:03:01.560 --> 00:03:03.000]  我們必須要理解
[00:03:03.000 --> 00:03:05.320]  怎樣「使人作門徒」呢?
[00:03:05.320 --> 00:03:06.280]  當然
[00:03:06.280 --> 00:03:08.280]  門徒訓練這個課題
[00:03:08.280 --> 00:03:10.040]  在這幾十年裏面
[00:03:10.040 --> 00:03:14.160]  在基督教圈子是熱門話題
[00:03:14.160 --> 00:03:15.160]  你去坊間
[00:03:15.160 --> 00:03:16.160]  無論看書
[00:03:16.160 --> 00:03:18.000]  或者參與很多課程
[00:03:18.000 --> 00:03:19.680]  都有很多討論
[00:03:19.680 --> 00:03:23.440]  今天我只想看《馬太福音》28章
[00:03:23.440 --> 00:03:25.440]  本身這段經文
[00:03:25.440 --> 00:03:28.080]  特別是整章28章
[00:03:28.080 --> 00:03:30.880]  去討論原來
[00:03:30.880 --> 00:03:33.840]  門徒有一個必要的條件
[00:03:33.840 --> 00:03:37.200]  門徒有一個必要的條件
[00:03:37.200 --> 00:03:40.720]  我們回到28章的開頭
[00:03:40.720 --> 00:03:41.920]  28章的開頭
[00:03:41.920 --> 00:03:42.800]  一至七節
[00:03:42.800 --> 00:03:45.080]  我們先讀一到七節
[00:03:45.080 --> 00:03:47.080]  一到七節是這樣說的
[00:03:47.080 --> 00:03:49.880]  「安息日將盡,七日的頭一日
[00:03:49.880 --> 00:03:51.480]  天快亮的時候
[00:03:51.480 --> 00:03:54.520]  活大拉的瑪利亞和那個瑪利亞
[00:03:54.520 --> 00:03:56.360]  來看墳墓」
[00:03:56.360 --> 00:03:57.360]  這裏提到
[00:03:57.360 --> 00:03:59.760]  整件事在哪裏發生呢?
[00:03:59.760 --> 00:04:03.240]  在墳墓旁邊發生的
[00:04:03.240 --> 00:04:05.400]  「忽然地帶震動
[00:04:05.400 --> 00:04:06.720]  因為有主的使者
[00:04:06.720 --> 00:04:09.640]  從天上下來把石頭滾開
[00:04:09.640 --> 00:04:10.760]  坐在上面
[00:04:10.760 --> 00:04:12.880]  他的相貌如同閃電
[00:04:12.880 --> 00:04:14.880]  衣服潔白如雪
[00:04:14.880 --> 00:04:16.880]  開手的人因他而嚇得
[00:04:16.880 --> 00:04:18.640]  渾身亂顫
[00:04:18.640 --> 00:04:20.640]  甚至死刃一樣
[00:04:20.640 --> 00:04:22.400]  天使對婦女說
[00:04:22.400 --> 00:04:23.360]  不要害怕
[00:04:23.360 --> 00:04:28.400]  我知道你們是尋找那釘十字架的耶穌」
[00:04:28.400 --> 00:04:30.200]  所以整個發生
[00:04:30.200 --> 00:04:32.840]  是在墳墓旁邊發生的
[00:04:32.840 --> 00:04:33.960]  而那個墳墓是誰呢?
[00:04:33.960 --> 00:04:38.360]  是釘十字架耶穌的墳墓
[00:04:38.360 --> 00:04:39.960]  第六節
[00:04:39.960 --> 00:04:41.760]  「他不在這裏」
[00:04:41.760 --> 00:04:43.760]  所以是一個空墳墓
[00:04:43.760 --> 00:04:46.280]  當然我們剛剛慶祝伊斯塔
[00:04:46.280 --> 00:04:48.480]  「照他所說的
[00:04:48.480 --> 00:04:50.480]  已經復活了」
[00:04:50.480 --> 00:04:52.960]  我們停一停在這裏
