
[00:00:00.000 --> 00:00:02.000]  感恩節快樂
[00:00:02.000 --> 00:00:05.400]  不如我們先和大家互相前前後後
[00:00:05.400 --> 00:00:06.600]  左左右右
[00:00:06.600 --> 00:00:08.600]  說一聲感恩節快樂
[00:00:08.600 --> 00:00:17.200]  首先在這裡我很想感謝大家
[00:00:17.200 --> 00:00:20.600]  寫給我的卡和送給我的禮物
[00:00:20.600 --> 00:00:23.600]  起初我不太明白
[00:00:23.600 --> 00:00:27.200]  為什麼Mark Sir這麼隆重期待
[00:00:27.200 --> 00:00:30.200]  為什麼Mark Sir這麼隆重期待
[00:00:30.200 --> 00:00:32.800]  這個教務感恩的事情
[00:00:32.800 --> 00:00:34.400]  或者我自己覺得
[00:00:34.400 --> 00:00:36.800]  好像要別人感謝我好像有點怪
[00:00:36.800 --> 00:00:39.200]  好像有點不好意思很噁心
[00:00:39.200 --> 00:00:42.200]  但是想了想又覺得很有意思
[00:00:42.200 --> 00:00:43.600]  很甜蜜
[00:00:43.600 --> 00:00:46.600]  我在亞洲大學的時候上網
[00:00:46.600 --> 00:00:50.400]  我自己也很期待收到這些卡和禮物
[00:00:50.400 --> 00:00:53.200]  在這裡再一次感謝大家
[00:00:53.200 --> 00:00:59.200]  也感謝神今天可以在這裡和大家分享神的話語
[00:00:59.200 --> 00:01:02.200]  今天的經文是比較長的
[00:01:02.200 --> 00:01:05.200]  我不會和大家讀完
[00:01:05.200 --> 00:01:08.200]  但如果你不想只聽我說
[00:01:08.200 --> 00:01:11.200]  願意在家裡時間去探索一下經文
[00:01:11.200 --> 00:01:17.200]  今天的經文就在《列王記》下18、19章
[00:01:20.200 --> 00:01:25.200]  小時候我們三兄弟妹經常打架
[00:01:25.200 --> 00:01:29.200]  特別是我和哥哥打得最多
[00:01:29.200 --> 00:01:31.200]  雖然我不小
[00:01:31.200 --> 00:01:36.200]  但在我大哥哥利亞面前
[00:01:36.200 --> 00:01:39.200]  注定打不過
[00:01:39.200 --> 00:01:43.200]  但我的性格不會認輸走老
[00:01:43.200 --> 00:01:46.200]  所以我只有一個戰略
[00:01:46.200 --> 00:01:49.200]  唯一的戰略就是死忍
[00:01:49.200 --> 00:01:52.200]  無論打到多痛
[00:01:52.200 --> 00:01:54.200]  我都不會認輸
[00:01:54.200 --> 00:01:58.200]  咬緊牙根作戰到底
[00:01:58.200 --> 00:02:01.200]  打到大家筋疲力盡
[00:02:01.200 --> 00:02:04.200]  戰事才會結束
[00:02:04.200 --> 00:02:10.200]  《列王記》下18章13至19章37節
[00:02:10.200 --> 00:02:14.200]  處於弱勢的猶大希西加王
[00:02:14.200 --> 00:02:19.200]  對比這個強大的亞述亞拿基勒王
[00:02:19.200 --> 00:02:23.200]  打起來誰勝誰負
[00:02:23.200 --> 00:02:29.200]  勝利的一方又是靠什麼能戰勝對方
[00:02:29.200 --> 00:02:32.200]  今天講道的主題
[00:02:32.200 --> 00:02:35.200]  Final Say 最終話事權
[00:02:35.200 --> 00:02:39.200]  我們先低頭祈禱
[00:02:39.200 --> 00:02:42.200]  主你的名是應當稱頌的
[00:02:42.200 --> 00:02:44.200]  在列國中受尊崇
[00:02:44.200 --> 00:02:46.200]  求祢祝福你的話語
[00:02:46.200 --> 00:02:50.200]  祝福人能夠清心的來到你面前
[00:02:50.200 --> 00:02:52.200]  你的同在
[00:02:52.200 --> 00:02:53.200]  你的話語
[00:02:53.200 --> 00:02:56.200]  充滿等候你的人的心
[00:02:56.200 --> 00:02:58.200]  這樣祈禱
[00:02:58.200 --> 00:03:00.200]  奉主耶穌基督的聖名祈求
[00:03:00.200 --> 00:03:02.200]  Amen
[00:03:02.200 --> 00:03:06.200]  在舊約和古代的文獻記載
[00:03:06.200 --> 00:03:10.200]  希西加統治猶大國的年代
[00:03:10.200 --> 00:03:14.200]  最強大的勢力就是亞述
[00:03:14.200 --> 00:03:17.200]  大同勢是什麼意思呢
[00:03:17.200 --> 00:03:19.200]  公元前七百年的亞述
