
[00:00:00.000 --> 00:00:01.200]  有請Mark Sir
[00:00:01.200 --> 00:00:03.960]  好,謝謝…
[00:00:03.960 --> 00:00:09.440]  好,感謝主人給我們的熱身
[00:00:09.440 --> 00:00:12.120]  我們繼續看詩篇
[00:00:12.120 --> 00:00:15.080]  今天選了詩篇是第46篇
[00:00:15.080 --> 00:00:16.920]  46篇,記得是說甚麼嗎
[00:00:16.920 --> 00:00:20.160]  這篇詩篇是最多人知道的
[00:00:20.160 --> 00:00:24.480]  而且有很多家傳戶曉的經文和詩歌
[00:00:24.480 --> 00:00:27.360]  都是出自46篇,記得嗎
[00:00:27.440 --> 00:00:30.080]  記得有一句「你們要安靜」
[00:00:30.080 --> 00:00:31.400]  「要知道我是神」
[00:00:31.400 --> 00:00:34.200]  「Be still and know that I am God」
[00:00:34.200 --> 00:00:36.560]  記得嗎?就是從46篇出來的
[00:00:36.560 --> 00:00:40.240]  還有記得那些老牌信徒嗎
[00:00:40.240 --> 00:00:41.640]  應該記得有一首詩歌
[00:00:41.640 --> 00:00:43.480]  名為「Mighty Fortress」
[00:00:43.480 --> 00:00:45.120]  「你是我堅固保障」
[00:00:45.120 --> 00:00:46.480]  記得嗎
[00:00:46.480 --> 00:00:48.800]  這裡好像不是很多老牌信徒
[00:00:48.800 --> 00:00:51.680]  這些是很舊的詩歌
[00:00:51.680 --> 00:00:54.520]  就是以前改教之父
[00:00:54.600 --> 00:00:57.960]  大約四、五百年前Martin Luther
[00:00:57.960 --> 00:00:59.840]  寫的一首詩歌
[00:00:59.840 --> 00:01:03.000]  他的歌詞出自46篇詩篇
[00:01:03.000 --> 00:01:05.680]  但當Martin Luther寫這首
[00:01:05.680 --> 00:01:07.040]  名為「Mighty Fortress」
[00:01:07.040 --> 00:01:08.320]  「堅固保障」的時候
[00:01:08.320 --> 00:01:12.000]  他不是很安穩地在Lazy Boy上寫的
[00:01:12.000 --> 00:01:16.200]  他是在一個很大壓力的時間下
[00:01:16.200 --> 00:01:18.480]  當時改教一、五年多的時候
[00:01:18.480 --> 00:01:23.560]  他受到當時中世紀末段
[00:01:23.640 --> 00:01:27.680]  腐敗了的教廷迫害他
[00:01:27.680 --> 00:01:31.160]  於是在他的靈修和默想中
[00:01:31.160 --> 00:01:32.440]  他很掙扎
[00:01:32.440 --> 00:01:34.240]  然後看到46篇的時候
[00:01:34.240 --> 00:01:37.200]  他寫了一首名為「堅固保障」
[00:01:37.200 --> 00:01:39.040]  「上帝是我們堅固保障」
[00:01:39.040 --> 00:01:41.800]  不如我們一起看這篇詩篇,好嗎
[00:01:41.800 --> 00:01:43.960]  我們先讀,有11節
[00:01:43.960 --> 00:01:46.840]  今天無論你正在經歷甚麼
[00:01:46.840 --> 00:01:50.080]  可能你心裡有很多驚慌
[00:01:50.080 --> 00:01:52.920]  面對自己、面對前途
[00:01:53.000 --> 00:01:57.320]  或者面對你現在不同的處境、困境
[00:01:57.320 --> 00:02:00.120]  這首詩歌希望帶給你一些力量
[00:02:00.120 --> 00:02:01.840]  46篇,第一節
[00:02:01.840 --> 00:02:03.160]  「上帝是我們的避難所」
[00:02:03.160 --> 00:02:04.320]  「是我們的力量」
[00:02:04.320 --> 00:02:07.160]  「是我們患難中隨時的幫助」
[00:02:07.160 --> 00:02:11.160]  「所以地須改變,山須搖動到海深」
[00:02:11.160 --> 00:02:14.240]  「其中的水須澎湃翻騰」
[00:02:14.240 --> 00:02:17.560]  「山須因海漲而顫抖」
[00:02:17.560 --> 00:02:20.280]  「我們也不害怕」
[00:02:20.360 --> 00:02:24.520]  「有一條河,這條河分叉使上帝的城寬起」
[00:02:24.520 --> 00:02:28.160]  「這城就是至高者居住的聖所」
[00:02:28.160 --> 00:02:31.720]  「上帝在其中,城必不動搖」
[00:02:31.720 --> 00:02:35.240]  「到天一亮,上帝必幫助這城」
[00:02:35.240 --> 00:02:40.280]  「萬邦軒揚,國度動搖」
[00:02:40.280 --> 00:02:43.960]  「上帝出聲,地就融化」
[00:02:43.960 --> 00:02:46.400]  「萬君子也說與我們同在」
[00:02:46.400 --> 00:02:49.320]  「那國的上帝是我們的避難所」
[00:02:49.400 --> 00:02:51.960]  「你們來看耶和華的作為」
[00:02:51.960 --> 00:02:54.080]  「看他使地怎樣荒涼」
[00:02:54.080 --> 00:02:57.440]  「他止息戰爭直到地極」
[00:02:57.440 --> 00:03:02.840]  「他折弓斷槍,把戰車焚燒在火中」
[00:03:02.840 --> 00:03:06.960]  「你們要休息,要知道我是神」
[00:03:06.960 --> 00:03:10.120]  「我必在列國中受尊崇」
[00:03:10.120 --> 00:03:12.560]  「在全地也受尊崇」
[00:03:12.560 --> 00:03:15.760]  「耶和華與我們同在」
[00:03:15.760 --> 00:03:19.280]  「那國的上帝是我們的避難所」
[00:03:19.360 --> 00:03:23.120]  這篇詩篇很清楚有三節
[00:03:23.120 --> 00:03:26.840]  第一段提到我們如何信靠上帝
[00:03:26.840 --> 00:03:28.920]  以及祂的保護
[00:03:28.920 --> 00:03:31.560]  在第一至第三節
[00:03:31.560 --> 00:03:34.520]  提到上帝是我們的避難所
[00:03:34.520 --> 00:03:38.560]  留意這裡有一些字句、言詞
[00:03:38.560 --> 00:03:40.160]  是經常出現的
[00:03:40.160 --> 00:03:46.120]  例如「山」、「地」、「水」
[00:03:46.120 --> 00:03:46.960]  甚至是「海」
[00:03:47.040 --> 00:03:49.640]  哪樣東西出現得更多
[00:03:49.640 --> 00:03:52.600]  「水」是出現得更多的
[00:03:52.600 --> 00:03:56.240]  「水」或「海心」或「深海」
[00:03:56.240 --> 00:03:57.720]  為甚麼呢
[00:03:57.720 --> 00:04:00.000]  在古代近東的世界
[00:04:00.000 --> 00:04:02.560]  他們對於宇宙的觀念
[00:04:02.560 --> 00:04:05.120]  就是整個宇宙都像被水包圍一樣
[00:04:05.120 --> 00:04:07.720]  這裡不是說科學、宇宙學
[00:04:07.720 --> 00:04:09.320]  不是說現代的科學
[00:04:09.320 --> 00:04:15.120]  是以往的詩歌或希伯來人所想的世界
[00:04:15.120 --> 00:04:16.680]  是一種現象的世界
[00:04:16.760 --> 00:04:19.880]  你看上天,那天是甚麼顏色
[00:04:19.880 --> 00:04:20.960]  是白色嗎
[00:04:20.960 --> 00:04:23.120]  我們最近下雪太多了
[00:04:23.120 --> 00:04:25.080]  通常是藍色的
[00:04:25.080 --> 00:04:27.960]  通常是藍天,藍天白雲
[00:04:27.960 --> 00:04:31.560]  純粹我們觀察的現象就是藍色
[00:04:31.560 --> 00:04:34.120]  藍色就是甚麼?就是水
[00:04:34.120 --> 00:04:36.360]  即是水包著這個世界
[00:04:36.360 --> 00:04:38.600]  當水包著這個世界的時候
[00:04:38.600 --> 00:04:40.400]  我們不再有一個空間的時候
[00:04:40.400 --> 00:04:42.000]  我們就不能夠在這裡生存
[00:04:42.000 --> 00:04:43.920]  不能夠在這裡生活
[00:04:43.920 --> 00:04:46.480]  誰能夠頂得住這些水
[00:04:46.560 --> 00:04:49.320]  有一個窮倉、有一個鑊在上面
[00:04:49.320 --> 00:04:50.640]  能夠把它頂住
[00:04:50.640 --> 00:04:53.760]  有那個力量把水分開的時候
[00:04:53.760 --> 00:04:56.760]  這個就是值得我們敬拜的上帝
[00:04:56.760 --> 00:05:00.560]  所以無論是以色列人、希伯來人
[00:05:00.560 --> 00:05:05.680]  或者埃及、亞述、巴比倫等等
[00:05:05.680 --> 00:05:07.560]  他們都是這樣看待這個世界的
[00:05:07.560 --> 00:05:09.560]  大家都是用一個現象的世界
[00:05:09.560 --> 00:05:11.240]  用現象的方法來看待這個世界
[00:05:11.240 --> 00:05:12.360]  因為水是包著的
[00:05:12.360 --> 00:05:14.440]  誰能夠頂得住,我們就去敬拜他
[00:05:14.440 --> 00:05:15.800]  誰能夠征服水
[00:05:15.880 --> 00:05:18.080]  他就是那個贏家
