
[00:00:00.000 --> 00:00:03.240]  我們繼續聖周的講道
[00:00:03.240 --> 00:00:04.360]  Holy Week
[00:00:04.360 --> 00:00:07.760]  今天剛才敬拜隊已經提醒我們
[00:00:07.760 --> 00:00:09.520]  今天是Palm Sunday
[00:00:09.520 --> 00:00:12.240]  中樹節的主日
[00:00:12.240 --> 00:00:15.360]  所以是一個很重要的
[00:00:15.360 --> 00:00:18.480]  在基督教的日曆裡面
[00:00:18.480 --> 00:00:20.480]  一個最重要的聖祈
[00:00:20.480 --> 00:00:24.560]  就是耶穌在地上的最後一個星期
[00:00:24.560 --> 00:00:26.080]  The Final Week
[00:00:26.080 --> 00:00:29.160]  我們有兩次講到這個主題的時候
[00:00:29.160 --> 00:00:32.000]  我們一直都在跟進
[00:00:32.000 --> 00:00:33.920]  就是在這個Final Week裡面
[00:00:33.920 --> 00:00:35.720]  發生什麼事情
[00:00:35.720 --> 00:00:38.000]  但是我這裡想大家留意
[00:00:38.000 --> 00:00:40.400]  在我們這個聖周Holy Week
[00:00:40.400 --> 00:00:41.920]  或者Passion Week的時候
[00:00:41.920 --> 00:00:43.920]  我們希望大家回家去看看
[00:00:43.920 --> 00:00:46.800]  聖經裡面四福音怎麼去記載
[00:00:46.800 --> 00:00:49.240]  耶穌基督最後最後一個星期
[00:00:49.240 --> 00:00:50.240]  但是這裡很簡單
[00:00:50.240 --> 00:00:54.040]  我只是將一些章節總結出來
[00:00:54.040 --> 00:00:55.920]  就是每一個的科林書
[00:00:55.920 --> 00:00:58.640]  馬太、馬可、路加和約翰
[00:00:58.640 --> 00:01:00.560]  都花了很多篇幅
[00:01:00.560 --> 00:01:04.600]  來記載最後這七天
[00:01:04.600 --> 00:01:06.440]  耶穌發生了什麼事情
[00:01:06.440 --> 00:01:08.440]  The Final Week of Jesus
[00:01:08.440 --> 00:01:11.880]  馬太21章至28章有8章的聖經
[00:01:11.880 --> 00:01:16.640]  就是整本馬太福音裡面的四分之一以上的篇幅
[00:01:16.640 --> 00:01:19.920]  就是在講最後這七天
[00:01:19.920 --> 00:01:21.840]  馬可福音11至16章
[00:01:21.840 --> 00:01:24.320]  6章也是多於四分之一的
[00:01:24.320 --> 00:01:26.320]  路加也是多於四分之一
[00:01:26.320 --> 00:01:27.640]  約翰更加不需要講了
[00:01:27.640 --> 00:01:29.640]  約翰你將他斬一半
[00:01:29.640 --> 00:01:34.120]  下面那半全部都是講他最後最後這七天
[00:01:34.120 --> 00:01:37.520]  所以內容的比重是很重要的
[00:01:37.520 --> 00:01:39.520]  為什麼呢?
[00:01:39.520 --> 00:01:42.000]  保羅不只是他才說
[00:01:42.000 --> 00:01:47.880]  說我們傳的是釘十字架的耶穌
[00:01:47.880 --> 00:01:49.720]  福音書也是這麼說的
[00:01:49.720 --> 00:01:51.080]  有很多篇幅
[00:01:51.080 --> 00:01:53.720]  最後這七天就是最重要的
[00:01:53.720 --> 00:01:55.320]  如果你加起來的話
[00:01:55.320 --> 00:01:58.400]  整本新約的聖經只是計算四福音的話
[00:01:58.400 --> 00:02:02.400]  有三分之一至一半的內容
[00:02:02.400 --> 00:02:04.920]  都是講到最後這七天的
[00:02:04.920 --> 00:02:08.520]  所以我們不妨看看這七天到底發生了什麼事情
