
[00:00:00.000 --> 00:00:06.080]  我們一向都在講這個創世記
[00:00:06.080 --> 00:00:08.080]  我們終於來到第六章了
[00:00:08.080 --> 00:00:12.400]  第六章就講到羅亞洪水的故事
[00:00:12.400 --> 00:00:19.440]  這裡不如我們暫時不去處理那些經文
[00:00:19.440 --> 00:00:21.920]  當然有些經文都要處理
[00:00:21.920 --> 00:00:26.320]  並且六至八九章這麼長的段落
[00:00:26.320 --> 00:00:30.800]  講到一個這麼有名的故事叫做洪水的故事
[00:00:30.800 --> 00:00:34.160]  我們需要去看看聖經裡面怎麼說
[00:00:34.160 --> 00:00:36.160]  之前有提過一點
[00:00:36.160 --> 00:00:43.040]  但在這裡不如處理一些問題跟《釋經》是有關的
[00:00:43.040 --> 00:00:45.040]  但不是直接《釋經》
[00:00:45.040 --> 00:00:47.040]  這個就是聖經考古學的問題
[00:00:47.040 --> 00:00:50.640]  看到洪水、方舟
[00:00:50.640 --> 00:00:54.800]  很多時候我們在傳統的教會
[00:00:54.800 --> 00:01:00.240]  或者在華人教會的文化裡面
[00:01:00.240 --> 00:01:03.280]  我們都很著迷一件事
[00:01:03.280 --> 00:01:06.080]  有時候我們比較保守的信徒
[00:01:06.080 --> 00:01:09.760]  我們就說要找一些考古學的證據
[00:01:09.760 --> 00:01:12.720]  去證明某些聖經的事跡
[00:01:12.720 --> 00:01:15.280]  所以這裡不妨探討一下
[00:01:15.280 --> 00:01:18.880]  特別著迷或者很obsessed(附和)
[00:01:18.880 --> 00:01:22.480]  在傳統教會的圈子裡面
[00:01:22.480 --> 00:01:25.920]  華人都是想找方舟
[00:01:25.920 --> 00:01:33.680]  近年來都是偶爾會聽一下這些故事
[00:01:33.680 --> 00:01:35.680]  誰誰找到方舟
[00:01:35.680 --> 00:01:39.120]  誰誰可以證明有大洪水等等
[00:01:39.120 --> 00:01:41.120]  到底有沒有這回事
[00:01:41.120 --> 00:01:45.520]  或者應該怎麼去入手去想這些問題呢
[00:01:45.520 --> 00:01:48.080]  我覺得我們作為教務、作為童工
[00:01:48.080 --> 00:01:52.880]  我們起碼有一些基本需要去認識一下
[00:01:52.880 --> 00:01:56.480]  所以在這裡我們先講聖經考古學
[00:01:56.480 --> 00:01:58.480]  我是讀聖經考古學的
[00:01:58.480 --> 00:02:02.640]  我認為聖經考古學有三方面可以做到的
[00:02:02.640 --> 00:02:06.480]  三方面功能、三方面的目的
[00:02:06.480 --> 00:02:09.280]  第一方面目的就是印證
[00:02:09.280 --> 00:02:13.360]  有一些聖經的事跡是可以在考古學上
[00:02:13.360 --> 00:02:17.840]  可以找到證據、找到一些佐證
[00:02:17.840 --> 00:02:19.840]  去證明它的歷史性
[00:02:19.840 --> 00:02:21.840]  舉個很簡單的例子
[00:02:21.840 --> 00:02:30.240]  譬如有個石碑在以色列一個北面的地方叫做丹城
[00:02:30.240 --> 00:02:34.480]  那裡是1993年出土出來的
[00:02:34.480 --> 00:02:38.880]  是一塊石碑提到有House of David
[00:02:38.880 --> 00:02:42.480]  大衛之家、大衛王朝這一句話
[00:02:42.480 --> 00:02:45.200]  這個石碑我們不詳談
[00:02:45.200 --> 00:02:47.680]  但是一找到出來的時候
[00:02:47.680 --> 00:02:51.200]  1993年就可以告訴世界
[00:02:51.200 --> 00:02:56.560]  大衛王朝的歷史性
[00:02:56.560 --> 00:02:59.920]  它有Historicity
[00:02:59.920 --> 00:03:05.520]  因為這塊石碑不是以色列的人自己雕出來的
[00:03:05.520 --> 00:03:08.320]  也不是大衛王朝的人雕出來的
[00:03:08.320 --> 00:03:12.800]  是大衛王朝或者以色列人的敵人
[00:03:12.800 --> 00:03:16.320]  阿蘭人的一塊石碑
[00:03:16.320 --> 00:03:23.680]  提到他和大衛家House of David去打仗
[00:03:23.680 --> 00:03:27.760]  這個戰碑當然是說他贏了他們
[00:03:27.760 --> 00:03:29.760]  所以就雕了這個戰碑出來
[00:03:29.760 --> 00:03:31.760]  所以有大衛的歷史性
[00:03:31.760 --> 00:03:34.720]  所以某一些的人事物
[00:03:34.720 --> 00:03:38.160]  聖經考古是可以印證出來的
[00:03:38.160 --> 00:03:42.640]  第二方面就是修正
[00:03:42.640 --> 00:03:44.640]  修正什麼呢?
[00:03:44.640 --> 00:03:49.040]  修正我們以往對聖經的理解
[00:03:49.040 --> 00:03:51.040]  以往聖經的詮釋
[00:03:51.040 --> 00:03:55.040]  考古學也算是一種科學
[00:03:55.040 --> 00:03:59.920]  那種科學提出來的理據
[00:03:59.920 --> 00:04:06.960]  一些資料或者已經確認了一些現代科學的看法
[00:04:06.960 --> 00:04:13.120]  可以修正一下我們現在對聖經的理解
[00:04:13.120 --> 00:04:15.600]  其實這個絕對不是新的
[00:04:15.600 --> 00:04:18.800]  因為我們創世紀第一章的時候已經說了這件事
[00:04:18.800 --> 00:04:21.520]  現代的科學可不可以吻合
[00:04:21.520 --> 00:04:25.360]  創世紀第一章六日七日的創造次序呢?
[00:04:25.360 --> 00:04:26.800]  是不可以的
[00:04:26.800 --> 00:04:30.720]  所以可能以前教的那種字面式經
[00:04:30.720 --> 00:04:37.120]  就是覺得我們只要照著那七日的順序
[00:04:37.120 --> 00:04:42.720]  我們就說宇宙的起源的過程就會是這樣的
[00:04:42.720 --> 00:04:47.360]  這種是現代人字面式經
[00:04:47.360 --> 00:04:51.360]  當我們現在知道科學或者太空科學等等
[00:04:51.360 --> 00:05:01.600]  他們所表述出來的物質形成的過程
[00:05:01.600 --> 00:05:03.600]  宇宙的來源的歷史等等
[00:05:03.600 --> 00:05:08.240]  我們發現是很難能夠合得上這六日和七日
[00:05:08.240 --> 00:05:15.200]  事實上聖經六日的創造次序
[00:05:15.200 --> 00:05:20.000]  本身已經不可以科學性地去理解
[00:05:20.000 --> 00:05:22.000]  我們之前已經提過了
[00:05:22.000 --> 00:05:27.360]  很簡單,一直以來在過去這麼多年的誡經歷史裡面
[00:05:27.360 --> 00:05:28.880]  都已經有人提出
[00:05:28.880 --> 00:05:30.880]  怎麼會頭三日有晚上有早晨呢?
[00:05:30.880 --> 00:05:32.880]  都還沒有太陽、月亮、星星
[00:05:32.880 --> 00:05:34.880]  到第四日才有
[00:05:34.880 --> 00:05:36.880]  那三日是什麼呢?
[00:05:36.880 --> 00:05:40.080]  我們很多時候就按照現代字面式經
[00:05:40.080 --> 00:05:44.080]  嘗試去解通它
[00:05:44.080 --> 00:05:46.080]  可能第一日已經有太陽、月亮、星星
