
[00:00:00.000 --> 00:00:05.520]  我們現在不如講一些
[00:00:05.520 --> 00:00:10.240]  同一個家園地有不同的地帶
[00:00:10.240 --> 00:00:13.120]  我們逐個地帶來講一講
[00:00:13.120 --> 00:00:17.600]  在這些地區裡面
[00:00:17.600 --> 00:00:21.920]  我們能夠了解到到底有什麼動態
[00:00:21.920 --> 00:00:23.200]  地理上有什麼動態
[00:00:23.200 --> 00:00:26.320]  以及幫助我們怎樣去看聖經
[00:00:26.320 --> 00:00:29.040]  首先來這個地圖
[00:00:29.040 --> 00:00:32.080]  我們先放大
[00:00:32.080 --> 00:00:34.800]  這裡先關掉爐子
[00:00:34.800 --> 00:00:39.280]  我們講過這個家園地是中間之地
[00:00:39.280 --> 00:00:44.400]  聖經裡面也有這樣的字眼來形容
[00:00:44.400 --> 00:00:46.000]  這個以色列巴勒斯坦地
[00:00:46.000 --> 00:00:47.280]  聖地這個地方
[00:00:47.280 --> 00:00:49.520]  由北面這個黑門山
[00:00:49.520 --> 00:00:51.520]  直到南面的死海
[00:00:51.520 --> 00:00:55.280]  就是聖經裡面所說的應許之地
[00:00:55.280 --> 00:00:56.560]  家園地這個地方
[00:00:56.560 --> 00:01:00.400]  我們說這個家園地長長窄窄的
[00:01:00.400 --> 00:01:05.520]  由海邊到約旦河和死海的地方
[00:01:05.520 --> 00:01:07.520]  其實開車一個多小時
[00:01:07.520 --> 00:01:11.280]  所以是一個很窄的走廊
[00:01:11.280 --> 00:01:14.320]  左邊就是海洋
[00:01:14.320 --> 00:01:17.280]  再右邊就是沙漠
[00:01:17.280 --> 00:01:18.560]  沙地阿拉伯的沙漠
[00:01:18.560 --> 00:01:22.960]  中間這個家園地有幾個地區可以分到
[00:01:22.960 --> 00:01:26.320]  第一個地區就是所謂沿海平原
[00:01:26.320 --> 00:01:29.600]  加密山以南
[00:01:29.600 --> 00:01:32.480]  一直到西大半島的北面
[00:01:32.480 --> 00:01:34.240]  都是沿海平原
[00:01:34.240 --> 00:01:37.600]  沿海平原再上一點
[00:01:37.600 --> 00:01:39.120]  就是一些低山地
[00:01:39.120 --> 00:01:41.440]  英文叫rolling hills
[00:01:41.440 --> 00:01:43.520]  大概200米高
[00:01:43.520 --> 00:01:45.120]  比較小的山
[00:01:45.120 --> 00:01:49.760]  還有一些山谷比較寬
[00:01:49.760 --> 00:01:52.320]  然後上到這裡
[00:01:52.320 --> 00:01:53.520]  我們看到有耶路撒冷
[00:01:53.520 --> 00:01:54.320]  巴黎行
[00:01:54.320 --> 00:02:00.640]  以至下面有希伯倫
[00:02:00.640 --> 00:02:04.240]  這裡叫做中央山地
[00:02:04.240 --> 00:02:10.320]  耶路撒冷會在中央山地的分水嶺
[00:02:10.320 --> 00:02:13.760]  過了耶路撒冷就是這裡
[00:02:13.760 --> 00:02:15.440]  就是猶大礦野
[00:02:15.440 --> 00:02:17.040]  或者變雅敏礦野
[00:02:17.040 --> 00:02:19.440]  下來這裡就是死海
[00:02:19.440 --> 00:02:21.680]  所以如果你這樣算
[00:02:21.680 --> 00:02:24.240]  北與南的話就有不同的地區
[00:02:24.240 --> 00:02:28.720]  事實上聖經裡面也有這樣的分區
[00:02:28.720 --> 00:02:31.440]  聖經不同的字眼不同的經文
[00:02:31.440 --> 00:02:35.760]  都有說到這個地方有不同的字眼去形容它
[00:02:35.760 --> 00:02:40.880]  第一個經文想起的就是約書亞記第十章
[00:02:40.880 --> 00:02:43.440]  這裡說到約書亞帶領以色列人
[00:02:43.440 --> 00:02:45.360]  去到入主迦南
[00:02:45.840 --> 00:02:51.760]  他們決定性地擊敗了迦南裡面的人
[00:02:51.760 --> 00:02:53.840]  他講到什麼呢?
[00:02:53.840 --> 00:02:54.720]  全地的人
[00:02:54.720 --> 00:02:57.120]  然後有山區
[00:02:57.120 --> 00:02:59.200]  尼納夫
[00:02:59.200 --> 00:03:01.520]  低地
[00:03:01.520 --> 00:03:03.040]  和山坡的人
[00:03:03.040 --> 00:03:04.800]  這裡有四個
[00:03:04.800 --> 00:03:08.560]  首先有四個地理的名稱
[00:03:08.560 --> 00:03:11.440]  第一個就是山區
[00:03:12.400 --> 00:03:13.440]  haha
[00:03:13.440 --> 00:03:15.600]  就是the hill的意思
[00:03:15.600 --> 00:03:17.200]  或者the hill country
[00:03:17.200 --> 00:03:20.960]  就是說山的區域
[00:03:20.960 --> 00:03:24.080]  然後就是Hanageth
[00:03:24.080 --> 00:03:28.000]  現在比較新的譯法就是用那個音
[00:03:28.000 --> 00:03:28.880]  Hanageth
[00:03:28.880 --> 00:03:30.640]  就是the negeth
[00:03:30.640 --> 00:03:31.760]  negeth
[00:03:31.760 --> 00:03:33.600]  其實就是south的意思
[00:03:33.600 --> 00:03:37.840]  以往的和合本的譯法就是南地
[00:03:37.840 --> 00:03:40.240]  因為確實真的是南地
[00:03:40.240 --> 00:03:42.240]  所以首先這兩個地方
[00:03:42.240 --> 00:03:45.200]  就指出有個山區
[00:03:45.200 --> 00:03:47.360]  還有山地
[00:03:47.360 --> 00:03:49.200]  還有negeth
[00:03:49.200 --> 00:03:52.080]  然後第三就是這個Shephelah
[00:03:52.080 --> 00:03:53.120]  這個地方
[00:03:53.120 --> 00:03:53.920]  Hashephelah
[00:03:53.920 --> 00:03:54.960]  Hashephelah
[00:03:54.960 --> 00:03:56.640]  這個地方
[00:03:56.640 --> 00:03:58.240]  Shephelah
[00:03:58.240 --> 00:04:00.240]  或者Shephal
[00:04:00.240 --> 00:04:04.320]  其實是降低的意思
[00:04:04.320 --> 00:04:06.160]  就是低地的意思
[00:04:06.160 --> 00:04:09.200]  所以其實一個正確的譯法
[00:04:09.200 --> 00:04:14.960]  應該是現在這個和合本的修訂版
[00:04:14.960 --> 00:04:17.200]  所譯的低地
