
[00:00:00.000 --> 00:00:10.780]  各位好 各位好 《經衛線》又回來了
[00:00:10.780 --> 00:00:15.480]  我們上次看完約拿書的第三章
[00:00:15.480 --> 00:00:20.980]  在那裡看到約拿講了一堂五個字的道
[00:00:20.980 --> 00:00:23.820]  接著就全城悔改
[00:00:23.820 --> 00:00:27.920]  真是厲害的葛培莉 太厲害了
[00:00:27.920 --> 00:00:32.920]  Danny 我記得你之前在開頭問過一個問題
[00:00:32.920 --> 00:00:40.400]  如果有一個先知一侍奉大有成果的時候
[00:00:40.400 --> 00:00:42.420]  究竟先知會怎麼想?
[00:00:42.420 --> 00:00:45.060]  不知道你現在還想起這個問題
[00:00:45.060 --> 00:00:47.060]  你是有什麼回應?
[00:00:47.060 --> 00:00:50.200]  我這個問題我不停的想
[00:00:50.200 --> 00:00:58.200]  情理上作為一個先知 你救了那麼多人應該燒炮仗
[00:00:58.200 --> 00:01:00.000]  開了派對
[00:01:00.000 --> 00:01:04.880]  但他不是 他在發脾氣
[00:01:04.880 --> 00:01:10.380]  經文說他聽到之後 他知道之後他大大不悅
[00:01:10.380 --> 00:01:13.780]  沒錯 我們現在去到經文的第四章
[00:01:13.780 --> 00:01:15.280]  大大不悅
[00:01:15.280 --> 00:01:19.220]  真的很有趣 我都不明白
[00:01:19.220 --> 00:01:23.260]  那麼多人下來決自信主 他居然發脾氣
[00:01:23.260 --> 00:01:27.160]  絕對厲害 絕對是一個好問題
[00:01:27.160 --> 00:01:31.800]  我再看這段經文第四章 約拿就祈禱
[00:01:31.800 --> 00:01:36.080]  大家有沒有覺得他開頭講的那段話很熟悉
[00:01:36.080 --> 00:01:37.580]  那段話是這樣說的
[00:01:37.580 --> 00:01:43.220]  他說 耶和華 我在本國的時候豈不是這樣說
[00:01:43.220 --> 00:01:49.260]  我知道你是有恩典 有憐憫的神 不輕易發怒
[00:01:49.260 --> 00:01:54.360]  有豐盛的慈愛 並且後悔不降所說的災
[00:01:54.360 --> 00:01:56.200]  這段話很熟悉
[00:01:56.200 --> 00:01:59.240]  大家想不想起誰講這番話?
[00:01:59.240 --> 00:02:02.240]  我知道 因為我對這個問題
[00:02:02.240 --> 00:02:04.880]  剛才所問的問題就深有研究
[00:02:04.880 --> 00:02:14.760]  原來這句話是在出埃及記第34章6-7時講過的
[00:02:14.760 --> 00:02:16.760]  那個情況是怎樣呢?
[00:02:16.760 --> 00:02:19.260]  就是以色列人拜完金牛道
[00:02:19.260 --> 00:02:24.300]  摩西就弄破了那兩塊石頭
[00:02:24.300 --> 00:02:27.300]  是法板
[00:02:27.300 --> 00:02:30.300]  我意思都不清楚
[00:02:30.300 --> 00:02:36.300]  那個故事繼續的時候
[00:02:36.300 --> 00:02:40.300]  上帝就叫他再作兩塊石頭上來
[00:02:40.300 --> 00:02:42.300]  來見我面
[00:02:42.300 --> 00:02:44.300]  但他一見面的時候
[00:02:44.300 --> 00:02:49.300]  上帝就跟他說這兩句話
[00:02:49.300 --> 00:02:51.300]  目的就是想告訴他
[00:02:51.300 --> 00:02:55.300]  其實上帝本身的位格是怎樣的
[00:02:55.300 --> 00:03:00.300]  有因點的
[00:03:00.300 --> 00:03:06.300]  其實若拿在神學上知道上帝是誰
[00:03:06.300 --> 00:03:08.300]  但你再看下去
[00:03:08.300 --> 00:03:10.300]  這就很諷刺了
[00:03:10.300 --> 00:03:12.300]  他就跟著說
[00:03:12.300 --> 00:03:20.300]  所以我急速逃往他師去
[00:03:20.300 --> 00:03:24.300]  耶和華現在求你取我的性命吧
[00:03:24.300 --> 00:03:27.300]  因為我死了比活著還好
[00:03:27.300 --> 00:03:29.300]  很怪的
[00:03:29.300 --> 00:03:31.300]  真的很諷刺
[00:03:31.300 --> 00:03:33.300]  他知這麼多聖經
[00:03:33.300 --> 00:03:35.300]  我們都不是第一次見
[00:03:35.300 --> 00:03:37.300]  第二章是這樣的
[00:03:37.300 --> 00:03:39.300]  感恩串燒歌
[00:03:39.300 --> 00:03:44.300]  誰知最後就弄了一個最正統的神學宣告
[00:03:44.300 --> 00:03:46.300]  在以色列人裏面
[00:03:46.300 --> 00:03:49.300]  其實很奇怪的
[00:03:49.300 --> 00:03:51.300]  你說他跟上帝不親近
[00:03:51.300 --> 00:03:53.300]  你又不是
[00:03:53.300 --> 00:03:55.300]  他又認識這麼多
[00:03:55.300 --> 00:03:57.300]  他知道上帝有這個位格
[00:03:57.300 --> 00:03:59.300]  所以才會走人
[00:03:59.300 --> 00:04:03.300]  但你說他跟上帝不親近
[00:04:03.300 --> 00:04:07.300]  這個人是非常奇怪
[00:04:07.300 --> 00:04:11.300]  Mark Sir,你覺得作為一個諷刺文學來說
[00:04:11.300 --> 00:04:15.300]  這裏算不算是一個大諷刺呢
[00:04:15.300 --> 00:04:17.300]  我想一定是
[00:04:17.300 --> 00:04:24.300]  他引用這段聖經或這句的諷刺文是摩西說的
[00:04:24.300 --> 00:04:26.300]  你又想想
[00:04:26.300 --> 00:04:28.300]  是先知
[00:04:28.300 --> 00:04:33.300]  摩西是以色列國裏面最大的先知
[00:04:33.300 --> 00:04:35.300]  沒有一個像摩西
[00:04:35.300 --> 00:04:38.300]  到底他像摩西還是不像摩西呢
[00:04:38.300 --> 00:04:40.300]  我覺得他像反摩西
[00:04:40.300 --> 00:04:42.300]  Anti-Moses
[00:04:42.300 --> 00:04:44.300]  Anti-Prophet
[00:04:44.300 --> 00:04:46.300]  真的很搞笑
[00:04:46.300 --> 00:04:48.300]  也很諷刺
[00:04:48.300 --> 00:04:52.300]  然後耶和華就這樣說
[00:04:52.300 --> 00:04:54.300]  我在經文第四節這樣說
[00:04:54.300 --> 00:04:58.300]  你這樣發怒合乎你嗎?
[00:04:58.300 --> 00:05:00.300]  你覺得
[00:05:00.300 --> 00:05:02.300]  為什麼耶和華會說這麼有趣的話
[00:05:02.300 --> 00:05:06.300]  耶和華上帝這句問題想帶出什麼呢?
