
[00:00:00.000 --> 00:00:02.000]  祝父親節快樂
[00:00:02.000 --> 00:00:04.000]  今天是父親節
[00:00:04.000 --> 00:00:06.000]  今天我們說一個單元
[00:00:06.000 --> 00:00:08.000]  不說一些系列
[00:00:08.000 --> 00:00:10.000]  我也不繼續以前的系列
[00:00:10.000 --> 00:00:13.000]  說一個跟父親節有關的故事
[00:00:13.000 --> 00:00:17.000]  在我們社會的氣氛下
[00:00:17.000 --> 00:00:19.000]  父親節是沒有什麼人理會的
[00:00:19.000 --> 00:00:23.000]  相比於母親節是非常盡色的
[00:00:23.000 --> 00:00:25.000]  我預備的時候
[00:00:25.000 --> 00:00:29.000]  讓我的小朋友看到這張照片
[00:00:29.000 --> 00:00:32.000]  我找到六月有什麼特別的節日
[00:00:32.000 --> 00:00:34.000]  是國際的節日
[00:00:34.000 --> 00:00:40.000]  其中一個節日是國際的碎星日
[00:00:40.000 --> 00:00:42.000]  6月30日 你有沒有聽過
[00:00:42.000 --> 00:00:44.000]  沒有 沒聽過
[00:00:44.000 --> 00:00:45.000]  大部分人都沒有聽過
[00:00:45.000 --> 00:00:47.000]  沒有什麼人理會
[00:00:47.000 --> 00:00:49.000]  小朋友問我為什麼要搞這些
[00:00:49.000 --> 00:00:51.000]  就好像父親節一樣
[00:00:51.000 --> 00:00:53.000]  父親節好像碎星日一樣
[00:00:53.000 --> 00:00:54.000]  誰理會
[00:00:54.000 --> 00:00:57.000]  除非女兒帶你去公園
[00:00:57.000 --> 00:01:00.000]  或者你買一輛新車
[00:01:00.000 --> 00:01:03.000]  這樣就不同了
[00:01:03.000 --> 00:01:04.000]  但通常都沒有人理會
[00:01:04.000 --> 00:01:06.000]  特別是跟母親節相比
[00:01:06.000 --> 00:01:11.000]  但是今天怎樣也要父親節
[00:01:11.000 --> 00:01:13.000]  我們也應該說說父親節的事
[00:01:13.000 --> 00:01:17.000]  不如我就用一個聖經的故事
[00:01:17.000 --> 00:01:18.000]  跟大家說
[00:01:18.000 --> 00:01:20.000]  首先我想問問大家
[00:01:20.000 --> 00:01:22.000]  你覺得父親節給母親節訊息
[00:01:22.000 --> 00:01:24.000]  是什麼原因
[00:01:24.000 --> 00:01:27.000]  有什麼原因
[00:01:27.000 --> 00:01:31.000]  是不是因為男人不驅小節
[00:01:31.000 --> 00:01:32.000]  還是太多失敗的例子
[00:01:32.000 --> 00:01:34.000]  父親節失敗的例子
[00:01:34.000 --> 00:01:36.000]  還是男人比較短命
[00:01:36.000 --> 00:01:38.000]  大家覺得怎樣
[00:01:38.000 --> 00:01:40.000]  有誰覺得是第一個
[00:01:40.000 --> 00:01:41.000]  男人不驅小節
[00:01:41.000 --> 00:01:42.000]  所以我們不太在意父親節
[00:01:42.000 --> 00:01:44.000]  有沒有人跟我們慶祝
[00:01:44.000 --> 00:01:45.000]  有誰
[00:01:45.000 --> 00:01:46.000]  有 這些不驅小節
[00:01:46.000 --> 00:01:49.000]  給他們掌聲
[00:01:49.000 --> 00:01:53.000]  有誰覺得太多父親節失敗的例子
[00:01:53.000 --> 00:01:55.000]  所以父親節沒有人理會
[00:01:55.000 --> 00:01:56.000]  有沒有
[00:01:56.000 --> 00:01:57.000]  沒有 不敢舉
[00:01:57.000 --> 00:02:01.000]  第三個是誰覺得男人比較短命
[00:02:01.000 --> 00:02:02.000]  所以我們不太在意
[00:02:02.000 --> 00:02:03.000]  父親節有沒有人慶祝
[00:02:03.000 --> 00:02:05.000]  有沒有
[00:02:05.000 --> 00:02:06.000]  OK
[00:02:06.000 --> 00:02:11.000]  這些可能都是一些事實
[00:02:11.000 --> 00:02:13.000]  父親節沒有人理會
[00:02:13.000 --> 00:02:15.000]  但是如果你回到聖經的話
[00:02:15.000 --> 00:02:18.000]  有很多父親的例子
[00:02:18.000 --> 00:02:21.000]  當然這個是聖經當時的文化
[00:02:21.000 --> 00:02:23.000]  以男為上的文化
[00:02:23.000 --> 00:02:25.000]  以父權為上的文化
[00:02:25.000 --> 00:02:27.000]  但是你看到聖經裡面
[00:02:27.000 --> 00:02:31.000]  從頭到尾都有很多父親的故事
[00:02:31.000 --> 00:02:33.000]  有一些聖經的故事
[00:02:33.000 --> 00:02:35.000]  或者聖經的事蹟
[00:02:35.000 --> 00:02:39.000]  是一些很有人情味的事蹟
[00:02:39.000 --> 00:02:40.000]  在創世紀裡面
[00:02:40.000 --> 00:02:42.000]  其中一個最有人情味
[00:02:42.000 --> 00:02:44.000]  或者記載得最多的
[00:02:44.000 --> 00:02:46.000]  就是一個父親的故事
[00:02:46.000 --> 00:02:48.000]  瓦國的故事
[00:02:48.000 --> 00:02:50.000]  瓦國 你記得
